Date,PX_LAST
20-Mar-2014,71.375
21-Mar-2014,70.751
24-Mar-2014,71.817
25-Mar-2014,71.313
26-Mar-2014,72
27-Mar-2014,71.135
28-Mar-2014,70.4
31-Mar-2014,69.094
1-Apr-2014,67.501
2-Apr-2014,67.406
3-Apr-2014,66.942
4-Apr-2014,67.189
7-Apr-2014,67.969
8-Apr-2014,67.643
9-Apr-2014,65.125
10-Apr-2014,67.725
11-Apr-2014,69.5
14-Apr-2014,68.315
15-Apr-2014,68.875
16-Apr-2014,68.25
17-Apr-2014,67.688
21-Apr-2014,66.85
22-Apr-2014,65.438
23-Apr-2014,65.5
24-Apr-2014,66.073
25-Apr-2014,67.2
28-Apr-2014,65.75
29-Apr-2014,65.688
30-Apr-2014,64.29
1-May-2014,64.049
2-May-2014,64.28
5-May-2014,64.626
6-May-2014,65.7
7-May-2014,64.68
8-May-2014,64.142
9-May-2014,63.768
12-May-2014,62.529
13-May-2014,62.291
14-May-2014,63.284
15-May-2014,65.245
16-May-2014,64.75
19-May-2014,64.995
20-May-2014,66.175
21-May-2014,65.25
22-May-2014,63.751
23-May-2014,63.25
27-May-2014,62.347
28-May-2014,62.725
29-May-2014,62.325
30-May-2014,62.25
2-Jun-2014,62.5
3-Jun-2014,62.103
4-Jun-2014,61.95
5-Jun-2014,60.02
6-Jun-2014,57.063
9-Jun-2014,57.186
10-Jun-2014,57.283
11-Jun-2014,58.477
12-Jun-2014,60.25
13-Jun-2014,59.813
16-Jun-2014,60.359
17-Jun-2014,59.92
18-Jun-2014,56.75
19-Jun-2014,56.25
20-Jun-2014,56.813
23-Jun-2014,55.881
24-Jun-2014,56.25
25-Jun-2014,56.225
26-Jun-2014,56.785
27-Jun-2014,57.35
30-Jun-2014,58.735
1-Jul-2014,56.576
2-Jul-2014,56.931
3-Jul-2014,54.968
7-Jul-2014,55.98
8-Jul-2014,57.708
9-Jul-2014,57.155
10-Jul-2014,57.783
11-Jul-2014,58.35
14-Jul-2014,57.156
15-Jul-2014,57.5
16-Jul-2014,57.014
17-Jul-2014,60.519
18-Jul-2014,58.545
21-Jul-2014,59.498
22-Jul-2014,58.65
23-Jul-2014,58.549
24-Jul-2014,58.97
25-Jul-2014,59.437
28-Jul-2014,59.559
29-Jul-2014,60.325
30-Jul-2014,60.375
31-Jul-2014,64
1-Aug-2014,66.757
4-Aug-2014,63.759
5-Aug-2014,65.75
6-Aug-2014,65.853
7-Aug-2014,67.65
8-Aug-2014,64.65
11-Aug-2014,63.194
12-Aug-2014,63.05
13-Aug-2014,60.65
14-Aug-2014,59.213
15-Aug-2014,59.625
18-Aug-2014,56.951
19-Aug-2014,57.4
20-Aug-2014,57.675
21-Aug-2014,56
22-Aug-2014,57.799
25-Aug-2014,55.85
26-Aug-2014,55.892
27-Aug-2014,56.1
28-Aug-2014,56.4
29-Aug-2014,56.55
2-Sep-2014,56.75
3-Sep-2014,56.842
4-Sep-2014,56.85
5-Sep-2014,56.064
8-Sep-2014,56.738
9-Sep-2014,59.5
10-Sep-2014,58.4
11-Sep-2014,59.151
12-Sep-2014,59.894
15-Sep-2014,61.353
16-Sep-2014,60.204
17-Sep-2014,58.75
18-Sep-2014,57.2
19-Sep-2014,56.312
22-Sep-2014,58.701
23-Sep-2014,60.608
24-Sep-2014,59.444
25-Sep-2014,61.65
26-Sep-2014,64.075
29-Sep-2014,66.829
30-Sep-2014,64.389
1-Oct-2014,65
2-Oct-2014,62.675
3-Oct-2014,58.55
6-Oct-2014,59.925
7-Oct-2014,61.824
8-Oct-2014,59
9-Oct-2014,61.71
10-Oct-2014,63.75
14-Oct-2014,64.65
15-Oct-2014,65.65
16-Oct-2014,65.25
17-Oct-2014,62
20-Oct-2014,60.83
21-Oct-2014,57.9
22-Oct-2014,59.65
23-Oct-2014,57.75
24-Oct-2014,56.6
27-Oct-2014,56.55
28-Oct-2014,56.25
29-Oct-2014,57.57
30-Oct-2014,57.52
31-Oct-2014,55.697
3-Nov-2014,56.1
4-Nov-2014,57.2
5-Nov-2014,56.7
6-Nov-2014,56.6
7-Nov-2014,57.45
10-Nov-2014,56.175
12-Nov-2014,56.5
13-Nov-2014,57.025
14-Nov-2014,57.3
17-Nov-2014,58.51
18-Nov-2014,59.32
19-Nov-2014,58.675
20-Nov-2014,57.98
21-Nov-2014,55.701
24-Nov-2014,53.494
25-Nov-2014,52.825
26-Nov-2014,52.57
28-Nov-2014,52.57
1-Dec-2014,54.97
2-Dec-2014,54.2
3-Dec-2014,53.71
4-Dec-2014,53.94
5-Dec-2014,54.64
8-Dec-2014,56.668
9-Dec-2014,56.967
10-Dec-2014,60.221
11-Dec-2014,60.999
12-Dec-2014,64.62
15-Dec-2014,66.424
16-Dec-2014,68.02
17-Dec-2014,62.287
18-Dec-2014,57.1
19-Dec-2014,56.548
22-Dec-2014,57.075
23-Dec-2014,56.675
24-Dec-2014,56.701
26-Dec-2014,56.701
29-Dec-2014,57.722
30-Dec-2014,58.55
31-Dec-2014,58.549
2-Jan-2015,58.55
5-Jan-2015,61.576
6-Jan-2015,63.85
7-Jan-2015,62.107
8-Jan-2015,60.5
9-Jan-2015,61.65
12-Jan-2015,63.111
13-Jan-2015,63.599
14-Jan-2015,63.591
15-Jan-2015,65.072
16-Jan-2015,63.951
20-Jan-2015,64.3
21-Jan-2015,61.9
22-Jan-2015,60.2
23-Jan-2015,60.1
26-Jan-2015,57.805
27-Jan-2015,58.95
28-Jan-2015,61.15
29-Jan-2015,60.15
30-Jan-2015,62.4
2-Feb-2015,60.855
3-Feb-2015,57.45
4-Feb-2015,60.325
5-Feb-2015,58.18
6-Feb-2015,58.05
9-Feb-2015,58.536
10-Feb-2015,58.1
11-Feb-2015,59.02
12-Feb-2015,57.585
13-Feb-2015,57
17-Feb-2015,57.226
18-Feb-2015,56.148
19-Feb-2015,56.35
20-Feb-2015,55.55
23-Feb-2015,55.85
24-Feb-2015,54.15
25-Feb-2015,53.895
26-Feb-2015,53.595
27-Feb-2015,53.37
2-Mar-2015,52.858
3-Mar-2015,53.846
4-Mar-2015,53.7
5-Mar-2015,52.2
6-Mar-2015,54
9-Mar-2015,55.75
10-Mar-2015,57.225
11-Mar-2015,57.325
12-Mar-2015,56.105
13-Mar-2015,58.15
16-Mar-2015,57.476
17-Mar-2015,57.175
18-Mar-2015,54.3
19-Mar-2015,55.675
27-Mar-2015,55.94
