,USLFD12M CMPN Curncy,USLFD1M CMPN Curncy,USLFD2M CMPN Curncy,USLFD3M CMPN Curncy,USLFD6M CMPN Curncy,USSWAP10 CMPN Curncy,USSWAP12 CMPN Curncy,USSWAP15 CMPN Curncy,USSWAP2 CMPN Curncy,USSWAP20 CMPN Curncy,USSWAP25 CMPN Curncy,USSWAP3 CMPN Curncy,USSWAP30 CMPN Curncy,USSWAP4 CMPN Curncy,USSWAP5 CMPN Curncy,USSWAP6 CMPN Curncy,USSWAP7 CMPN Curncy,USSWAP8 CMPN Curncy,USSWAP9 CMPN Curncy
1988-11-01,,,,,,9.22,,,8.86,,,9.01,,9.07,9.1,,9.25,,
1988-11-02,,,,,,9.26,,,8.88,,,9.0,,9.07,9.13,,9.28,,
1988-11-04,,,,,,9.22,,,9.0,,,9.11,,9.24,9.28,,9.42,,
1988-11-07,,,,,,9.38,,,9.07,,,9.19,,9.3,9.35,,9.48,,
1988-11-08,,,,,,9.46,,,,,,,,,,,,,
1988-11-09,,,,,,9.42,,,,,,,,,,,,,
1988-11-10,,,,,,9.48,,,9.15,,,9.25,,9.35,9.4,,9.51,,
1988-11-11,,,,,,9.49,,,,,,,,,,,,,
1988-11-14,,,,,,9.53,,,9.19,,,9.28,,9.38,9.43,,9.53,,
1988-11-15,,,,,,9.5,,,,,,,,,,,,,
1988-11-16,,,,,,9.5,,,9.32,,,9.4,,9.51,9.55,,9.62,,
1988-11-17,,,,,,9.6,,,9.37,,,9.45,,9.57,9.62,,9.7,,
1988-11-18,,,,,,9.64,,,9.37,,,9.45,,9.55,9.59,,9.66,,
1988-11-21,,,,,,9.59,,,9.39,,,9.47,,9.56,9.61,,9.68,,
1988-11-22,,,,,,9.61,,,9.46,,,9.51,,9.6,9.64,,9.71,,
1988-11-24,,,,,,9.65,,,,,,,,,,,,,
1988-11-25,,,,,,9.71,,,9.59,,,9.65,,9.73,9.77,,9.83,,
1988-11-28,,,,,,9.74,,,9.59,,,9.65,,9.75,9.78,,9.83,,
1988-11-29,,,,,,9.75,,,9.52,,,9.59,,9.68,9.73,,9.78,,
1988-11-30,,,,,,9.69,,,9.4,,,9.48,,9.57,9.58,,9.68,,
1988-12-01,,,,,,9.61,,,9.44,,,9.49,,9.56,9.58,,9.66,,
1988-12-02,,,,,,9.55,,,9.68,,,9.71,,9.78,9.78,,9.83,,
1988-12-05,,,,,,9.67,,,9.57,,,9.64,,9.7,9.7,,9.75,,
1988-12-06,,,,,,9.62,,,9.35,,,9.43,,9.49,9.5,,9.54,,
1988-12-07,,,,,,9.42,,,9.45,,,9.54,,9.57,9.56,,9.61,,
1988-12-08,,,,,,9.52,,,9.53,,,9.59,,9.64,9.65,,9.69,,
1988-12-09,,,,,,9.53,,,9.59,,,9.65,,9.71,9.71,,9.75,,
1988-12-12,,,,,,9.52,,,9.58,,,9.63,,9.68,9.67,,9.72,,
1988-12-13,,,,,,9.5,,,9.67,,,9.71,,9.76,9.74,,9.78,,
1988-12-14,,,,,,9.56,,,9.68,,,9.73,,9.75,9.74,,9.78,,
1988-12-15,,,,,,9.57,,,9.52,,,,,,,,,,
1988-12-16,,,,,,9.66,,,9.54,,,,,,,,,,
1988-12-19,,,,,,9.66,,,9.58,,,,,,,,,,
1988-12-20,,,,,,9.65,,,9.56,,,,,,,,,,
1988-12-21,,,,,,9.63,,,9.53,,,,,,,,,,
1988-12-22,,,,,,9.58,,,9.46,,,,,,,,,,
1988-12-23,,,,,,9.59,,,9.41,,,,,,,,,,
1988-12-28,,,,,,9.64,,,9.53,,,,,,,,,,
1988-12-29,,,,,,9.71,,,9.57,,,,,,,,,,
1989-01-04,,,,,,,,,9.66,,,,,,,,,,
1989-01-05,,,,,,,,,9.72,,,,,,,,,,
1989-01-06,,,,,,,,,9.79,,,,,,,,,,
1989-01-09,,,,,,,,,9.76,,,,,9.92,,,,,
1989-01-10,,,,,,,,,9.84,,,9.9,,9.92,9.89,,9.92,,
1989-01-11,,,,,,,,,9.87,,,9.9,,9.93,9.9,,9.93,,
1989-01-12,,,,,,,,,9.8,,,9.84,,9.85,9.83,,9.84,,
1989-01-17,,,,,,9.71,,,9.75,,,9.79,,9.76,9.73,,9.72,,
1989-01-18,,,,,,9.63,,,9.69,,,9.72,,9.7,9.65,,9.65,,
1989-01-19,,,,,,9.64,,,9.68,,,9.69,,9.69,9.66,,9.65,,
1989-01-20,,,,,,9.67,,,9.7,,,9.73,,9.7,9.68,,9.67,,
1989-01-23,,,,,,9.63,,,9.67,,,9.69,,9.65,9.62,,9.63,,
1989-01-24,,,,,,9.57,,,9.61,,,9.62,,9.6,9.56,,9.57,,
1989-01-25,,,,,,9.63,,,9.68,,,9.71,,9.68,9.64,,9.63,,
1989-01-26,,,,,,9.61,,,9.68,,,9.67,,9.65,9.61,,9.62,,
1989-01-27,,,,,,9.57,,,9.61,,,9.6,,9.61,9.56,,9.58,,
1989-01-30,,,,,,9.63,,,9.67,,,9.65,,9.66,9.61,,9.62,,
1989-01-31,,,,,,9.61,,,9.67,,,9.66,,9.65,9.6,,9.61,,
1989-02-01,,,,,,9.6,,,9.69,,,9.64,,9.61,9.58,,9.6,,
1989-02-02,,,,,,9.61,,,9.7,,,9.66,,9.63,9.59,,9.6,,
1989-02-03,,,,,,9.63,,,9.81,,,9.74,,9.7,9.64,,9.63,,
1989-02-06,,,,,,9.64,,,9.83,,,9.77,,9.73,9.66,,9.65,,
1989-02-07,,,,,,9.58,,,9.77,,,9.72,,9.69,9.59,,9.58,,
1989-02-08,,,,,,9.6,,,9.83,,,9.75,,9.71,9.63,,9.62,,
1989-02-09,,,,,,9.74,,,9.85,,,9.79,,9.78,9.75,,9.74,,
1989-02-10,,,,,,9.79,,,9.97,,,9.9,,9.87,9.81,,9.81,,
1989-02-13,,,,,,9.82,,,9.99,,,9.92,,9.89,9.83,,9.84,,
1989-02-14,,,,,,9.87,,,10.0,,,9.6,,9.95,9.9,,9.88,,
1989-02-15,,,,,,9.83,,,10.03,,,9.97,,9.92,9.87,,9.85,,
1989-02-16,,,,,,9.82,,,10.04,,,9.94,,9.9,9.85,,9.84,,
1989-02-17,,,,,,9.82,,,10.07,,,9.94,,9.89,9.85,,9.84,,
1989-02-21,,,,,,9.85,,,10.1,,,9.9,,9.93,9.9,,9.86,,
1989-02-22,,,,,,9.92,,,10.19,,,10.04,,10.0,10.0,,9.95,,
1989-02-23,,,,,,9.96,,,10.26,,,10.13,,10.08,10.06,,10.0,,
1989-02-27,,,,,,10.01,,,10.41,,,10.22,,10.16,10.1,,10.04,,
1989-02-28,,,,,,9.98,,,10.29,,,10.18,,10.14,10.09,,10.03,,
1989-03-01,,,,,,10.05,,,10.34,,,10.21,,10.2,10.13,,10.1,,
1989-03-09,,,,,,9.91,,,10.27,,,10.18,,10.08,10.02,,9.95,,
1989-03-10,,,,,,10.01,,,10.41,,,10.36,,10.21,10.14,,10.06,,
1989-03-13,,,,,,,,,10.32,,,,,,,,,,
1989-03-14,,,,,,,,,10.35,,,,,,,,,,
1989-03-15,,,,,,,,,10.33,,,,,,,,,,
1989-03-16,,,,,,,,,10.31,,,,,,,,,,
1989-03-17,,,,,,,,,10.3,,,,,,,,,,
1989-03-20,,,,,,10.23,,,10.79,,,10.62,,10.52,10.42,,10.3,,
1989-03-22,,,,,,10.13,,,10.72,,,10.57,,10.45,10.33,,10.23,,
1989-03-23,,,,,,10.13,,,10.75,,,10.56,,10.45,10.33,,10.23,,
1989-03-28,,,,,,10.11,,,10.73,,,10.55,,10.46,10.33,,10.22,,
1989-03-29,,,,,,10.04,,,10.68,,,10.48,,10.39,10.26,,10.15,,
1989-03-30,,,,,,10.06,,,10.7,,,10.5,,10.36,10.28,,10.15,,
