,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
1990-08-16,BAU90,87.53,87.53,87.53,87.4,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-17,BAU90,87.49,87.53,87.49,87.49,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-20,BAU90,87.42,87.45,87.42,87.4,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-21,BAU90,87.33,87.36,87.33,87.33,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-22,BAU90,87.32,87.39,87.32,87.31,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-23,BAU90,87.3,87.37,87.3,87.3,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-24,BAU90,87.35,87.38,87.35,87.33,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-27,BAU90,87.37,87.37,87.37,87.32,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-28,BAU90,87.33,87.34,87.33,87.31,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-29,BAU90,87.31,87.31,87.31,87.28,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-30,BAU90,87.38,87.4,87.38,87.38,BAU90 Comdty,2016-03-11,1990-09-01
1990-08-31,BAU90,87.43,87.43,87.43,87.38,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-04,BAU90,87.34,87.41,87.34,87.34,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-05,BAU90,87.37,87.37,87.37,87.35,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-06,BAU90,87.42,87.43,87.42,87.39,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-07,BAU90,87.44,87.45,87.44,87.39,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-10,BAU90,87.43,87.45,87.43,87.43,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-11,BAU90,87.42,87.42,87.42,87.39,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-12,BAU90,87.47,87.47,87.47,87.46,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-13,BAU90,87.47,87.53,87.47,87.46,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-14,BAU90,87.47,87.52,87.47,87.47,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-17,BAU90,87.46,87.47,87.46,87.46,BAU90 Comdty,2016-03-11,1990-09-01
1990-09-18,BAZ90,88.72,88.72,88.72,88.65,BAZ90 Comdty,2016-03-11,1990-12-01
1990-09-19,BAZ90,88.67,88.72,88.67,88.65,BAZ90 Comdty,2016-03-11,1990-12-01
1990-09-20,BAZ90,88.7,88.72,88.7,88.68,BAZ90 Comdty,2016-03-11,1990-12-01
1990-09-21,BAZ90,88.66,88.69,88.66,88.66,BAZ90 Comdty,2016-03-11,1990-12-01
1990-09-24,BAZ90,88.46,88.63,88.46,88.46,BAZ90 Comdty,2016-03-11,1990-12-01
1990-09-25,BAZ90,88.7,88.7,88.7,88.35,BAZ90 Comdty,2016-03-11,1990-12-01
1990-09-26,BAZ90,88.7,88.72,88.7,88.68,BAZ90 Comdty,2016-03-11,1990-12-01
1990-09-27,BAZ90,88.22,88.37,88.22,88.05,BAZ90 Comdty,2016-03-11,1990-12-01
1990-09-28,BAZ90,88.26,88.26,88.26,88.15,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-01,BAZ90,88.42,88.45,88.42,88.33,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-02,BAZ90,88.42,88.45,88.42,88.36,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-03,BAZ90,88.42,88.45,88.42,88.36,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-04,BAZ90,88.32,88.36,88.32,88.27,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-05,BAZ90,88.3,88.32,88.3,88.3,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-09,BAZ90,88.21,88.24,88.21,88.21,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-10,BAZ90,88.13,88.15,88.13,88.08,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-11,BAZ90,88.16,88.16,88.16,88.1,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-12,BAZ90,88.17,88.17,88.17,88.17,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-16,BAZ90,88.06,88.08,88.06,88.05,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-17,BAZ90,87.89,88.0,87.89,87.89,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-18,BAZ90,87.89,87.95,87.89,87.83,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-19,BAZ90,87.9,87.91,87.9,87.86,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-22,BAZ90,87.79,87.97,87.79,87.76,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-23,BAZ90,87.77,87.78,87.77,87.69,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-24,BAZ90,87.89,87.89,87.89,87.84,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-25,BAZ90,87.84,87.9,87.84,87.83,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-26,BAZ90,87.87,87.87,87.87,87.85,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-29,BAZ90,87.88,87.91,87.88,87.88,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-30,BAZ90,87.85,87.85,87.85,87.84,BAZ90 Comdty,2016-03-11,1990-12-01
1990-10-31,BAZ90,87.91,87.91,87.91,87.83,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-01,BAZ90,87.9,87.92,87.9,87.9,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-02,BAZ90,87.93,87.96,87.93,87.93,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-05,BAZ90,87.95,87.96,87.95,87.95,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-06,BAZ90,88.02,88.04,88.02,87.98,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-07,BAZ90,88.05,88.1,88.05,88.03,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-08,BAZ90,88.03,88.06,88.03,88.02,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-09,BAZ90,88.15,88.18,88.15,88.13,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-12,BAZ90,88.15,88.15,88.15,88.15,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-13,BAZ90,88.16,88.18,88.16,88.13,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-14,BAZ90,88.12,88.14,88.12,88.11,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-15,BAZ90,88.16,88.16,88.16,88.12,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-16,BAZ90,88.13,88.16,88.13,88.13,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-19,BAZ90,88.11,88.16,88.11,88.11,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-20,BAZ90,88.11,88.13,88.11,88.1,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-21,BAZ90,88.14,88.14,88.14,88.13,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-23,BAZ90,88.14,88.14,88.14,88.14,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-26,BAZ90,88.08,88.09,88.08,88.07,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-27,BAZ90,88.02,88.06,88.02,88.02,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-28,BAZ90,87.98,88.01,87.98,87.98,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-29,BAZ90,87.96,87.97,87.96,87.96,BAZ90 Comdty,2016-03-11,1990-12-01
1990-11-30,BAZ90,87.98,87.98,87.98,87.98,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-03,BAZ90,87.97,88.0,87.97,87.97,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-04,BAZ90,87.98,88.01,87.98,87.98,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-05,BAZ90,88.0,88.01,88.0,88.0,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-06,BAZ90,88.02,88.02,88.02,88.0,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-07,BAZ90,88.07,88.07,88.07,88.05,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-10,BAZ90,88.05,88.06,88.05,88.03,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-11,BAZ90,88.07,88.09,88.07,88.05,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-12,BAZ90,88.08,88.09,88.08,88.06,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-13,BAZ90,88.1,88.1,88.1,88.09,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-14,BAZ90,88.18,88.19,88.18,88.14,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-17,BAZ90,88.21,88.21,88.21,88.21,BAZ90 Comdty,2016-03-11,1990-12-01
1990-12-18,BAH91,88.95,88.99,88.95,88.95,BAH91 Comdty,2016-03-11,1991-03-14
1990-12-19,BAH91,89.02,89.06,89.02,89.02,BAH91 Comdty,2016-03-11,1991-03-14
1990-12-20,BAH91,89.03,89.04,89.03,88.97,BAH91 Comdty,2016-03-11,1991-03-14
1990-12-21,BAH91,89.01,89.05,89.01,89.01,BAH91 Comdty,2016-03-11,1991-03-14
1990-12-24,BAH91,88.97,89.0,88.97,88.97,BAH91 Comdty,2016-03-11,1991-03-14
1990-12-27,BAH91,89.0,89.02,89.0,89.0,BAH91 Comdty,2016-03-11,1991-03-14
1990-12-28,BAH91,89.02,89.06,89.02,89.02,BAH91 Comdty,2016-03-11,1991-03-14
1990-12-31,BAH91,89.03,89.03,89.03,89.02,BAH91 Comdty,2016-03-11,1991-03-14
1991-01-02,BAH91,89.06,89.06,89.06,89.05,BAH91 Comdty,2016-03-11,1991-03-14
1991-01-03,BAH91,89.21,89.21,89.21,89.08,BAH91 Comdty,2016-03-11,1991-03-14
1991-01-04,BAH91,89.37,89.37,89.37,89.23,BAH91 Comdty,2016-03-11,1991-03-14
1991-01-07,BAH91,89.26,89.27,89.26,89.21,BAH91 Comdty,2016-03-11,1991-03-14
1991-01-08,BAH91,89.35,89.36,89.35,89.27,BAH91 Comdty,2016-03-11,1991-03-14
1991-01-09,BAH91,89.38,89.5,89.38,89.35,BAH91 Comdty,2016-03-11,1991-03-14
1991-01-10,BAH91,89.46,89.46,89.46,89.4,BAH91 Comdty,2016-03-11,1991-03-14
1991-01-11,BAH91,89.42,89.48,89.42,89.42,BAH91 Comdty,2016-03-11,1991-03-14
