Date,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
16-Aug-1990,BAU90,87.53,87.53,87.53,87.4,BAU90 Comdty,11-Mar-2016,1-Sep-1990
17-Aug-1990,BAU90,87.49,87.53,87.49,87.49,BAU90 Comdty,11-Mar-2016,1-Sep-1990
20-Aug-1990,BAU90,87.42,87.45,87.42,87.4,BAU90 Comdty,11-Mar-2016,1-Sep-1990
21-Aug-1990,BAU90,87.33,87.36,87.33,87.33,BAU90 Comdty,11-Mar-2016,1-Sep-1990
22-Aug-1990,BAU90,87.32,87.39,87.32,87.31,BAU90 Comdty,11-Mar-2016,1-Sep-1990
23-Aug-1990,BAU90,87.3,87.37,87.3,87.3,BAU90 Comdty,11-Mar-2016,1-Sep-1990
24-Aug-1990,BAU90,87.35,87.38,87.35,87.33,BAU90 Comdty,11-Mar-2016,1-Sep-1990
27-Aug-1990,BAU90,87.37,87.37,87.37,87.32,BAU90 Comdty,11-Mar-2016,1-Sep-1990
28-Aug-1990,BAU90,87.33,87.34,87.33,87.31,BAU90 Comdty,11-Mar-2016,1-Sep-1990
29-Aug-1990,BAU90,87.31,87.31,87.31,87.28,BAU90 Comdty,11-Mar-2016,1-Sep-1990
30-Aug-1990,BAU90,87.38,87.4,87.38,87.38,BAU90 Comdty,11-Mar-2016,1-Sep-1990
31-Aug-1990,BAU90,87.43,87.43,87.43,87.38,BAU90 Comdty,11-Mar-2016,1-Sep-1990
4-Sep-1990,BAU90,87.34,87.41,87.34,87.34,BAU90 Comdty,11-Mar-2016,1-Sep-1990
5-Sep-1990,BAU90,87.37,87.37,87.37,87.35,BAU90 Comdty,11-Mar-2016,1-Sep-1990
6-Sep-1990,BAU90,87.42,87.43,87.42,87.39,BAU90 Comdty,11-Mar-2016,1-Sep-1990
7-Sep-1990,BAU90,87.44,87.45,87.44,87.39,BAU90 Comdty,11-Mar-2016,1-Sep-1990
10-Sep-1990,BAU90,87.43,87.45,87.43,87.43,BAU90 Comdty,11-Mar-2016,1-Sep-1990
11-Sep-1990,BAU90,87.42,87.42,87.42,87.39,BAU90 Comdty,11-Mar-2016,1-Sep-1990
12-Sep-1990,BAU90,87.47,87.47,87.47,87.46,BAU90 Comdty,11-Mar-2016,1-Sep-1990
13-Sep-1990,BAU90,87.47,87.53,87.47,87.46,BAU90 Comdty,11-Mar-2016,1-Sep-1990
14-Sep-1990,BAU90,87.47,87.52,87.47,87.47,BAU90 Comdty,11-Mar-2016,1-Sep-1990
17-Sep-1990,BAU90,87.46,87.47,87.46,87.46,BAU90 Comdty,11-Mar-2016,1-Sep-1990
18-Sep-1990,BAZ90,88.72,88.72,88.72,88.65,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
19-Sep-1990,BAZ90,88.67,88.72,88.67,88.65,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
20-Sep-1990,BAZ90,88.7,88.72,88.7,88.68,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
21-Sep-1990,BAZ90,88.66,88.69,88.66,88.66,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
24-Sep-1990,BAZ90,88.46,88.63,88.46,88.46,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
25-Sep-1990,BAZ90,88.7,88.7,88.7,88.35,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
26-Sep-1990,BAZ90,88.7,88.72,88.7,88.68,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
27-Sep-1990,BAZ90,88.22,88.37,88.22,88.05,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
28-Sep-1990,BAZ90,88.26,88.26,88.26,88.15,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
1-Oct-1990,BAZ90,88.42,88.45,88.42,88.33,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
2-Oct-1990,BAZ90,88.42,88.45,88.42,88.36,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
3-Oct-1990,BAZ90,88.42,88.45,88.42,88.36,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
4-Oct-1990,BAZ90,88.32,88.36,88.32,88.27,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
5-Oct-1990,BAZ90,88.3,88.32,88.3,88.3,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
9-Oct-1990,BAZ90,88.21,88.24,88.21,88.21,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
10-Oct-1990,BAZ90,88.13,88.15,88.13,88.08,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
11-Oct-1990,BAZ90,88.16,88.16,88.16,88.1,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
12-Oct-1990,BAZ90,88.17,88.17,88.17,88.17,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
16-Oct-1990,BAZ90,88.06,88.08,88.06,88.05,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
17-Oct-1990,BAZ90,87.89,88,87.89,87.89,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
18-Oct-1990,BAZ90,87.89,87.95,87.89,87.83,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
19-Oct-1990,BAZ90,87.9,87.91,87.9,87.86,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
22-Oct-1990,BAZ90,87.79,87.97,87.79,87.76,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
23-Oct-1990,BAZ90,87.77,87.78,87.77,87.69,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
24-Oct-1990,BAZ90,87.89,87.89,87.89,87.84,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
25-Oct-1990,BAZ90,87.84,87.9,87.84,87.83,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
26-Oct-1990,BAZ90,87.87,87.87,87.87,87.85,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
29-Oct-1990,BAZ90,87.88,87.91,87.88,87.88,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
30-Oct-1990,BAZ90,87.85,87.85,87.85,87.84,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
31-Oct-1990,BAZ90,87.91,87.91,87.91,87.83,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
1-Nov-1990,BAZ90,87.9,87.92,87.9,87.9,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
2-Nov-1990,BAZ90,87.93,87.96,87.93,87.93,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
5-Nov-1990,BAZ90,87.95,87.96,87.95,87.95,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
6-Nov-1990,BAZ90,88.02,88.04,88.02,87.98,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
7-Nov-1990,BAZ90,88.05,88.1,88.05,88.03,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
8-Nov-1990,BAZ90,88.03,88.06,88.03,88.02,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
9-Nov-1990,BAZ90,88.15,88.18,88.15,88.13,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
12-Nov-1990,BAZ90,88.15,88.15,88.15,88.15,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
13-Nov-1990,BAZ90,88.16,88.18,88.16,88.13,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
14-Nov-1990,BAZ90,88.12,88.14,88.12,88.11,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
15-Nov-1990,BAZ90,88.16,88.16,88.16,88.12,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
16-Nov-1990,BAZ90,88.13,88.16,88.13,88.13,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
19-Nov-1990,BAZ90,88.11,88.16,88.11,88.11,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
20-Nov-1990,BAZ90,88.11,88.13,88.11,88.1,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
21-Nov-1990,BAZ90,88.14,88.14,88.14,88.13,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
23-Nov-1990,BAZ90,88.14,88.14,88.14,88.14,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
26-Nov-1990,BAZ90,88.08,88.09,88.08,88.07,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
27-Nov-1990,BAZ90,88.02,88.06,88.02,88.02,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
28-Nov-1990,BAZ90,87.98,88.01,87.98,87.98,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
29-Nov-1990,BAZ90,87.96,87.97,87.96,87.96,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
30-Nov-1990,BAZ90,87.98,87.98,87.98,87.98,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
3-Dec-1990,BAZ90,87.97,88,87.97,87.97,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
4-Dec-1990,BAZ90,87.98,88.01,87.98,87.98,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
5-Dec-1990,BAZ90,88,88.01,88,88,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
6-Dec-1990,BAZ90,88.02,88.02,88.02,88,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
7-Dec-1990,BAZ90,88.07,88.07,88.07,88.05,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
10-Dec-1990,BAZ90,88.05,88.06,88.05,88.03,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
11-Dec-1990,BAZ90,88.07,88.09,88.07,88.05,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
12-Dec-1990,BAZ90,88.08,88.09,88.08,88.06,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
13-Dec-1990,BAZ90,88.1,88.1,88.1,88.09,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
14-Dec-1990,BAZ90,88.18,88.19,88.18,88.14,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
17-Dec-1990,BAZ90,88.21,88.21,88.21,88.21,BAZ90 Comdty,11-Mar-2016,1-Dec-1990
18-Dec-1990,BAH91,88.95,88.99,88.95,88.95,BAH91 Comdty,11-Mar-2016,14-Mar-1991
19-Dec-1990,BAH91,89.02,89.06,89.02,89.02,BAH91 Comdty,11-Mar-2016,14-Mar-1991
