Date,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
1-Apr-1986,EDH87,92.81,92.97,92.81,92.8,EDH87 Comdty,11-Mar-2016,1-Mar-1987
2-Apr-1986,EDH87,92.83,92.85,92.83,92.73,EDH87 Comdty,11-Mar-2016,1-Mar-1987
3-Apr-1986,EDH87,92.78,92.88,92.78,92.76,EDH87 Comdty,11-Mar-2016,1-Mar-1987
4-Apr-1986,EDH87,92.86,92.89,92.86,92.74,EDH87 Comdty,11-Mar-2016,1-Mar-1987
7-Apr-1986,EDH87,92.88,92.92,92.88,92.85,EDH87 Comdty,11-Mar-2016,1-Mar-1987
8-Apr-1986,EDH87,93.08,93.08,93.08,92.99,EDH87 Comdty,11-Mar-2016,1-Mar-1987
9-Apr-1986,EDH87,93.15,93.21,93.15,93.15,EDH87 Comdty,11-Mar-2016,1-Mar-1987
10-Apr-1986,EDH87,93.17,93.2,93.17,93.08,EDH87 Comdty,11-Mar-2016,1-Mar-1987
11-Apr-1986,EDH87,93.12,93.22,93.12,93.1,EDH87 Comdty,11-Mar-2016,1-Mar-1987
14-Apr-1986,EDH87,93.24,93.24,93.24,93.16,EDH87 Comdty,11-Mar-2016,1-Mar-1987
15-Apr-1986,EDH87,93.2,93.27,93.2,93.2,EDH87 Comdty,11-Mar-2016,1-Mar-1987
16-Apr-1986,EDH87,93.41,93.42,93.41,93.32,EDH87 Comdty,11-Mar-2016,1-Mar-1987
17-Apr-1986,EDH87,93.32,93.41,93.32,93.26,EDH87 Comdty,11-Mar-2016,1-Mar-1987
18-Apr-1986,EDH87,93.26,93.33,93.26,93.24,EDH87 Comdty,11-Mar-2016,1-Mar-1987
21-Apr-1986,EDH87,93.17,93.24,93.17,93.17,EDH87 Comdty,11-Mar-2016,1-Mar-1987
22-Apr-1986,EDH87,93.02,93.24,93.02,93.02,EDH87 Comdty,11-Mar-2016,1-Mar-1987
23-Apr-1986,EDH87,92.93,93,92.93,92.85,EDH87 Comdty,11-Mar-2016,1-Mar-1987
24-Apr-1986,EDH87,92.73,92.97,92.73,92.73,EDH87 Comdty,11-Mar-2016,1-Mar-1987
25-Apr-1986,EDH87,92.67,92.85,92.67,92.67,EDH87 Comdty,11-Mar-2016,1-Mar-1987
28-Apr-1986,EDH87,92.88,92.9,92.88,92.72,EDH87 Comdty,11-Mar-2016,1-Mar-1987
29-Apr-1986,EDH87,92.86,92.97,92.86,92.85,EDH87 Comdty,11-Mar-2016,1-Mar-1987
30-Apr-1986,EDH87,92.9,92.93,92.9,92.84,EDH87 Comdty,11-Mar-2016,1-Mar-1987
1-May-1986,EDH87,92.83,92.89,92.83,92.78,EDH87 Comdty,11-Mar-2016,1-Mar-1987
2-May-1986,EDH87,92.84,92.86,92.84,92.75,EDH87 Comdty,11-Mar-2016,1-Mar-1987
5-May-1986,EDH87,93.02,93.02,93.02,92.87,EDH87 Comdty,11-Mar-2016,1-Mar-1987
6-May-1986,EDH87,92.98,93.04,92.98,92.97,EDH87 Comdty,11-Mar-2016,1-Mar-1987
7-May-1986,EDH87,92.97,92.98,92.97,92.9,EDH87 Comdty,11-Mar-2016,1-Mar-1987
8-May-1986,EDH87,93.06,93.06,93.06,92.99,EDH87 Comdty,11-Mar-2016,1-Mar-1987
9-May-1986,EDH87,92.85,92.96,92.85,92.85,EDH87 Comdty,11-Mar-2016,1-Mar-1987
12-May-1986,EDH87,92.76,92.81,92.76,92.73,EDH87 Comdty,11-Mar-2016,1-Mar-1987
13-May-1986,EDH87,92.84,92.88,92.84,92.67,EDH87 Comdty,11-Mar-2016,1-Mar-1987
14-May-1986,EDH87,92.76,92.92,92.76,92.75,EDH87 Comdty,11-Mar-2016,1-Mar-1987
15-May-1986,EDH87,92.62,92.77,92.62,92.6,EDH87 Comdty,11-Mar-2016,1-Mar-1987
16-May-1986,EDH87,92.46,92.6,92.46,92.45,EDH87 Comdty,11-Mar-2016,1-Mar-1987
19-May-1986,EDH87,92.42,92.56,92.42,92.42,EDH87 Comdty,11-Mar-2016,1-Mar-1987
20-May-1986,EDH87,92.49,92.5,92.49,92.32,EDH87 Comdty,11-Mar-2016,1-Mar-1987
21-May-1986,EDH87,92.52,92.61,92.52,92.48,EDH87 Comdty,11-Mar-2016,1-Mar-1987
22-May-1986,EDH87,92.54,92.61,92.54,92.54,EDH87 Comdty,11-Mar-2016,1-Mar-1987
23-May-1986,EDH87,92.59,92.61,92.59,92.56,EDH87 Comdty,11-Mar-2016,1-Mar-1987
27-May-1986,EDH87,92.71,92.71,92.71,92.66,EDH87 Comdty,11-Mar-2016,1-Mar-1987
28-May-1986,EDH87,92.58,92.74,92.58,92.56,EDH87 Comdty,11-Mar-2016,1-Mar-1987
29-May-1986,EDH87,92.45,92.57,92.45,92.44,EDH87 Comdty,11-Mar-2016,1-Mar-1987
30-May-1986,EDH87,92.41,92.53,92.41,92.41,EDH87 Comdty,11-Mar-2016,1-Mar-1987
2-Jun-1986,EDH87,92.2,92.45,92.2,92.2,EDH87 Comdty,11-Mar-2016,1-Mar-1987
3-Jun-1986,EDH87,92.32,92.34,92.32,92.19,EDH87 Comdty,11-Mar-2016,1-Mar-1987
4-Jun-1986,EDH87,92.2,92.42,92.2,92.15,EDH87 Comdty,11-Mar-2016,1-Mar-1987
5-Jun-1986,EDH87,92.23,92.35,92.23,92.19,EDH87 Comdty,11-Mar-2016,1-Mar-1987
6-Jun-1986,EDH87,92.52,92.52,92.52,92.29,EDH87 Comdty,11-Mar-2016,1-Mar-1987
9-Jun-1986,EDH87,92.36,92.56,92.36,92.35,EDH87 Comdty,11-Mar-2016,1-Mar-1987
10-Jun-1986,EDH87,92.38,92.4,92.38,92.3,EDH87 Comdty,11-Mar-2016,1-Mar-1987
11-Jun-1986,EDH87,92.42,92.45,92.42,92.35,EDH87 Comdty,11-Mar-2016,1-Mar-1987
12-Jun-1986,EDH87,92.49,92.56,92.49,92.38,EDH87 Comdty,11-Mar-2016,1-Mar-1987
13-Jun-1986,EDH87,92.76,92.79,92.76,92.56,EDH87 Comdty,11-Mar-2016,1-Mar-1987
16-Jun-1986,EDH87,92.77,92.85,92.77,92.74,EDH87 Comdty,11-Mar-2016,1-Mar-1987
17-Jun-1986,EDH87,92.85,92.88,92.85,92.79,EDH87 Comdty,11-Mar-2016,1-Mar-1987
18-Jun-1986,EDH87,92.89,92.94,92.89,92.86,EDH87 Comdty,11-Mar-2016,1-Mar-1987
19-Jun-1986,EDH87,92.8,92.86,92.8,92.78,EDH87 Comdty,11-Mar-2016,1-Mar-1987
20-Jun-1986,EDH87,92.88,92.9,92.88,92.75,EDH87 Comdty,11-Mar-2016,1-Mar-1987
23-Jun-1986,EDH87,92.91,92.91,92.91,92.86,EDH87 Comdty,11-Mar-2016,1-Mar-1987
24-Jun-1986,EDH87,92.96,93.01,92.96,92.96,EDH87 Comdty,11-Mar-2016,1-Mar-1987
25-Jun-1986,EDH87,93.01,93.1,93.01,93.01,EDH87 Comdty,11-Mar-2016,1-Mar-1987
26-Jun-1986,EDH87,93.04,93.06,93.04,93,EDH87 Comdty,11-Mar-2016,1-Mar-1987
27-Jun-1986,EDH87,93.11,93.15,93.11,93.06,EDH87 Comdty,11-Mar-2016,1-Mar-1987
30-Jun-1986,EDH87,93.14,93.2,93.14,93.14,EDH87 Comdty,11-Mar-2016,1-Mar-1987
1-Jul-1986,EDH87,93.14,93.21,93.14,93.13,EDH87 Comdty,11-Mar-2016,1-Mar-1987
2-Jul-1986,EDH87,93.14,93.16,93.14,93.08,EDH87 Comdty,11-Mar-2016,1-Mar-1987
3-Jul-1986,EDH87,93.25,93.25,93.25,93.2,EDH87 Comdty,11-Mar-2016,1-Mar-1987
7-Jul-1986,EDH87,93.24,93.29,93.24,93.23,EDH87 Comdty,11-Mar-2016,1-Mar-1987
8-Jul-1986,EDH87,93.09,93.22,93.09,93.08,EDH87 Comdty,11-Mar-2016,1-Mar-1987
9-Jul-1986,EDH87,93.24,93.26,93.24,93.08,EDH87 Comdty,11-Mar-2016,1-Mar-1987
10-Jul-1986,EDH87,93.21,93.28,93.21,93.18,EDH87 Comdty,11-Mar-2016,1-Mar-1987
11-Jul-1986,EDH87,93.27,93.3,93.27,93.23,EDH87 Comdty,11-Mar-2016,1-Mar-1987
14-Jul-1986,EDH87,93.34,93.35,93.34,93.25,EDH87 Comdty,11-Mar-2016,1-Mar-1987
15-Jul-1986,EDH87,93.39,93.43,93.39,93.33,EDH87 Comdty,11-Mar-2016,1-Mar-1987
16-Jul-1986,EDH87,93.4,93.46,93.4,93.37,EDH87 Comdty,11-Mar-2016,1-Mar-1987
17-Jul-1986,EDH87,93.4,93.43,93.4,93.36,EDH87 Comdty,11-Mar-2016,1-Mar-1987
18-Jul-1986,EDH87,93.45,93.46,93.45,93.38,EDH87 Comdty,11-Mar-2016,1-Mar-1987
21-Jul-1986,EDH87,93.49,93.47,93.49,93.5,EDH87 Comdty,11-Mar-2016,1-Mar-1987
22-Jul-1986,EDH87,93.43,93.5,93.43,93.38,EDH87 Comdty,11-Mar-2016,1-Mar-1987
23-Jul-1986,EDH87,93.28,93.35,93.28,93.27,EDH87 Comdty,11-Mar-2016,1-Mar-1987
24-Jul-1986,EDH87,93.2,93.29,93.2,93.19,EDH87 Comdty,11-Mar-2016,1-Mar-1987
25-Jul-1986,EDH87,93.23,93.25,93.23,93.21,EDH87 Comdty,11-Mar-2016,1-Mar-1987
28-Jul-1986,EDH87,93.16,93.23,93.16,93.15,EDH87 Comdty,11-Mar-2016,1-Mar-1987
29-Jul-1986,EDH87,93.29,93.3,93.29,93.21,EDH87 Comdty,11-Mar-2016,1-Mar-1987
30-Jul-1986,EDH87,93.36,93.37,93.36,93.29,EDH87 Comdty,11-Mar-2016,1-Mar-1987
31-Jul-1986,EDH87,93.48,93.49,93.48,93.38,EDH87 Comdty,11-Mar-2016,1-Mar-1987
1-Aug-1986,EDH87,93.44,93.47,93.44,93.41,EDH87 Comdty,11-Mar-2016,1-Mar-1987
4-Aug-1986,EDH87,93.5,93.51,93.5,93.41,EDH87 Comdty,11-Mar-2016,1-Mar-1987
5-Aug-1986,EDH87,93.4,93.45,93.4,93.39,EDH87 Comdty,11-Mar-2016,1-Mar-1987
6-Aug-1986,EDH87,93.38,93.42,93.38,93.36,EDH87 Comdty,11-Mar-2016,1-Mar-1987
7-Aug-1986,EDH87,93.45,93.46,93.45,93.33,EDH87 Comdty,11-Mar-2016,1-Mar-1987
8-Aug-1986,EDH87,93.5,93.52,93.5,93.47,EDH87 Comdty,11-Mar-2016,1-Mar-1987
11-Aug-1986,EDH87,93.57,93.59,93.57,93.55,EDH87 Comdty,11-Mar-2016,1-Mar-1987
12-Aug-1986,EDH87,93.64,93.66,93.64,93.6,EDH87 Comdty,11-Mar-2016,1-Mar-1987
13-Aug-1986,EDH87,93.76,93.77,93.76,93.64,EDH87 Comdty,11-Mar-2016,1-Mar-1987
14-Aug-1986,EDH87,93.71,93.75,93.71,93.69,EDH87 Comdty,11-Mar-2016,1-Mar-1987
15-Aug-1986,EDH87,93.72,93.77,93.72,93.72,EDH87 Comdty,11-Mar-2016,1-Mar-1987
18-Aug-1986,EDH87,93.74,93.75,93.74,93.69,EDH87 Comdty,11-Mar-2016,1-Mar-1987
19-Aug-1986,EDH87,93.85,93.87,93.85,93.76,EDH87 Comdty,11-Mar-2016,1-Mar-1987
20-Aug-1986,EDH87,93.9,93.93,93.9,93.88,EDH87 Comdty,11-Mar-2016,1-Mar-1987
21-Aug-1986,EDH87,93.99,94.02,93.99,93.95,EDH87 Comdty,11-Mar-2016,1-Mar-1987
22-Aug-1986,EDH87,93.94,93.98,93.94,93.91,EDH87 Comdty,11-Mar-2016,1-Mar-1987
25-Aug-1986,EDH87,94.03,94.04,94.03,93.94,EDH87 Comdty,11-Mar-2016,1-Mar-1987
26-Aug-1986,EDH87,94.13,94.15,94.13,94.07,EDH87 Comdty,11-Mar-2016,1-Mar-1987
27-Aug-1986,EDH87,94.07,94.12,94.07,94.06,EDH87 Comdty,11-Mar-2016,1-Mar-1987
28-Aug-1986,EDH87,94.14,94.18,94.14,94.04,EDH87 Comdty,11-Mar-2016,1-Mar-1987
29-Aug-1986,EDH87,94.27,94.29,94.27,94.24,EDH87 Comdty,11-Mar-2016,1-Mar-1987
2-Sep-1986,EDH87,94.19,94.32,94.19,94.18,EDH87 Comdty,11-Mar-2016,1-Mar-1987
3-Sep-1986,EDH87,94.07,94.14,94.07,94.01,EDH87 Comdty,11-Mar-2016,1-Mar-1987
4-Sep-1986,EDH87,94.09,94.18,94.09,94.05,EDH87 Comdty,11-Mar-2016,1-Mar-1987
5-Sep-1986,EDH87,93.93,94.08,93.93,93.9,EDH87 Comdty,11-Mar-2016,1-Mar-1987
8-Sep-1986,EDH87,93.81,93.87,93.81,93.78,EDH87 Comdty,11-Mar-2016,1-Mar-1987
9-Sep-1986,EDH87,93.85,93.91,93.85,93.85,EDH87 Comdty,11-Mar-2016,1-Mar-1987
10-Sep-1986,EDH87,93.89,93.93,93.89,93.87,EDH87 Comdty,11-Mar-2016,1-Mar-1987
11-Sep-1986,EDH87,93.69,93.79,93.69,93.67,EDH87 Comdty,11-Mar-2016,1-Mar-1987
12-Sep-1986,EDH87,93.71,93.88,93.71,93.66,EDH87 Comdty,11-Mar-2016,1-Mar-1987
15-Sep-1986,EDH87,93.8,93.85,93.8,93.78,EDH87 Comdty,11-Mar-2016,1-Mar-1987
16-Sep-1986,EDH87,93.79,93.8,93.79,93.71,EDH87 Comdty,11-Mar-2016,1-Mar-1987
