Date,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
22-Feb-1999,EFM99,99.77,99.78,99.77,99.77,EFM99 Comdty,15-Mar-2016,9-Jun-1999
23-Feb-1999,EFM99,99.75,99.765,99.75,99.75,EFM99 Comdty,15-Mar-2016,9-Jun-1999
24-Feb-1999,EFM99,99.76,99.77,99.76,99.75,EFM99 Comdty,15-Mar-2016,9-Jun-1999
25-Feb-1999,EFM99,99.755,99.77,99.755,99.755,EFM99 Comdty,15-Mar-2016,9-Jun-1999
26-Feb-1999,EFM99,99.795,99.8,99.795,99.79,EFM99 Comdty,15-Mar-2016,9-Jun-1999
1-Mar-1999,EFM99,99.795,99.81,99.795,99.75,EFM99 Comdty,15-Mar-2016,9-Jun-1999
2-Mar-1999,EFM99,99.82,99.825,99.82,99.805,EFM99 Comdty,15-Mar-2016,9-Jun-1999
3-Mar-1999,EFM99,99.835,99.84,99.835,99.83,EFM99 Comdty,15-Mar-2016,9-Jun-1999
4-Mar-1999,EFM99,99.86,99.87,99.86,99.86,EFM99 Comdty,15-Mar-2016,9-Jun-1999
5-Mar-1999,EFM99,99.855,99.87,99.855,99.84,EFM99 Comdty,15-Mar-2016,9-Jun-1999
8-Mar-1999,EFM99,99.84,99.85,99.84,99.835,EFM99 Comdty,15-Mar-2016,9-Jun-1999
9-Mar-1999,EFM99,99.825,99.845,99.825,99.83,EFM99 Comdty,15-Mar-2016,9-Jun-1999
10-Mar-1999,EFM99,99.835,99.84,99.835,99.83,EFM99 Comdty,15-Mar-2016,9-Jun-1999
11-Mar-1999,EFM99,99.84,99.845,99.84,99.835,EFM99 Comdty,15-Mar-2016,9-Jun-1999
12-Mar-1999,EFM99,99.85,99.845,99.85,99.835,EFM99 Comdty,15-Mar-2016,9-Jun-1999
15-Mar-1999,EFM99,99.835,99.84,99.835,99.835,EFM99 Comdty,15-Mar-2016,9-Jun-1999
16-Mar-1999,EFM99,99.84,99.84,99.84,99.835,EFM99 Comdty,15-Mar-2016,9-Jun-1999
17-Mar-1999,EFM99,99.845,99.85,99.845,99.84,EFM99 Comdty,15-Mar-2016,9-Jun-1999
18-Mar-1999,EFM99,99.835,99.85,99.835,99.835,EFM99 Comdty,15-Mar-2016,9-Jun-1999
19-Mar-1999,EFM99,99.83,99.845,99.83,99.83,EFM99 Comdty,15-Mar-2016,9-Jun-1999
22-Mar-1999,EFM99,99.83,99.835,99.83,99.83,EFM99 Comdty,15-Mar-2016,9-Jun-1999
23-Mar-1999,EFM99,99.83,99.835,99.83,99.83,EFM99 Comdty,15-Mar-2016,9-Jun-1999
24-Mar-1999,EFM99,99.83,99.835,99.83,99.825,EFM99 Comdty,15-Mar-2016,9-Jun-1999
25-Mar-1999,EFM99,99.825,99.835,99.825,99.825,EFM99 Comdty,15-Mar-2016,9-Jun-1999
26-Mar-1999,EFM99,99.83,99.83,99.83,99.825,EFM99 Comdty,15-Mar-2016,9-Jun-1999
29-Mar-1999,EFM99,99.83,99.835,99.83,99.825,EFM99 Comdty,15-Mar-2016,9-Jun-1999
30-Mar-1999,EFM99,99.8,99.825,99.8,99.8,EFM99 Comdty,15-Mar-2016,9-Jun-1999
31-Mar-1999,EFM99,99.8,99.81,99.8,99.79,EFM99 Comdty,15-Mar-2016,9-Jun-1999
1-Apr-1999,EFM99,99.8,99.805,99.8,99.795,EFM99 Comdty,15-Mar-2016,9-Jun-1999
2-Apr-1999,EFM99,99.82,99.815,99.82,99.805,EFM99 Comdty,15-Mar-2016,9-Jun-1999
5-Apr-1999,EFM99,99.83,99.83,99.83,99.83,EFM99 Comdty,15-Mar-2016,9-Jun-1999
6-Apr-1999,EFM99,99.825,99.825,99.825,99.825,EFM99 Comdty,15-Mar-2016,9-Jun-1999
7-Apr-1999,EFM99,99.83,99.835,99.83,99.825,EFM99 Comdty,15-Mar-2016,9-Jun-1999
