Date,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
8-Dec-1998,ERH99,96.86,96.855,96.86,96.855,ERH99 Comdty,15-Mar-2016,2-Mar-1999
9-Dec-1998,ERH99,96.875,,96.875,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
10-Dec-1998,ERH99,96.88,96.88,96.88,96.88,ERH99 Comdty,15-Mar-2016,2-Mar-1999
11-Dec-1998,ERH99,96.9,,96.9,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
14-Dec-1998,ERH99,96.88,,96.88,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
15-Dec-1998,ERH99,96.885,,96.885,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
16-Dec-1998,ERH99,96.895,96.88,96.895,96.88,ERH99 Comdty,15-Mar-2016,2-Mar-1999
17-Dec-1998,ERH99,96.91,96.92,96.91,96.905,ERH99 Comdty,15-Mar-2016,2-Mar-1999
18-Dec-1998,ERH99,96.91,,96.91,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
21-Dec-1998,ERH99,96.89,,96.89,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
22-Dec-1998,ERH99,96.88,96.885,96.88,96.875,ERH99 Comdty,15-Mar-2016,2-Mar-1999
23-Dec-1998,ERH99,96.885,,96.885,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
24-Dec-1998,ERH99,96.835,,96.835,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
29-Dec-1998,ERH99,96.85,96.855,96.85,96.855,ERH99 Comdty,15-Mar-2016,2-Mar-1999
30-Dec-1998,ERH99,96.85,,96.85,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
4-Jan-1999,ERH99,96.875,,96.875,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
5-Jan-1999,ERH99,96.88,96.875,96.88,96.875,ERH99 Comdty,15-Mar-2016,2-Mar-1999
6-Jan-1999,ERH99,96.89,,96.89,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
7-Jan-1999,ERH99,96.91,,96.91,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
8-Jan-1999,ERH99,96.91,,96.91,,ERH99 Comdty,15-Mar-2016,2-Mar-1999
11-Jan-1999,ERH99,96.9,96.91,96.9,96.905,ERH99 Comdty,15-Mar-2016,2-Mar-1999
12-Jan-1999,ERH99,96.91,96.91,96.91,96.895,ERH99 Comdty,15-Mar-2016,2-Mar-1999
13-Jan-1999,ERH99,96.945,96.96,96.945,96.92,ERH99 Comdty,15-Mar-2016,2-Mar-1999
14-Jan-1999,ERH99,96.96,96.945,96.96,96.945,ERH99 Comdty,15-Mar-2016,2-Mar-1999
15-Jan-1999,ERH99,96.985,96.985,96.985,96.98,ERH99 Comdty,15-Mar-2016,2-Mar-1999
18-Jan-1999,ERH99,97.02,97.02,97.02,96.985,ERH99 Comdty,15-Mar-2016,2-Mar-1999
19-Jan-1999,ERH99,97.04,97.04,97.04,97.025,ERH99 Comdty,15-Mar-2016,2-Mar-1999
20-Jan-1999,ERH99,97.015,97.04,97.015,97.01,ERH99 Comdty,15-Mar-2016,2-Mar-1999
21-Jan-1999,ERH99,97.02,97.04,97.02,97.015,ERH99 Comdty,15-Mar-2016,2-Mar-1999
22-Jan-1999,ERH99,97.035,97.05,97.035,97.03,ERH99 Comdty,15-Mar-2016,2-Mar-1999
25-Jan-1999,ERH99,97.035,97.055,97.035,97.03,ERH99 Comdty,15-Mar-2016,2-Mar-1999
26-Jan-1999,ERH99,97.01,97.03,97.01,97.005,ERH99 Comdty,15-Mar-2016,2-Mar-1999
27-Jan-1999,ERH99,97.01,97.015,97.01,96.99,ERH99 Comdty,15-Mar-2016,2-Mar-1999
28-Jan-1999,ERH99,97.02,97.025,97.02,97.01,ERH99 Comdty,15-Mar-2016,2-Mar-1999
29-Jan-1999,ERH99,97.03,97.03,97.03,97.015,ERH99 Comdty,15-Mar-2016,2-Mar-1999
1-Feb-1999,ERH99,96.98,97.025,96.98,96.97,ERH99 Comdty,15-Mar-2016,2-Mar-1999
2-Feb-1999,ERH99,96.965,96.99,96.965,96.965,ERH99 Comdty,15-Mar-2016,2-Mar-1999
3-Feb-1999,ERH99,96.97,96.98,96.97,96.95,ERH99 Comdty,15-Mar-2016,2-Mar-1999
4-Feb-1999,ERH99,96.98,96.99,96.98,96.94,ERH99 Comdty,15-Mar-2016,2-Mar-1999
5-Feb-1999,ERH99,96.96,96.97,96.96,96.94,ERH99 Comdty,15-Mar-2016,2-Mar-1999
8-Feb-1999,ERH99,96.94,96.95,96.94,96.93,ERH99 Comdty,15-Mar-2016,2-Mar-1999
9-Feb-1999,ERH99,96.94,96.945,96.94,96.93,ERH99 Comdty,15-Mar-2016,2-Mar-1999
10-Feb-1999,ERH99,96.94,96.945,96.94,96.925,ERH99 Comdty,15-Mar-2016,2-Mar-1999
11-Feb-1999,ERH99,96.945,96.95,96.945,96.925,ERH99 Comdty,15-Mar-2016,2-Mar-1999
12-Feb-1999,ERH99,96.95,96.96,96.95,96.925,ERH99 Comdty,15-Mar-2016,2-Mar-1999
15-Feb-1999,ERH99,96.95,96.955,96.95,96.945,ERH99 Comdty,15-Mar-2016,2-Mar-1999
16-Feb-1999,ERH99,96.97,96.97,96.97,96.95,ERH99 Comdty,15-Mar-2016,2-Mar-1999
17-Feb-1999,ERH99,96.985,96.99,96.985,96.96,ERH99 Comdty,15-Mar-2016,2-Mar-1999
18-Feb-1999,ERH99,96.98,96.995,96.98,96.96,ERH99 Comdty,15-Mar-2016,2-Mar-1999
19-Feb-1999,ERH99,96.985,96.99,96.985,96.96,ERH99 Comdty,15-Mar-2016,2-Mar-1999
22-Feb-1999,ERH99,96.98,96.985,96.98,96.97,ERH99 Comdty,15-Mar-2016,2-Mar-1999
23-Feb-1999,ERH99,96.965,96.98,96.965,96.965,ERH99 Comdty,15-Mar-2016,2-Mar-1999
24-Feb-1999,ERH99,96.955,96.965,96.955,96.95,ERH99 Comdty,15-Mar-2016,2-Mar-1999
25-Feb-1999,ERH99,96.945,96.965,96.945,96.94,ERH99 Comdty,15-Mar-2016,2-Mar-1999
26-Feb-1999,ERH99,96.94,96.945,96.94,96.92,ERH99 Comdty,15-Mar-2016,2-Mar-1999
