,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
1991-02-08,ESH91,92.11,92.15,92.11,92.04,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-11,ESH91,92.08,92.13,92.08,92.07,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-12,ESH91,92.02,92.04,92.02,91.97,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-13,ESH91,92.11,92.14,92.11,92.04,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-14,ESH91,92.24,92.24,92.24,92.13,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-15,ESH91,92.18,92.3,92.18,92.15,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-18,ESH91,92.16,92.19,92.16,92.16,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-19,ESH91,92.12,92.2,92.12,92.11,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-20,ESH91,92.09,92.09,92.09,92.04,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-21,ESH91,92.07,92.08,92.07,92.04,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-22,ESH91,92.02,92.06,92.02,92.02,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-25,ESH91,91.95,92.01,91.95,91.93,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-26,ESH91,91.9,91.96,91.9,91.89,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-27,ESH91,91.84,91.88,91.84,91.78,ESH91 Comdty,2016-03-15,1991-03-01
1991-02-28,ESH91,91.77,91.79,91.77,91.77,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-01,ESH91,91.8,91.8,91.8,91.73,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-04,ESH91,91.8,91.82,91.8,91.78,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-05,ESH91,91.84,91.84,91.84,91.78,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-06,ESH91,91.84,91.95,91.84,91.83,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-07,ESH91,91.74,91.86,91.74,91.75,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-08,ESH91,91.62,91.73,91.62,91.62,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-11,ESH91,91.7,91.7,91.7,91.58,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-12,ESH91,91.74,91.75,91.74,91.71,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-13,ESH91,91.71,91.72,91.71,91.68,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-14,ESH91,91.63,91.7,91.63,91.6,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-15,ESH91,91.38,91.55,91.38,91.38,ESH91 Comdty,2016-03-15,1991-03-01
1991-03-18,ESM91,92.09,92.1,92.09,91.99,ESM91 Comdty,2016-03-15,1991-05-27
1991-03-19,ESM91,92.13,92.15,92.13,92.07,ESM91 Comdty,2016-03-15,1991-05-27
1991-03-20,ESM91,92.18,92.2,92.18,92.13,ESM91 Comdty,2016-03-15,1991-05-27
1991-03-21,ESM91,92.16,92.27,92.16,92.15,ESM91 Comdty,2016-03-15,1991-05-27
1991-03-22,ESM91,92.16,92.2,92.16,92.12,ESM91 Comdty,2016-03-15,1991-05-27
1991-03-25,ESM91,92.07,92.2,92.07,92.07,ESM91 Comdty,2016-03-15,1991-05-27
1991-03-26,ESM91,92.05,92.08,92.05,91.97,ESM91 Comdty,2016-03-15,1991-05-27
1991-03-27,ESM91,92.06,92.14,92.06,92.02,ESM91 Comdty,2016-03-15,1991-05-27
1991-03-28,ESM91,92.02,92.07,92.02,92.02,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-02,ESM91,91.96,92.01,91.96,91.95,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-03,ESM91,92.07,92.07,92.07,91.99,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-04,ESM91,92.14,92.15,92.14,92.05,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-05,ESM91,92.17,92.22,92.17,92.15,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-08,ESM91,92.11,92.16,92.11,92.09,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-09,ESM91,91.98,92.1,91.98,91.97,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-10,ESM91,91.96,91.98,91.96,91.93,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-11,ESM91,92.02,92.04,92.02,91.95,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-12,ESM91,91.96,92.05,91.96,91.96,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-15,ESM91,91.92,91.97,91.92,91.92,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-16,ESM91,91.88,91.93,91.88,91.88,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-17,ESM91,91.96,91.96,91.96,91.9,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-18,ESM91,91.91,92.0,91.91,91.86,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-19,ESM91,91.78,91.86,91.78,91.76,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-22,ESM91,91.78,91.84,91.78,91.74,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-23,ESM91,91.81,91.85,91.81,91.8,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-24,ESM91,91.78,91.84,91.78,91.78,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-25,ESM91,91.73,91.83,91.73,91.7,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-26,ESM91,91.63,91.72,91.63,91.6,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-29,ESM91,91.6,91.67,91.6,91.59,ESM91 Comdty,2016-03-15,1991-05-27
1991-04-30,ESM91,91.69,91.71,91.69,91.58,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-01,ESM91,91.76,91.76,91.76,91.69,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-02,ESM91,91.65,91.72,91.65,91.65,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-03,ESM91,91.61,91.64,91.61,91.59,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-07,ESM91,91.58,91.61,91.58,91.55,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-08,ESM91,91.64,91.66,91.64,91.61,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-09,ESM91,91.67,91.67,91.67,91.63,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-10,ESM91,91.69,91.72,91.69,91.66,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-13,ESM91,91.77,91.78,91.77,91.68,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-14,ESM91,91.71,91.82,91.71,91.69,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-15,ESM91,91.72,91.72,91.72,91.65,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-16,ESM91,91.68,91.73,91.68,91.66,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-17,ESM91,91.73,91.76,91.73,91.72,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-20,ESM91,91.76,91.76,91.76,91.74,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-21,ESM91,91.83,91.83,91.83,91.76,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-22,ESM91,91.83,91.89,91.83,91.81,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-23,ESM91,91.79,91.8,91.79,91.75,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-24,ESM91,91.81,91.83,91.81,91.76,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-28,ESM91,91.84,91.84,91.84,91.82,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-29,ESM91,91.84,91.84,91.84,91.81,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-30,ESM91,91.91,91.94,91.91,91.86,ESM91 Comdty,2016-03-15,1991-05-27
1991-05-31,ESM91,91.94,91.98,91.94,91.9,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-03,ESM91,91.89,91.91,91.89,91.86,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-04,ESM91,91.86,91.87,91.86,91.83,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-05,ESM91,91.84,91.85,91.84,91.8,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-06,ESM91,91.88,91.88,91.88,91.85,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-07,ESM91,91.88,91.9,91.88,91.88,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-10,ESM91,91.87,91.9,91.87,91.84,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-11,ESM91,91.89,91.89,91.89,91.82,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-12,ESM91,91.87,91.91,91.87,91.87,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-13,ESM91,91.88,91.89,91.88,91.82,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-14,ESM91,91.92,91.93,91.92,91.9,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-17,ESM91,91.94,91.95,91.94,91.91,ESM91 Comdty,2016-03-15,1991-05-27
1991-06-18,ESU91,92.08,92.11,92.08,92.05,ESU91 Comdty,2016-03-15,1991-09-04
1991-06-19,ESU91,92.08,92.09,92.08,92.05,ESU91 Comdty,2016-03-15,1991-09-04
1991-06-20,ESU91,92.13,92.15,92.13,92.1,ESU91 Comdty,2016-03-15,1991-09-04
1991-06-21,ESU91,92.15,92.16,92.15,92.13,ESU91 Comdty,2016-03-15,1991-09-04
1991-06-24,ESU91,92.12,92.14,92.12,92.11,ESU91 Comdty,2016-03-15,1991-09-04
1991-06-25,ESU91,92.08,92.11,92.08,92.08,ESU91 Comdty,2016-03-15,1991-09-04
1991-06-26,ESU91,92.09,92.15,92.09,92.07,ESU91 Comdty,2016-03-15,1991-09-04
1991-06-27,ESU91,92.18,92.19,92.18,92.1,ESU91 Comdty,2016-03-15,1991-09-04
1991-06-28,ESU91,92.25,92.28,92.25,92.18,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-01,ESU91,92.27,92.3,92.27,92.25,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-02,ESU91,92.29,92.34,92.29,92.26,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-03,ESU91,92.31,92.32,92.31,92.23,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-04,ESU91,92.28,92.31,92.28,92.27,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-05,ESU91,92.2,92.25,92.2,92.19,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-08,ESU91,92.27,92.28,92.27,92.19,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-09,ESU91,92.27,92.32,92.27,92.23,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-10,ESU91,92.25,92.29,92.25,92.25,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-11,ESU91,92.26,92.26,92.26,92.23,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-12,ESU91,92.28,92.28,92.28,92.25,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-15,ESU91,92.28,92.26,92.28,92.26,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-16,ESU91,92.26,92.3,92.26,92.23,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-17,ESU91,92.22,92.25,92.22,92.2,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-18,ESU91,92.21,92.2,92.21,92.18,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-19,ESU91,92.19,92.22,92.19,92.18,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-22,ESU91,92.17,92.18,92.17,92.14,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-23,ESU91,92.17,92.17,92.17,92.14,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-24,ESU91,92.14,92.14,92.14,92.11,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-25,ESU91,92.17,92.18,92.17,92.15,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-26,ESU91,92.1,92.13,92.1,92.09,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-29,ESU91,92.12,92.12,92.12,92.08,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-30,ESU91,92.11,92.14,92.11,92.11,ESU91 Comdty,2016-03-15,1991-09-04
1991-07-31,ESU91,92.13,92.13,92.13,92.11,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-01,ESU91,92.13,92.15,92.13,92.12,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-02,ESU91,92.15,92.15,92.15,92.1,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-05,ESU91,92.13,92.16,92.13,92.11,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-06,ESU91,92.08,92.12,92.08,92.07,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-07,ESU91,92.1,92.12,92.1,92.1,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-08,ESU91,92.12,92.12,92.12,92.1,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-09,ESU91,92.12,92.13,92.12,92.11,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-12,ESU91,92.11,92.11,92.11,92.09,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-13,ESU91,92.1,92.1,92.1,92.05,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-14,ESU91,92.11,92.12,92.11,92.08,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-15,ESU91,92.09,92.14,92.09,92.03,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-16,ESU91,91.93,92.08,91.93,91.9,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-19,ESU91,92.18,92.18,92.18,91.93,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-20,ESU91,92.18,92.22,92.18,92.1,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-21,ESU91,92.03,92.19,92.03,92.03,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-22,ESU91,92.04,92.06,92.04,91.95,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-23,ESU91,92.01,92.03,92.01,91.99,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-27,ESU91,92.02,92.02,92.02,91.98,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-28,ESU91,92.04,92.05,92.04,92.03,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-29,ESU91,92.03,92.04,92.03,92.01,ESU91 Comdty,2016-03-15,1991-09-04
1991-08-30,ESU91,91.99,92.03,91.99,91.99,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-02,ESU91,91.97,91.97,91.97,91.95,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-03,ESU91,91.93,91.95,91.93,91.91,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-04,ESU91,91.94,91.97,91.94,91.92,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-05,ESU91,91.95,91.95,91.95,91.93,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-06,ESU91,91.95,91.95,91.95,91.91,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-09,ESU91,91.93,91.94,91.93,91.92,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-10,ESU91,91.93,91.93,91.93,91.88,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-11,ESU91,91.93,91.94,91.93,91.93,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-12,ESU91,91.91,91.93,91.91,91.9,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-13,ESU91,91.89,91.92,91.89,91.88,ESU91 Comdty,2016-03-15,1991-09-04
1991-09-16,ESU91,91.88,91.88,91.88,91.86,ESU91 Comdty,2016-03-15,1991-09-04
