Date,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
8-Feb-1991,ESH91,92.11,92.15,92.11,92.04,ESH91 Comdty,15-Mar-2016,1-Mar-1991
11-Feb-1991,ESH91,92.08,92.13,92.08,92.07,ESH91 Comdty,15-Mar-2016,1-Mar-1991
12-Feb-1991,ESH91,92.02,92.04,92.02,91.97,ESH91 Comdty,15-Mar-2016,1-Mar-1991
13-Feb-1991,ESH91,92.11,92.14,92.11,92.04,ESH91 Comdty,15-Mar-2016,1-Mar-1991
14-Feb-1991,ESH91,92.24,92.24,92.24,92.13,ESH91 Comdty,15-Mar-2016,1-Mar-1991
15-Feb-1991,ESH91,92.18,92.3,92.18,92.15,ESH91 Comdty,15-Mar-2016,1-Mar-1991
18-Feb-1991,ESH91,92.16,92.19,92.16,92.16,ESH91 Comdty,15-Mar-2016,1-Mar-1991
19-Feb-1991,ESH91,92.12,92.2,92.12,92.11,ESH91 Comdty,15-Mar-2016,1-Mar-1991
20-Feb-1991,ESH91,92.09,92.09,92.09,92.04,ESH91 Comdty,15-Mar-2016,1-Mar-1991
21-Feb-1991,ESH91,92.07,92.08,92.07,92.04,ESH91 Comdty,15-Mar-2016,1-Mar-1991
22-Feb-1991,ESH91,92.02,92.06,92.02,92.02,ESH91 Comdty,15-Mar-2016,1-Mar-1991
25-Feb-1991,ESH91,91.95,92.01,91.95,91.93,ESH91 Comdty,15-Mar-2016,1-Mar-1991
26-Feb-1991,ESH91,91.9,91.96,91.9,91.89,ESH91 Comdty,15-Mar-2016,1-Mar-1991
27-Feb-1991,ESH91,91.84,91.88,91.84,91.78,ESH91 Comdty,15-Mar-2016,1-Mar-1991
28-Feb-1991,ESH91,91.77,91.79,91.77,91.77,ESH91 Comdty,15-Mar-2016,1-Mar-1991
1-Mar-1991,ESH91,91.8,91.8,91.8,91.73,ESH91 Comdty,15-Mar-2016,1-Mar-1991
4-Mar-1991,ESH91,91.8,91.82,91.8,91.78,ESH91 Comdty,15-Mar-2016,1-Mar-1991
5-Mar-1991,ESH91,91.84,91.84,91.84,91.78,ESH91 Comdty,15-Mar-2016,1-Mar-1991
6-Mar-1991,ESH91,91.84,91.95,91.84,91.83,ESH91 Comdty,15-Mar-2016,1-Mar-1991
7-Mar-1991,ESH91,91.74,91.86,91.74,91.75,ESH91 Comdty,15-Mar-2016,1-Mar-1991
8-Mar-1991,ESH91,91.62,91.73,91.62,91.62,ESH91 Comdty,15-Mar-2016,1-Mar-1991
11-Mar-1991,ESH91,91.7,91.7,91.7,91.58,ESH91 Comdty,15-Mar-2016,1-Mar-1991
12-Mar-1991,ESH91,91.74,91.75,91.74,91.71,ESH91 Comdty,15-Mar-2016,1-Mar-1991
13-Mar-1991,ESH91,91.71,91.72,91.71,91.68,ESH91 Comdty,15-Mar-2016,1-Mar-1991
14-Mar-1991,ESH91,91.63,91.7,91.63,91.6,ESH91 Comdty,15-Mar-2016,1-Mar-1991
15-Mar-1991,ESH91,91.38,91.55,91.38,91.38,ESH91 Comdty,15-Mar-2016,1-Mar-1991
18-Mar-1991,ESM91,92.09,92.1,92.09,91.99,ESM91 Comdty,15-Mar-2016,27-May-1991
19-Mar-1991,ESM91,92.13,92.15,92.13,92.07,ESM91 Comdty,15-Mar-2016,27-May-1991
20-Mar-1991,ESM91,92.18,92.2,92.18,92.13,ESM91 Comdty,15-Mar-2016,27-May-1991
21-Mar-1991,ESM91,92.16,92.27,92.16,92.15,ESM91 Comdty,15-Mar-2016,27-May-1991
22-Mar-1991,ESM91,92.16,92.2,92.16,92.12,ESM91 Comdty,15-Mar-2016,27-May-1991
25-Mar-1991,ESM91,92.07,92.2,92.07,92.07,ESM91 Comdty,15-Mar-2016,27-May-1991
26-Mar-1991,ESM91,92.05,92.08,92.05,91.97,ESM91 Comdty,15-Mar-2016,27-May-1991
27-Mar-1991,ESM91,92.06,92.14,92.06,92.02,ESM91 Comdty,15-Mar-2016,27-May-1991
28-Mar-1991,ESM91,92.02,92.07,92.02,92.02,ESM91 Comdty,15-Mar-2016,27-May-1991
2-Apr-1991,ESM91,91.96,92.01,91.96,91.95,ESM91 Comdty,15-Mar-2016,27-May-1991
3-Apr-1991,ESM91,92.07,92.07,92.07,91.99,ESM91 Comdty,15-Mar-2016,27-May-1991
4-Apr-1991,ESM91,92.14,92.15,92.14,92.05,ESM91 Comdty,15-Mar-2016,27-May-1991
5-Apr-1991,ESM91,92.17,92.22,92.17,92.15,ESM91 Comdty,15-Mar-2016,27-May-1991
8-Apr-1991,ESM91,92.11,92.16,92.11,92.09,ESM91 Comdty,15-Mar-2016,27-May-1991
9-Apr-1991,ESM91,91.98,92.1,91.98,91.97,ESM91 Comdty,15-Mar-2016,27-May-1991
10-Apr-1991,ESM91,91.96,91.98,91.96,91.93,ESM91 Comdty,15-Mar-2016,27-May-1991
11-Apr-1991,ESM91,92.02,92.04,92.02,91.95,ESM91 Comdty,15-Mar-2016,27-May-1991
12-Apr-1991,ESM91,91.96,92.05,91.96,91.96,ESM91 Comdty,15-Mar-2016,27-May-1991
15-Apr-1991,ESM91,91.92,91.97,91.92,91.92,ESM91 Comdty,15-Mar-2016,27-May-1991
16-Apr-1991,ESM91,91.88,91.93,91.88,91.88,ESM91 Comdty,15-Mar-2016,27-May-1991
17-Apr-1991,ESM91,91.96,91.96,91.96,91.9,ESM91 Comdty,15-Mar-2016,27-May-1991
18-Apr-1991,ESM91,91.91,92,91.91,91.86,ESM91 Comdty,15-Mar-2016,27-May-1991
19-Apr-1991,ESM91,91.78,91.86,91.78,91.76,ESM91 Comdty,15-Mar-2016,27-May-1991
22-Apr-1991,ESM91,91.78,91.84,91.78,91.74,ESM91 Comdty,15-Mar-2016,27-May-1991
23-Apr-1991,ESM91,91.81,91.85,91.81,91.8,ESM91 Comdty,15-Mar-2016,27-May-1991
24-Apr-1991,ESM91,91.78,91.84,91.78,91.78,ESM91 Comdty,15-Mar-2016,27-May-1991
25-Apr-1991,ESM91,91.73,91.83,91.73,91.7,ESM91 Comdty,15-Mar-2016,27-May-1991
26-Apr-1991,ESM91,91.63,91.72,91.63,91.6,ESM91 Comdty,15-Mar-2016,27-May-1991
29-Apr-1991,ESM91,91.6,91.67,91.6,91.59,ESM91 Comdty,15-Mar-2016,27-May-1991
30-Apr-1991,ESM91,91.69,91.71,91.69,91.58,ESM91 Comdty,15-Mar-2016,27-May-1991
1-May-1991,ESM91,91.76,91.76,91.76,91.69,ESM91 Comdty,15-Mar-2016,27-May-1991
2-May-1991,ESM91,91.65,91.72,91.65,91.65,ESM91 Comdty,15-Mar-2016,27-May-1991
3-May-1991,ESM91,91.61,91.64,91.61,91.59,ESM91 Comdty,15-Mar-2016,27-May-1991
7-May-1991,ESM91,91.58,91.61,91.58,91.55,ESM91 Comdty,15-Mar-2016,27-May-1991
8-May-1991,ESM91,91.64,91.66,91.64,91.61,ESM91 Comdty,15-Mar-2016,27-May-1991
9-May-1991,ESM91,91.67,91.67,91.67,91.63,ESM91 Comdty,15-Mar-2016,27-May-1991
10-May-1991,ESM91,91.69,91.72,91.69,91.66,ESM91 Comdty,15-Mar-2016,27-May-1991
13-May-1991,ESM91,91.77,91.78,91.77,91.68,ESM91 Comdty,15-Mar-2016,27-May-1991
14-May-1991,ESM91,91.71,91.82,91.71,91.69,ESM91 Comdty,15-Mar-2016,27-May-1991
15-May-1991,ESM91,91.72,91.72,91.72,91.65,ESM91 Comdty,15-Mar-2016,27-May-1991
16-May-1991,ESM91,91.68,91.73,91.68,91.66,ESM91 Comdty,15-Mar-2016,27-May-1991
17-May-1991,ESM91,91.73,91.76,91.73,91.72,ESM91 Comdty,15-Mar-2016,27-May-1991
