,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
1989-06-09,IRU89,81.99,82.12,81.99,81.0,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-13,IRU89,81.95,81.99,81.95,81.89,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-14,IRU89,82.2,82.27,82.2,81.96,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-15,IRU89,82.26,82.35,82.26,82.17,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-16,IRU89,82.15,82.26,82.15,82.14,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-19,IRU89,81.98,82.18,81.98,81.93,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-20,IRU89,82.31,82.77,82.31,82.0,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-21,IRU89,82.29,82.44,82.29,82.21,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-22,IRU89,82.39,82.54,82.39,82.34,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-23,IRU89,82.4,82.43,82.4,82.32,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-26,IRU89,82.6,82.62,82.6,82.46,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-27,IRU89,82.44,82.64,82.44,82.44,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-28,IRU89,82.48,82.53,82.48,82.35,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-29,IRU89,82.42,82.47,82.42,82.33,IRU89 Comdty,2016-03-10,1989-09-06
1989-06-30,IRU89,82.64,82.66,82.64,82.45,IRU89 Comdty,2016-03-10,1989-09-06
1989-07-03,IRU89,82.72,82.8,82.72,82.68,IRU89 Comdty,2016-03-10,1989-09-06
1989-07-04,IRU89,82.87,82.9,82.87,82.65,IRU89 Comdty,2016-03-10,1989-09-06
1989-07-05,IRU89,82.7,82.96,82.7,82.67,IRU89 Comdty,2016-03-10,1989-09-06
1989-07-06,IRU89,82.76,82.78,82.76,82.66,IRU89 Comdty,2016-03-10,1989-09-06
1989-07-07,IRU89,82.69,82.8,82.69,82.68,IRU89 Comdty,2016-03-10,1989-09-06
1989-07-10,IRU89,82.82,82.82,82.82,82.67,IRU89 Comdty,2016-03-10,1989-09-06
1989-07-11,IRU89,82.85,82.86,82.85,82.73,IRU89 Comdty,2016-03-10,1989-09-06
