Date,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
9-Jun-1989,IRU89,81.99,82.12,81.99,81,IRU89 Comdty,10-Mar-2016,6-Sep-1989
13-Jun-1989,IRU89,81.95,81.99,81.95,81.89,IRU89 Comdty,10-Mar-2016,6-Sep-1989
14-Jun-1989,IRU89,82.2,82.27,82.2,81.96,IRU89 Comdty,10-Mar-2016,6-Sep-1989
15-Jun-1989,IRU89,82.26,82.35,82.26,82.17,IRU89 Comdty,10-Mar-2016,6-Sep-1989
16-Jun-1989,IRU89,82.15,82.26,82.15,82.14,IRU89 Comdty,10-Mar-2016,6-Sep-1989
19-Jun-1989,IRU89,81.98,82.18,81.98,81.93,IRU89 Comdty,10-Mar-2016,6-Sep-1989
20-Jun-1989,IRU89,82.31,82.77,82.31,82,IRU89 Comdty,10-Mar-2016,6-Sep-1989
21-Jun-1989,IRU89,82.29,82.44,82.29,82.21,IRU89 Comdty,10-Mar-2016,6-Sep-1989
22-Jun-1989,IRU89,82.39,82.54,82.39,82.34,IRU89 Comdty,10-Mar-2016,6-Sep-1989
23-Jun-1989,IRU89,82.4,82.43,82.4,82.32,IRU89 Comdty,10-Mar-2016,6-Sep-1989
26-Jun-1989,IRU89,82.6,82.62,82.6,82.46,IRU89 Comdty,10-Mar-2016,6-Sep-1989
27-Jun-1989,IRU89,82.44,82.64,82.44,82.44,IRU89 Comdty,10-Mar-2016,6-Sep-1989
28-Jun-1989,IRU89,82.48,82.53,82.48,82.35,IRU89 Comdty,10-Mar-2016,6-Sep-1989
29-Jun-1989,IRU89,82.42,82.47,82.42,82.33,IRU89 Comdty,10-Mar-2016,6-Sep-1989
30-Jun-1989,IRU89,82.64,82.66,82.64,82.45,IRU89 Comdty,10-Mar-2016,6-Sep-1989
3-Jul-1989,IRU89,82.72,82.8,82.72,82.68,IRU89 Comdty,10-Mar-2016,6-Sep-1989
4-Jul-1989,IRU89,82.87,82.9,82.87,82.65,IRU89 Comdty,10-Mar-2016,6-Sep-1989
5-Jul-1989,IRU89,82.7,82.96,82.7,82.67,IRU89 Comdty,10-Mar-2016,6-Sep-1989
