,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
1988-02-26,L H88,90.61,90.63,90.61,90.59,L H88 Comdty,2016-03-11,1988-03-18
1988-02-29,L H88,90.64,90.66,90.64,90.49,L H88 Comdty,2016-03-11,1988-03-18
1988-03-01,L H88,90.65,90.66,90.65,90.63,L H88 Comdty,2016-03-11,1988-03-18
1988-03-02,L H88,90.73,90.73,90.73,90.64,L H88 Comdty,2016-03-11,1988-03-18
1988-03-03,L H88,90.76,90.76,90.76,90.73,L H88 Comdty,2016-03-11,1988-03-18
1988-03-04,L H88,90.77,90.79,90.77,90.74,L H88 Comdty,2016-03-11,1988-03-18
1988-03-07,L H88,90.91,90.95,90.91,90.69,L H88 Comdty,2016-03-11,1988-03-18
1988-03-08,L H88,90.95,91.03,90.95,90.8,L H88 Comdty,2016-03-11,1988-03-18
1988-03-09,L H88,90.96,90.97,90.96,90.93,L H88 Comdty,2016-03-11,1988-03-18
1988-03-10,L H88,90.96,91.01,90.96,90.93,L H88 Comdty,2016-03-11,1988-03-18
1988-03-11,L H88,90.97,90.97,90.97,90.92,L H88 Comdty,2016-03-11,1988-03-18
1988-03-14,L H88,91.11,91.13,91.11,91.0,L H88 Comdty,2016-03-11,1988-03-18
1988-03-15,L H88,91.23,91.28,91.23,91.2,L H88 Comdty,2016-03-11,1988-03-18
1988-03-16,L H88,91.06,91.1,91.06,91.06,L H88 Comdty,2016-03-11,1988-03-18
1988-03-21,L M88,91.19,91.23,91.19,91.18,L M88 Comdty,2016-03-11,1988-06-15
1988-03-22,L M88,91.19,91.21,91.19,91.14,L M88 Comdty,2016-03-11,1988-06-15
1988-03-23,L M88,91.24,91.28,91.24,91.22,L M88 Comdty,2016-03-11,1988-06-15
1988-03-24,L M88,91.18,91.24,91.18,91.16,L M88 Comdty,2016-03-11,1988-06-15
1988-03-25,L M88,91.04,91.2,91.04,91.03,L M88 Comdty,2016-03-11,1988-06-15
1988-03-28,L M88,91.06,91.07,91.06,91.01,L M88 Comdty,2016-03-11,1988-06-15
1988-03-29,L M88,91.13,91.14,91.13,91.02,L M88 Comdty,2016-03-11,1988-06-15
1988-03-30,L M88,91.2,91.22,91.2,91.16,L M88 Comdty,2016-03-11,1988-06-15
1988-03-31,L M88,91.39,91.49,91.39,91.27,L M88 Comdty,2016-03-11,1988-06-15
1988-04-05,L M88,91.37,91.42,91.37,91.36,L M88 Comdty,2016-03-11,1988-06-15
1988-04-06,L M88,91.33,91.44,91.33,91.32,L M88 Comdty,2016-03-11,1988-06-15
1988-04-07,L M88,91.27,91.37,91.27,91.25,L M88 Comdty,2016-03-11,1988-06-15
1988-04-08,L M88,91.57,91.58,91.57,91.3,L M88 Comdty,2016-03-11,1988-06-15
1988-04-11,L M88,91.55,91.69,91.55,91.54,L M88 Comdty,2016-03-11,1988-06-15
1988-04-12,L M88,91.58,91.58,91.58,91.48,L M88 Comdty,2016-03-11,1988-06-15
1988-04-13,L M88,91.52,91.6,91.52,91.51,L M88 Comdty,2016-03-11,1988-06-15
1988-04-14,L M88,91.54,91.55,91.54,91.44,L M88 Comdty,2016-03-11,1988-06-15
1988-04-15,L M88,91.68,91.69,91.68,91.57,L M88 Comdty,2016-03-11,1988-06-15
1988-04-18,L M88,91.86,91.87,91.86,91.75,L M88 Comdty,2016-03-11,1988-06-15
1988-04-19,L M88,91.83,91.92,91.83,91.7,L M88 Comdty,2016-03-11,1988-06-15
1988-04-20,L M88,91.7,91.81,91.7,91.7,L M88 Comdty,2016-03-11,1988-06-15
1988-04-21,L M88,91.72,91.72,91.72,91.58,L M88 Comdty,2016-03-11,1988-06-15
1988-04-22,L M88,91.46,91.78,91.46,91.45,L M88 Comdty,2016-03-11,1988-06-15
1988-04-25,L M88,91.22,91.43,91.22,91.21,L M88 Comdty,2016-03-11,1988-06-15
1988-04-26,L M88,91.24,91.33,91.24,91.22,L M88 Comdty,2016-03-11,1988-06-15
1988-04-27,L M88,91.24,91.32,91.24,91.22,L M88 Comdty,2016-03-11,1988-06-15
1988-04-28,L M88,91.12,91.27,91.12,91.05,L M88 Comdty,2016-03-11,1988-06-15
