Date,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
26-Feb-1988,L H88,90.61,90.63,90.61,90.59,L H88 Comdty,11-Mar-2016,18-Mar-1988
29-Feb-1988,L H88,90.64,90.66,90.64,90.49,L H88 Comdty,11-Mar-2016,18-Mar-1988
1-Mar-1988,L H88,90.65,90.66,90.65,90.63,L H88 Comdty,11-Mar-2016,18-Mar-1988
2-Mar-1988,L H88,90.73,90.73,90.73,90.64,L H88 Comdty,11-Mar-2016,18-Mar-1988
3-Mar-1988,L H88,90.76,90.76,90.76,90.73,L H88 Comdty,11-Mar-2016,18-Mar-1988
4-Mar-1988,L H88,90.77,90.79,90.77,90.74,L H88 Comdty,11-Mar-2016,18-Mar-1988
7-Mar-1988,L H88,90.91,90.95,90.91,90.69,L H88 Comdty,11-Mar-2016,18-Mar-1988
8-Mar-1988,L H88,90.95,91.03,90.95,90.8,L H88 Comdty,11-Mar-2016,18-Mar-1988
9-Mar-1988,L H88,90.96,90.97,90.96,90.93,L H88 Comdty,11-Mar-2016,18-Mar-1988
10-Mar-1988,L H88,90.96,91.01,90.96,90.93,L H88 Comdty,11-Mar-2016,18-Mar-1988
11-Mar-1988,L H88,90.97,90.97,90.97,90.92,L H88 Comdty,11-Mar-2016,18-Mar-1988
14-Mar-1988,L H88,91.11,91.13,91.11,91,L H88 Comdty,11-Mar-2016,18-Mar-1988
15-Mar-1988,L H88,91.23,91.28,91.23,91.2,L H88 Comdty,11-Mar-2016,18-Mar-1988
16-Mar-1988,L H88,91.06,91.1,91.06,91.06,L H88 Comdty,11-Mar-2016,18-Mar-1988
21-Mar-1988,L M88,91.19,91.23,91.19,91.18,L M88 Comdty,11-Mar-2016,15-Jun-1988
22-Mar-1988,L M88,91.19,91.21,91.19,91.14,L M88 Comdty,11-Mar-2016,15-Jun-1988
23-Mar-1988,L M88,91.24,91.28,91.24,91.22,L M88 Comdty,11-Mar-2016,15-Jun-1988
24-Mar-1988,L M88,91.18,91.24,91.18,91.16,L M88 Comdty,11-Mar-2016,15-Jun-1988
25-Mar-1988,L M88,91.04,91.2,91.04,91.03,L M88 Comdty,11-Mar-2016,15-Jun-1988
28-Mar-1988,L M88,91.06,91.07,91.06,91.01,L M88 Comdty,11-Mar-2016,15-Jun-1988
29-Mar-1988,L M88,91.13,91.14,91.13,91.02,L M88 Comdty,11-Mar-2016,15-Jun-1988
30-Mar-1988,L M88,91.2,91.22,91.2,91.16,L M88 Comdty,11-Mar-2016,15-Jun-1988
31-Mar-1988,L M88,91.39,91.49,91.39,91.27,L M88 Comdty,11-Mar-2016,15-Jun-1988
5-Apr-1988,L M88,91.37,91.42,91.37,91.36,L M88 Comdty,11-Mar-2016,15-Jun-1988
6-Apr-1988,L M88,91.33,91.44,91.33,91.32,L M88 Comdty,11-Mar-2016,15-Jun-1988
7-Apr-1988,L M88,91.27,91.37,91.27,91.25,L M88 Comdty,11-Mar-2016,15-Jun-1988
8-Apr-1988,L M88,91.57,91.58,91.57,91.3,L M88 Comdty,11-Mar-2016,15-Jun-1988
11-Apr-1988,L M88,91.55,91.69,91.55,91.54,L M88 Comdty,11-Mar-2016,15-Jun-1988
12-Apr-1988,L M88,91.58,91.58,91.58,91.48,L M88 Comdty,11-Mar-2016,15-Jun-1988
13-Apr-1988,L M88,91.52,91.6,91.52,91.51,L M88 Comdty,11-Mar-2016,15-Jun-1988
14-Apr-1988,L M88,91.54,91.55,91.54,91.44,L M88 Comdty,11-Mar-2016,15-Jun-1988
15-Apr-1988,L M88,91.68,91.69,91.68,91.57,L M88 Comdty,11-Mar-2016,15-Jun-1988
18-Apr-1988,L M88,91.86,91.87,91.86,91.75,L M88 Comdty,11-Mar-2016,15-Jun-1988
19-Apr-1988,L M88,91.83,91.92,91.83,91.7,L M88 Comdty,11-Mar-2016,15-Jun-1988
20-Apr-1988,L M88,91.7,91.81,91.7,91.7,L M88 Comdty,11-Mar-2016,15-Jun-1988
21-Apr-1988,L M88,91.72,91.72,91.72,91.58,L M88 Comdty,11-Mar-2016,15-Jun-1988
22-Apr-1988,L M88,91.46,91.78,91.46,91.45,L M88 Comdty,11-Mar-2016,15-Jun-1988
25-Apr-1988,L M88,91.22,91.43,91.22,91.21,L M88 Comdty,11-Mar-2016,15-Jun-1988
26-Apr-1988,L M88,91.24,91.33,91.24,91.22,L M88 Comdty,11-Mar-2016,15-Jun-1988
27-Apr-1988,L M88,91.24,91.32,91.24,91.22,L M88 Comdty,11-Mar-2016,15-Jun-1988
28-Apr-1988,L M88,91.12,91.27,91.12,91.05,L M88 Comdty,11-Mar-2016,15-Jun-1988
29-Apr-1988,L M88,91.35,91.39,91.35,91.05,L M88 Comdty,11-Mar-2016,15-Jun-1988
3-May-1988,L M88,91.14,91.3,91.14,91.1,L M88 Comdty,11-Mar-2016,15-Jun-1988
4-May-1988,L M88,91.19,91.19,91.19,91.08,L M88 Comdty,11-Mar-2016,15-Jun-1988
5-May-1988,L M88,91.19,91.2,91.19,91.1,L M88 Comdty,11-Mar-2016,15-Jun-1988
6-May-1988,L M88,91.2,91.28,91.2,91.17,L M88 Comdty,11-Mar-2016,15-Jun-1988
9-May-1988,L M88,91.41,91.55,91.41,91.29,L M88 Comdty,11-Mar-2016,15-Jun-1988
10-May-1988,L M88,91.42,91.5,91.42,91.41,L M88 Comdty,11-Mar-2016,15-Jun-1988
11-May-1988,L M88,91.36,91.38,91.36,91.2,L M88 Comdty,11-Mar-2016,15-Jun-1988
12-May-1988,L M88,91.38,91.39,91.38,91.26,L M88 Comdty,11-Mar-2016,15-Jun-1988
13-May-1988,L M88,91.54,91.57,91.54,91.44,L M88 Comdty,11-Mar-2016,15-Jun-1988
16-May-1988,L M88,91.71,91.76,91.71,91.63,L M88 Comdty,11-Mar-2016,15-Jun-1988
17-May-1988,L M88,91.94,92.11,91.94,91.63,L M88 Comdty,11-Mar-2016,15-Jun-1988
18-May-1988,L M88,91.99,92.01,91.99,91.94,L M88 Comdty,11-Mar-2016,15-Jun-1988
19-May-1988,L M88,92.06,92.07,92.06,91.95,L M88 Comdty,11-Mar-2016,15-Jun-1988
20-May-1988,L M88,92.06,92.07,92.06,91.98,L M88 Comdty,11-Mar-2016,15-Jun-1988
23-May-1988,L M88,92.16,92.21,92.16,92.08,L M88 Comdty,11-Mar-2016,15-Jun-1988
24-May-1988,L M88,92.15,92.22,92.15,92.15,L M88 Comdty,11-Mar-2016,15-Jun-1988
25-May-1988,L M88,92.12,92.15,92.12,92.07,L M88 Comdty,11-Mar-2016,15-Jun-1988
26-May-1988,L M88,92.15,92.15,92.15,92.09,L M88 Comdty,11-Mar-2016,15-Jun-1988
27-May-1988,L M88,92.14,92.14,92.14,92.04,L M88 Comdty,11-Mar-2016,15-Jun-1988
31-May-1988,L M88,92.03,92.18,92.03,92.03,L M88 Comdty,11-Mar-2016,15-Jun-1988
1-Jun-1988,L M88,91.73,92.01,91.73,91.68,L M88 Comdty,11-Mar-2016,15-Jun-1988
2-Jun-1988,L M88,91.08,91.65,91.08,91.06,L M88 Comdty,11-Mar-2016,15-Jun-1988
3-Jun-1988,L M88,91.02,91.19,91.02,90.97,L M88 Comdty,11-Mar-2016,15-Jun-1988
6-Jun-1988,L M88,91.05,91.2,91.05,90.98,L M88 Comdty,11-Mar-2016,15-Jun-1988
7-Jun-1988,L M88,91.19,91.19,91.19,91.08,L M88 Comdty,11-Mar-2016,15-Jun-1988
8-Jun-1988,L M88,91.26,91.32,91.26,91.25,L M88 Comdty,11-Mar-2016,15-Jun-1988
