,BAA Comdty,EDA Comdty,EFA Comdty,ERA Comdty,ESA Comdty,IRA Comdty,L A Comdty
2006-12-19,,94.435,,,,,
2006-12-20,,94.445,,,,,
2006-12-21,,94.48,,,,,
2006-12-22,,94.395,,,,,
2006-12-26,,94.42,,,,,
2006-12-27,,94.395,,,,,
2006-12-28,,94.36,,,,,
2006-12-29,,94.34,,,,,
2007-01-02,,94.355,,,,,
2007-01-03,,94.385,,,,,
2007-01-04,,94.435,,,,,
2007-01-05,,94.415,,,,,
2007-01-08,,94.425,,,,,
2007-01-09,,94.43,,,,,
2007-01-10,,94.38,,,,,
2007-01-11,,94.33,,,,,
2007-01-12,,94.305,,,,,
2007-01-16,,94.315,,,,,
2007-01-17,,94.29,,,,,
2007-01-18,,94.34,,,,,
2007-01-19,,94.32,,,,,
2007-01-22,,94.35,,,,,
2007-01-23,,94.295,,,,,
2007-01-24,,94.28,,,,,
2007-01-25,,94.19,,,,,
2007-01-26,,94.17,,,,,
2007-01-29,,94.15,,,,,
2007-01-30,,94.175,,,,,
2007-01-31,,94.23,,,,,
2007-02-01,,94.245,,,,,
2007-02-02,,94.27,,,,,
2007-02-05,,94.29,,,,,
2007-02-06,,94.325,,,,,
2007-02-07,,94.33,,,,,
2007-02-08,,94.335,,,,,
2007-02-09,,94.265,,,,,
2007-02-12,,94.245,,,,,
2007-02-13,,94.25,,,,,
2007-02-14,,94.345,,,,,
2007-02-15,,94.345,,,,,
2007-02-16,,94.35,,,,,
2007-02-20,,94.365,,,,,
2007-02-21,,94.345,,,,,
2007-02-22,,94.31,,,,,
2007-02-23,,94.355,,,,,
2007-02-26,,94.385,,,,,
2007-02-27,,94.45,,,,,
2007-02-28,,94.41,,,,,
2007-03-01,,94.395,,,,,
2007-03-02,,94.39,,,,,
2007-03-05,,94.38,,,,,
2007-03-06,,94.395,,,,,
2007-03-07,,94.435,,,,,
2007-03-08,,94.43,,,,,
2007-03-09,,94.375,,,,,
2007-03-12,,94.405,,,,,
2007-03-13,,94.42,,,,,
2007-03-14,,94.38,,,,,
2007-03-15,,94.38,,,,,
2007-03-16,,94.37,,,,,
2007-03-19,,94.36,,,,,
2007-03-20,,94.38,,,,,
2007-03-21,,94.385,,,,,
2007-03-22,,94.315,,,,,
2007-03-23,,94.27,,,,,
2007-03-26,,94.29,,,,,
2007-03-27,,94.255,,,,,
2007-03-28,,94.22,,,,,
2007-03-29,,94.225,,,,,
2007-03-30,,94.215,,,,,
2007-04-02,,94.22,,,,,
2007-04-03,,94.215,,,,,
