,BA1 Comdty,ED1 Comdty,EF1 Comdty,ER1 Comdty,ES1 Comdty,IR1 Comdty,L 1 Comdty
1986-04-01,,92.81,,,,,
1986-04-02,,92.83,,,,,
1986-04-03,,92.78,,,,,
1986-04-04,,92.86,,,,,
1986-04-07,,92.88,,,,,
1986-04-08,,93.08,,,,,
1986-04-09,,93.15,,,,,
1986-04-10,,93.17,,,,,
1986-04-11,,93.12,,,,,
1986-04-14,,93.24,,,,,
1986-04-15,,93.2,,,,,
1986-04-16,,93.41,,,,,
1986-04-17,,93.32,,,,,
1986-04-18,,93.26,,,,,
1986-04-21,,93.17,,,,,
1986-04-22,,93.02,,,,,
1986-04-23,,92.93,,,,,
1986-04-24,,92.73,,,,,
1986-04-25,,92.67,,,,,
1986-04-28,,92.88,,,,,
1986-04-29,,92.86,,,,,
1986-04-30,,92.9,,,,,
1986-05-01,,92.83,,,,,
1986-05-02,,92.84,,,,,
1986-05-05,,93.02,,,,,
1986-05-06,,92.98,,,,,
1986-05-07,,92.97,,,,,
1986-05-08,,93.06,,,,,
1986-05-09,,92.85,,,,,
1986-05-12,,92.76,,,,,
1986-05-13,,92.84,,,,,
1986-05-14,,92.76,,,,,
1986-05-15,,92.62,,,,,
1986-05-16,,92.46,,,,,
1986-05-19,,92.42,,,,,
1986-05-20,,92.49,,,,,
1986-05-21,,92.52,,,,,
1986-05-22,,92.54,,,,,
1986-05-23,,92.59,,,,,
1986-05-27,,92.71,,,,,
1986-05-28,,92.58,,,,,
1986-05-29,,92.45,,,,,
1986-05-30,,92.41,,,,,
1986-06-02,,92.2,,,,,
1986-06-03,,92.32,,,,,
1986-06-04,,92.2,,,,,
1986-06-05,,92.23,,,,,
1986-06-06,,92.52,,,,,
1986-06-09,,92.36,,,,,
1986-06-10,,92.38,,,,,
1986-06-11,,92.42,,,,,
1986-06-12,,92.49,,,,,
1986-06-13,,92.76,,,,,
1986-06-16,,92.77,,,,,
1986-06-17,,92.85,,,,,
1986-06-18,,92.89,,,,,
1986-06-19,,92.8,,,,,
1986-06-20,,92.88,,,,,
1986-06-23,,92.91,,,,,
1986-06-24,,92.96,,,,,
1986-06-25,,93.01,,,,,
1986-06-26,,93.04,,,,,
1986-06-27,,93.11,,,,,
1986-06-30,,93.14,,,,,
1986-07-01,,93.14,,,,,
1986-07-02,,93.14,,,,,
