,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,FUT_ROLL_DT,SETTLE_DT
1989-06-30,YEU89,94.42,94.5,94.42,94.42,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-03,YEU89,94.38,94.41,94.38,94.36,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-04,YEU89,94.41,94.42,94.41,94.4,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-05,YEU89,94.43,94.44,94.43,94.4,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-06,YEU89,94.45,94.49,94.45,94.45,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-07,YEU89,94.47,94.47,94.47,94.43,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-10,YEU89,94.45,94.48,94.45,94.45,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-11,YEU89,94.46,94.46,94.46,94.45,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-12,YEU89,94.46,94.46,94.46,94.45,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-13,YEU89,94.46,94.47,94.46,94.46,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-14,YEU89,94.47,94.47,94.47,94.46,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-17,YEU89,94.45,94.46,94.45,94.45,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-18,YEU89,94.45,94.45,94.45,94.44,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-19,YEU89,94.46,94.47,94.46,94.45,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-20,YEU89,94.46,94.47,94.46,94.45,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-21,YEU89,94.46,94.47,94.46,94.46,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-24,YEU89,94.47,94.45,94.47,94.45,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-25,YEU89,94.47,94.47,94.47,94.46,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-26,YEU89,94.5,94.48,94.5,94.48,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-27,YEU89,94.56,94.6,94.56,94.51,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-28,YEU89,94.59,94.59,94.59,94.56,YEU89 Comdty,1989-09-18,2016-03-16
1989-07-31,YEU89,94.68,94.68,94.68,94.6,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-01,YEU89,94.75,94.79,94.75,94.7,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-02,YEU89,94.76,94.79,94.76,94.75,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-03,YEU89,94.69,94.74,94.69,94.69,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-04,YEU89,94.63,94.67,94.63,94.62,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-07,YEU89,94.6,94.6,94.6,94.55,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-08,YEU89,94.62,94.68,94.62,94.6,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-09,YEU89,94.63,94.65,94.63,94.63,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-10,YEU89,94.62,94.62,94.62,94.61,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-11,YEU89,94.61,94.61,94.61,94.6,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-14,YEU89,94.58,94.69,94.58,94.58,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-15,YEU89,94.55,94.57,94.55,94.54,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-16,YEU89,94.55,94.56,94.55,94.55,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-17,YEU89,94.55,94.56,94.55,94.55,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-18,YEU89,94.54,94.55,94.54,94.53,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-21,YEU89,94.54,94.54,94.54,94.54,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-22,YEU89,94.56,94.56,94.56,94.54,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-23,YEU89,94.57,94.57,94.57,94.56,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-24,YEU89,94.56,94.57,94.56,94.55,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-25,YEU89,94.55,94.57,94.55,94.55,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-28,YEU89,94.55,94.55,94.55,94.54,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-29,YEU89,94.53,94.54,94.53,94.53,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-30,YEU89,94.52,94.53,94.52,94.52,YEU89 Comdty,1989-09-18,2016-03-16
1989-08-31,YEU89,94.48,94.5,94.48,94.48,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-04,YEU89,94.44,94.46,94.44,94.43,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-06,YEU89,94.4,94.43,94.4,94.39,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-07,YEU89,94.39,94.41,94.39,94.38,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-08,YEU89,94.32,94.39,94.32,94.32,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-11,YEU89,94.26,94.28,94.26,94.22,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-12,YEU89,94.28,94.3,94.28,94.26,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-13,YEU89,94.29,94.3,94.29,94.27,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-14,YEU89,94.31,94.31,94.31,94.29,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-18,YEU89,94.22,94.22,94.22,94.21,YEU89 Comdty,1989-09-18,2016-03-16
1989-09-19,YEZ89,94.37,94.39,94.37,94.35,YEZ89 Comdty,1989-12-12,2016-03-16
1989-09-20,YEZ89,94.36,94.38,94.36,94.35,YEZ89 Comdty,1989-12-12,2016-03-16
1989-09-21,YEZ89,94.37,94.4,94.37,94.37,YEZ89 Comdty,1989-12-12,2016-03-16
1989-09-22,YEZ89,94.41,94.41,94.41,94.37,YEZ89 Comdty,1989-12-12,2016-03-16
1989-09-25,YEZ89,94.54,94.55,94.54,94.45,YEZ89 Comdty,1989-12-12,2016-03-16
1989-09-26,YEZ89,94.48,94.55,94.48,94.47,YEZ89 Comdty,1989-12-12,2016-03-16
1989-09-27,YEZ89,94.48,94.53,94.48,94.47,YEZ89 Comdty,1989-12-12,2016-03-16
1989-09-28,YEZ89,94.46,94.49,94.46,94.44,YEZ89 Comdty,1989-12-12,2016-03-16
1989-09-29,YEZ89,94.46,94.46,94.46,94.42,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-02,YEZ89,94.4,94.46,94.4,94.39,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-03,YEZ89,94.32,94.38,94.32,94.31,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-04,YEZ89,94.32,94.32,94.32,94.26,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-05,YEZ89,94.3,94.32,94.3,94.28,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-06,YEZ89,94.13,94.24,94.13,94.12,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-11,YEZ89,93.83,94.0,93.83,93.78,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-12,YEZ89,93.67,93.79,93.67,93.56,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-13,YEZ89,93.75,93.77,93.75,93.68,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-16,YEZ89,94.12,94.12,94.12,93.87,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-17,YEZ89,93.88,93.95,93.88,93.82,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-18,YEZ89,93.86,93.87,93.86,93.81,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-19,YEZ89,93.87,93.94,93.87,93.88,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-23,YEZ89,93.78,93.85,93.78,93.78,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-24,YEZ89,93.68,93.77,93.68,93.65,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-25,YEZ89,93.71,93.74,93.71,93.68,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-26,YEZ89,93.7,93.71,93.7,93.69,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-27,YEZ89,93.58,93.61,93.58,93.54,YEZ89 Comdty,1989-12-12,2016-03-16
1989-10-30,YEZ89,93.56,93.57,93.56,93.52,YEZ89 Comdty,1989-12-12,2016-03-16
