,RBACOR   Index,ADBB1M   Curncy,ADBB2M   Curncy,ADBB3M   Curncy,ADBB4M   Curncy,ADBB5M   Curncy,ADBB6M   Curncy,ADSWAP1Q Curncy,ADSWAP2Q Curncy,ADSWAP3Q Curncy,ADSWAP4  Curncy,ADSWAP5  Curncy,ADSWAP6  Curncy,ADSWAP7  Curncy,ADSWAP8  Curncy,ADSWAP9  Curncy,ADSWAP10 Curncy,ADSWAP12 Curncy,ADSWAP15 Curncy,ADSWAP20 Curncy,ADSWAP25 Curncy,ADSWAP30 Curncy
1976-04-07,7.5,,,,,,,,,,,,,,,,,,,,,
1976-04-08,8.4,,,,,,,,,,,,,,,,,,,,,
1976-04-09,7.4,,,,,,,,,,,,,,,,,,,,,
1976-04-12,8.89,,,,,,,,,,,,,,,,,,,,,
1976-04-13,9.26,,,,,,,,,,,,,,,,,,,,,
1976-04-14,9.02,,,,,,,,,,,,,,,,,,,,,
1976-04-15,7.04,,,,,,,,,,,,,,,,,,,,,
1976-04-20,5.48,,,,,,,,,,,,,,,,,,,,,
1976-04-21,7.52,,,,,,,,,,,,,,,,,,,,,
1976-04-22,8.79,,,,,,,,,,,,,,,,,,,,,
1976-04-23,7.19,,,,,,,,,,,,,,,,,,,,,
1976-04-26,7.1,,,,,,,,,,,,,,,,,,,,,
1976-04-27,7.9,,,,,,,,,,,,,,,,,,,,,
1976-04-28,5.4,,,,,,,,,,,,,,,,,,,,,
1976-04-29,5.13,,,,,,,,,,,,,,,,,,,,,
1976-04-30,5.02,,,,,,,,,,,,,,,,,,,,,
1976-05-03,6.62,,,,,,,,,,,,,,,,,,,,,
1976-05-04,5.34,,,,,,,,,,,,,,,,,,,,,
1976-05-05,7.9,,,,,,,,,,,,,,,,,,,,,
1976-05-06,8.07,,,,,,,,,,,,,,,,,,,,,
1976-05-07,7.68,,,,,,,,,,,,,,,,,,,,,
1976-05-10,7.87,,,,,,,,,,,,,,,,,,,,,
1976-05-11,6.9399999999999995,,,,,,,,,,,,,,,,,,,,,
1976-05-12,7.83,,,,,,,,,,,,,,,,,,,,,
1976-05-13,8.04,,,,,,,,,,,,,,,,,,,,,
1976-05-14,7.84,,,,,,,,,,,,,,,,,,,,,
1976-05-17,7.9399999999999995,,,,,,,,,,,,,,,,,,,,,
1976-05-18,6.11,,,,,,,,,,,,,,,,,,,,,
1976-05-19,7.91,,,,,,,,,,,,,,,,,,,,,
1976-05-20,8.32,,,,,,,,,,,,,,,,,,,,,
1976-05-21,8.16,,,,,,,,,,,,,,,,,,,,,
1976-05-24,8.17,,,,,,,,,,,,,,,,,,,,,
1976-05-25,7.9399999999999995,,,,,,,,,,,,,,,,,,,,,
1976-05-26,8.21,,,,,,,,,,,,,,,,,,,,,
1976-05-27,8.3,,,,,,,,,,,,,,,,,,,,,
1976-05-28,8.31,,,,,,,,,,,,,,,,,,,,,
1976-05-31,8.33,,,,,,,,,,,,,,,,,,,,,
1976-06-01,8.25,,,,,,,,,,,,,,,,,,,,,
1976-06-02,8.5,,,,,,,,,,,,,,,,,,,,,
1976-06-03,8.55,,,,,,,,,,,,,,,,,,,,,
1976-06-04,8.46,,,,,,,,,,,,,,,,,,,,,
1976-06-07,8.49,,,,,,,,,,,,,,,,,,,,,
1976-06-08,8.38,,,,,,,,,,,,,,,,,,,,,
1976-06-09,8.55,,,,,,,,,,,,,,,,,,,,,
1976-06-10,8.73,,,,,,,,,,,,,,,,,,,,,
1976-06-11,8.5,,,,,,,,,,,,,,,,,,,,,
1976-06-14,8.5,,,,,,,,,,,,,,,,,,,,,
1976-06-15,8.44,,,,,,,,,,,,,,,,,,,,,
1976-06-16,7.89,,,,,,,,,,,,,,,,,,,,,
1976-06-17,8.5,,,,,,,,,,,,,,,,,,,,,
1976-06-18,8.41,,,,,,,,,,,,,,,,,,,,,
1976-06-21,8.49,,,,,,,,,,,,,,,,,,,,,
1976-06-22,8.41,,,,,,,,,,,,,,,,,,,,,
1976-06-23,8.59,,,,,,,,,,,,,,,,,,,,,
1976-06-24,8.62,,,,,,,,,,,,,,,,,,,,,
1976-06-25,7.42,,,,,,,,,,,,,,,,,,,,,
1976-06-28,6.45,,,,,,,,,,,,,,,,,,,,,
1976-06-29,5.4,,,,,,,,,,,,,,,,,,,,,
1976-06-30,4.97,,,,,,,,,,,,,,,,,,,,,
1976-07-01,8.79,,,,,,,,,,,,,,,,,,,,,
1976-07-02,5.58,,,,,,,,,,,,,,,,,,,,,
1976-07-05,5.27,,,,,,,,,,,,,,,,,,,,,
1976-07-06,4.89,,,,,,,,,,,,,,,,,,,,,
1976-07-07,6.15,,,,,,,,,,,,,,,,,,,,,
1976-07-08,8.02,,,,,,,,,,,,,,,,,,,,,
1976-07-09,7.86,,,,,,,,,,,,,,,,,,,,,
1976-07-12,8.18,,,,,,,,,,,,,,,,,,,,,
1976-07-13,7.79,,,,,,,,,,,,,,,,,,,,,
1976-07-14,8.52,,,,,,,,,,,,,,,,,,,,,
1976-07-15,8.09,,,,,,,,,,,,,,,,,,,,,
1976-07-16,5.08,,,,,,,,,,,,,,,,,,,,,
1976-07-19,6.59,,,,,,,,,,,,,,,,,,,,,
1976-07-20,8.11,,,,,,,,,,,,,,,,,,,,,
1976-07-21,8.55,,,,,,,,,,,,,,,,,,,,,
1976-07-22,8.8,,,,,,,,,,,,,,,,,,,,,
1976-07-23,8.37,,,,,,,,,,,,,,,,,,,,,
1976-07-26,8.44,,,,,,,,,,,,,,,,,,,,,
1976-07-27,7.95,,,,,,,,,,,,,,,,,,,,,
1976-07-28,8.36,,,,,,,,,,,,,,,,,,,,,
1976-07-29,8.91,,,,,,,,,,,,,,,,,,,,,
1976-07-30,8.27,,,,,,,,,,,,,,,,,,,,,
1976-08-02,8.2,,,,,,,,,,,,,,,,,,,,,
1976-08-03,6.55,,,,,,,,,,,,,,,,,,,,,
1976-08-04,8.13,,,,,,,,,,,,,,,,,,,,,
1976-08-05,8.32,,,,,,,,,,,,,,,,,,,,,
1976-08-06,7.04,,,,,,,,,,,,,,,,,,,,,
1976-08-09,6.07,,,,,,,,,,,,,,,,,,,,,
1976-08-10,7.35,,,,,,,,,,,,,,,,,,,,,
1976-08-11,8.79,,,,,,,,,,,,,,,,,,,,,
1976-08-12,9.91,,,,,,,,,,,,,,,,,,,,,
1976-08-13,9.33,,,,,,,,,,,,,,,,,,,,,
1976-08-16,8.37,,,,,,,,,,,,,,,,,,,,,
1976-08-17,5.35,,,,,,,,,,,,,,,,,,,,,
1976-08-18,7.58,,,,,,,,,,,,,,,,,,,,,
1976-08-19,8.73,,,,,,,,,,,,,,,,,,,,,
1976-08-20,8.27,,,,,,,,,,,,,,,,,,,,,
1976-08-23,7.39,,,,,,,,,,,,,,,,,,,,,
1976-08-24,5.16,,,,,,,,,,,,,,,,,,,,,
1976-08-25,5.95,,,,,,,,,,,,,,,,,,,,,
1976-08-26,8.77,,,,,,,,,,,,,,,,,,,,,
1976-08-27,8.73,,,,,,,,,,,,,,,,,,,,,
1976-08-30,8.77,,,,,,,,,,,,,,,,,,,,,
1976-08-31,7.72,,,,,,,,,,,,,,,,,,,,,
1976-09-01,9.02,,,,,,,,,,,,,,,,,,,,,
1976-09-02,8.4,,,,,,,,,,,,,,,,,,,,,
1976-09-03,6.8,,,,,,,,,,,,,,,,,,,,,
1976-09-06,5.18,,,,,,,,,,,,,,,,,,,,,
1976-09-07,4.99,,,,,,,,,,,,,,,,,,,,,
1976-09-08,7.22,,,,,,,,,,,,,,,,,,,,,
1976-09-09,8.54,,,,,,,,,,,,,,,,,,,,,
1976-09-10,8.44,,,,,,,,,,,,,,,,,,,,,
1976-09-13,9.1,,,,,,,,,,,,,,,,,,,,,
1976-09-14,8.93,,,,,,,,,,,,,,,,,,,,,
1976-09-15,8.79,,,,,,,,,,,,,,,,,,,,,
1976-09-16,5.91,,,,,,,,,,,,,,,,,,,,,
