,DEPOSIT:1D,DEPOSIT:1M,DEPOSIT:2M,DEPOSIT:3M,FUTURES:4M,FUTURES:5M,FUTURES:6M,FUTURES:7M,FUTURES:8M,FUTURES:9M,FUTURES:10M,FUTURES:11M,FIXFLOAT:1Y,FIXFLOAT:2Y,FIXFLOAT:3Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y,FIXFLOAT:10Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:20Y,FIXFLOAT:25Y,FIXFLOAT:30Y
4-Apr-1989,,,,,,,,,,,,,,11.79,11.62,11.47,11.35,,11.22,,,11.06,,,,,
5-Apr-1989,,,,,,,,,,,,,,11.7,11.55,11.43,11.32,,11.21,,,11.06,,,,,
6-Apr-1989,,,,,,,,,,,,,,11.73,11.55,11.43,11.34,,11.22,,,11.07,,,,,
7-Apr-1989,,,,,,,,,,,,,,11.91,11.71,11.55,11.41,,11.29,,,11.13,,,,,
10-Apr-1989,,,,,,,,,,,,,,11.96,11.73,11.61,11.48,,11.34,,,11.17,,,,,
11-Apr-1989,,,,,,,,,,,,,,11.94,11.71,11.57,11.45,,11.31,,,11.14,,,,,
12-Apr-1989,,,,,,,,,,,,,,11.97,11.71,11.57,11.44,,11.31,,,11.15,,,,,
13-Apr-1989,,,,,,,,,,,,,,11.94,11.71,11.56,11.43,,11.3,,,11.17,,,,,
14-Apr-1989,,,,,,,,,,,,,,11.97,11.74,11.58,11.45,,11.32,,,11.19,,,,,
17-Apr-1989,,,,,,,,,,,,,,11.7,11.47,11.35,11.23,,11.15,,,11.07,,,,,
18-Apr-1989,,,,,,,,,,,,,,11.7,11.47,11.36,11.24,,11.13,,,11.07,,,,,
19-Apr-1989,,,,,,,,,,,,,,11.3,11.22,11.13,11.05,,10.98,,,10.92,,,,,
20-Apr-1989,,,,,,,,,,,,,,11.3,11.21,11.13,11.04,,10.96,,,10.89,,,,,
21-Apr-1989,,,,,,,,,,,,,,11.66,11.4,11.3,11.21,,11.13,,,11.04,,,,,
24-Apr-1989,,,,,,,,,,,,,,11.42,11.22,11.12,11.02,,10.96,,,10.89,,,,,
25-Apr-1989,,,,,,,,,,,,,,11.45,11.29,11.15,11.03,,10.97,,,10.92,,,,,
26-Apr-1989,,,,,,,,,,,,,,11.44,11.28,11.15,11.02,,10.96,,,10.91,,,,,
27-Apr-1989,,,,,,,,,,,,,,11.42,11.26,11.13,11,,10.94,,,10.9,,,,,
28-Apr-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-May-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-May-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-May-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-May-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-May-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-May-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-May-1989,,,,,,,,,,,,,,11.14,10.82,10.73,10.67,,10.66,,,10.7,,,,,
10-May-1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-1989,,,,,,,,,,,,,,11.49,11.13,11.05,11,,10.96,,,10.92,,,,,
12-May-1989,,,,,,,,,,,,,,11.35,11.03,10.93,10.87,,10.85,,,10.85,,,,,
15-May-1989,,,,,,,,,,,,,,10.8,10.59,10.51,10.46,,10.48,,,10.53,,,,,
16-May-1989,,,,,,,,,,,,,,10.99,10.8,10.72,10.68,,10.65,,,10.64,,,,,
17-May-1989,,,,,,,,,,,,,,11.08,10.86,10.75,10.66,,10.64,,,10.63,,,,,
18-May-1989,,,,,,,,,,,,,,11.14,10.88,10.77,10.69,,10.65,,,10.61,,,,,
19-May-1989,,,,,,,,,,,,,,11.15,10.9,10.78,10.7,,10.66,,,10.61,,,,,
22-May-1989,,,,,,,,,,,,,,11.04,10.83,10.7,10.63,,10.61,,,10.57,,,,,
23-May-1989,,,,,,,,,,,,,,10.94,10.73,10.6,10.53,,10.51,,,10.47,,,,,
24-May-1989,,,,,,,,,,,,,,10.94,10.78,10.67,10.61,,10.55,,,10.48,,,,,
25-May-1989,,,,,,,,,,,,,,11.14,10.95,10.88,10.81,,10.72,,,10.61,,,,,
26-May-1989,,,,,,,,,,,,,,11.19,11.11,10.96,10.83,,10.73,,,10.61,,,,,
29-May-1989,,,,,,,,,,,,,,11.08,10.99,10.88,10.74,,10.7,,,10.6,,,,,
30-May-1989,,,,,,,,,,,,,,10.91,10.87,10.76,10.63,,10.61,,,10.54,,,,,
31-May-1989,,,,,,,,,,,,,,10.99,10.91,10.82,10.7,,10.69,,,10.6,,,,,
1-Jun-1989,,,,,,,,,,,,,,10.85,10.79,10.72,10.63,,10.64,,,10.58,,,,,
2-Jun-1989,,,,,,,,,,,,,,10.85,10.79,10.72,10.63,,10.64,,,10.58,,,,,
5-Jun-1989,,,,,,,,,,,,,,10.47,10.6,10.53,10.44,,10.46,,,10.42,,,,,
6-Jun-1989,,,,,,,,,,,,,,10.31,10.42,10.37,10.31,,10.34,,,10.31,,,,,
7-Jun-1989,,,,,,,,,,,,,,10.43,10.48,10.43,10.35,,10.38,,,10.35,,,,,
8-Jun-1989,,,,,,,,,,,,,,10.4,10.44,10.38,10.3,,10.32,,,10.29,,,,,
9-Jun-1989,,,,,,,,,,,,,,10.4,10.36,10.29,10.2,,10.24,,,10.23,,,,,
12-Jun-1989,,,,,,,,,,,,,,10.35,10.29,10.2,10.1,,10.15,,,10.15,,,,,
13-Jun-1989,,,,,,,,,,,,,,10.42,10.36,10.33,10.24,,10.23,,,10.19,,,,,
14-Jun-1989,,,,,,,,,,,,,,10.71,10.55,10.37,10.37,,10.35,,,10.31,,,,,
15-Jun-1989,,,,,,,,,,,,,,10.62,10.37,10.31,10.22,,10.24,,,10.22,,,,,
16-Jun-1989,,,,,,,,,,,,,,10.82,10.58,10.5,10.41,,10.38,,,10.32,,,,,
19-Jun-1989,,,,,,,,,,,,,,10.9,10.73,10.57,10.54,,10.45,,,10.34,,,,,
20-Jun-1989,,,,,,,,,,,,,,10.99,10.74,10.64,10.62,,10.52,,,10.39,,,,,
21-Jun-1989,,,,,,,,,,,,,,10.87,10.66,10.55,10.51,,10.46,,,10.38,,,,,
22-Jun-1989,,,,,,,,,,,,,,10.9,10.74,10.63,10.59,,10.52,,,10.43,,,,,
23-Jun-1989,,,,,,,,,,,,,,10.93,10.79,10.69,10.65,,10.59,,,10.5,,,,,
26-Jun-1989,,,,,,,,,,,,,,10.85,10.71,10.62,10.59,,10.5,,,10.38,,,,,
27-Jun-1989,,,,,,,,,,,,,,10.47,10.45,10.38,10.38,,10.35,,,10.3,,,,,
28-Jun-1989,,,,,,,,,,,,,,10.38,10.35,10.28,10.27,,10.27,,,10.26,,,,,
29-Jun-1989,,,,,,,,,,,,,,10.55,10.48,10.39,10.37,,10.37,,,10.34,,,,,
30-Jun-1989,,,,,,,,,,,,,,10.44,10.39,10.32,10.32,,10.3,,,10.25,,,,,
3-Jul-1989,,,,,,,,,,,,,,10.37,10.34,10.44,10.34,,10.32,,,10.32,,,,,
4-Jul-1989,,,,,,,,,,,,,,10.37,10.35,10.31,10.34,,10.29,,,10.2,,,,,
5-Jul-1989,,,,,,,,,,,,,,10.37,10.35,10.31,10.34,,10.3,,,10.2,,,,,
6-Jul-1989,,,,,,,,,,,,,,10.26,10.31,10.43,10.33,,10.32,,,10.22,,,,,
7-Jul-1989,,,,,,,,,,,,,,10.25,10.31,10.24,10.24,,10.26,,,10.27,,,,,
10-Jul-1989,,,,,,,,,,,,,,10.32,10.37,10.3,10.3,,10.29,,,10.29,,,,,
