,SFDR1T   Curncy,SF0001W  Index,SF0001M  Index,SF0002M  Index,SF0003M  Index,SF0006M  Index,SF0012M  Index,SFSW2    Curncy,SFSW3    Curncy,SFSW4    Curncy,SFSW5    Curncy,SFSW6    Curncy,SFSW7    Curncy,SFSW8    Curncy,SFSW9    Curncy,SFSW10   Curncy,SFSW12   Curncy,SFSW15   Curncy,SFSW20   Curncy,SFSW25   Curncy,SFSW30   Curncy
11/1/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/2/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/3/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/6/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/7/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/8/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/9/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/10/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/13/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/14/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/15/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/16/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/17/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/20/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/21/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/22/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/23/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/24/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/27/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/28/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/29/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/30/1989,,,,,,,,,,,,,,,,,,,,,
12/1/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
12/4/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
12/5/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
12/6/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
12/7/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/8/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/11/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/12/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/13/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/14/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/15/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/18/1989,,,8.75,8.6875,8.625,8.3125,,,,,,,,,,,,,,,
12/19/1989,,,8.75,8.6875,8.625,8.3125,,,,,,,,,,,,,,,
12/20/1989,,,8.75,8.6875,8.625,8.3125,,,,,,,,,,,,,,,
12/21/1989,,,8.75,8.6875,8.625,8.3125,,,,,,,,,,,,,,,
12/22/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/25/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/26/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/27/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/28/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/29/1989,,,,,,,,,,,,,,,,,,,,,
1/1/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/2/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/3/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/4/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/5/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/8/1990,,,9.5625,9.3125,9.1875,9.0625,,,,,,,,,,,,,,,
1/9/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/10/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/11/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/12/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/15/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/16/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/17/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/18/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/19/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/22/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/23/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/24/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/25/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/26/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/29/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/30/1990,,,,,,,,,,,,,,,,,,,,,
1/31/1990,,,,,,,,,,,,,,,,,,,,,
2/1/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
2/2/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
2/5/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/6/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/7/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/8/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/9/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/12/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/13/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/14/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/15/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/16/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/19/1990,,,9.25,9.375,9.5,9.5625,,,,,,,,,,,,,,,
2/20/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/21/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/22/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/23/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/26/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/27/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
