,CKSW10   Curncy,CKSW12   Curncy,CKSW15   Curncy,CKSW2    Curncy,CKSW20   Curncy,CKSW3    Curncy,CKSW30   Curncy,CKSW4    Curncy,CKSW5    Curncy,CKSW6    Curncy,CKSW7    Curncy,CKSW8    Curncy,CKSW9    Curncy,PRIB01M  Index,PRIB01W  Index,PRIB01Y  Index,PRIB02M  Index,PRIB02W  Index,PRIB03M  Index,PRIB06M  Index,PRIB09M  Index,PRIBOVN  Index
1993-04-01,,,,,,,,,,,,,,,16.75,20.0,,17.75,18.88,19.0,,16.0
1993-04-02,,,,,,,,,,,,,,,17.69,20.0,,18.0,19.13,19.0,,17.0
1993-04-05,,,,,,,,,,,,,,,18.56,20.0,,19.0,19.5,19.75,,16.81
1993-04-06,,,,,,,,,,,,,,,18.56,20.0,,19.31,19.5,19.0,,17.06
1993-04-07,,,,,,,,,,,,,,,18.63,20.0,,19.0,19.0,19.0,,17.19
1993-04-08,,,,,,,,,,,,,,,18.13,19.75,,18.19,18.75,19.5,,17.06
1993-04-09,,,,,,,,,,,,,,,18.0,19.19,,18.25,18.63,19.19,,17.56
1993-04-13,,,,,,,,,,,,,,,18.19,19.0,,18.31,18.75,19.13,,17.81
1993-04-14,,,,,,,,,,,,,,,18.56,17.88,,18.75,18.88,18.5,,17.94
1993-04-15,,,,,,,,,,,,,,,18.56,,,18.88,19.19,19.38,,18.19
1993-04-16,,,,,,,,,,,,,,,18.63,20.75,,18.75,19.5,20.0,,18.19
1993-04-19,,,,,,,,,,,,,,,19.19,19.25,,19.31,21.0,21.0,,18.69
1993-04-20,,,,,,,,,,,,,,,19.44,19.63,,19.56,19.25,19.31,,18.75
1993-04-21,,,,,,,,,,,,,,,19.56,19.5,,19.81,19.75,20.13,,19.06
1993-04-22,,,,,,,,,,,,,,,19.44,18.0,,19.63,19.25,19.0,,19.0
1993-04-23,,,,,,,,,,,,,,,19.06,18.88,,19.38,19.38,19.56,,18.94
1993-04-26,,,,,,,,,,,,,,,17.44,18.0,,17.75,18.56,19.13,,17.0
1993-04-27,,,,,,,,,,,,,,,16.81,18.13,,17.25,18.06,17.94,,15.94
1993-04-28,,,,,,,,,,,,,,,14.81,17.25,,15.38,17.13,17.5,,13.75
1993-04-29,,,,,,,,,,,,,,,14.56,17.0,,15.13,17.31,17.44,,11.88
1993-04-30,,,,,,,,,,,,,,,14.5,17.63,,14.88,17.25,17.31,,10.63
1993-05-03,,,,,,,,,,,,,,,14.88,17.63,,15.88,17.38,17.75,,11.94
1993-05-04,,,,,,,,,,,,,,,15.44,17.88,,15.94,17.44,17.81,,13.06
1993-05-05,,,,,,,,,,,,,,,15.5,17.88,,16.06,17.56,18.06,,12.88
1993-05-06,,,,,,,,,,,,,,,16.63,18.0,,17.06,17.75,17.94,,13.88
1993-05-07,,,,,,,,,,,,,,,16.44,18.13,,16.94,17.75,17.88,,14.31
1993-05-10,,,,,,,,,,,,,,,16.25,18.0,,16.81,17.88,18.06,,14.25
1993-05-11,,,,,,,,,,,,,,,16.06,18.06,,16.56,17.81,18.0,,14.5
1993-05-12,,,,,,,,,,,,,,,15.38,17.88,,15.81,17.38,17.75,,13.31
1993-05-13,,,,,,,,,,,,,,,14.88,18.0,,15.75,17.25,17.69,,13.25
1993-05-14,,,,,,,,,,,,,,,14.38,17.19,,15.06,17.06,17.13,,12.69
1993-05-17,,,,,,,,,,,,,,,14.31,17.13,,14.94,16.88,17.06,,13.19
1993-05-18,,,,,,,,,,,,,,,15.06,17.38,,15.44,16.94,17.13,,14.13
1993-05-19,,,,,,,,,,,,,,,15.38,17.38,,15.63,16.94,17.13,,14.25
1993-05-20,,,,,,,,,,,,,,,15.13,17.63,,15.5,17.13,17.13,,14.38
1993-05-21,,,,,,,,,,,,,,,15.13,17.25,,15.56,16.88,17.13,,14.13
1993-05-24,,,,,,,,,,,,,,,13.81,15.63,,14.31,16.31,16.63,,11.56
1993-05-25,,,,,,,,,,,,,,,13.69,16.63,,14.38,16.5,16.81,,10.38
