,FIXFLOAT:10Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:2Y,FIXFLOAT:20Y,FIXFLOAT:3Y,FIXFLOAT:30Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y,DEPOSIT:1M,DEPOSIT:1W,DEPOSIT:1Y,DEPOSIT:2M,DEPOSIT:2W,DEPOSIT:3M,DEPOSIT:6M,DEPOSIT:9M,DEPOSIT:1D
1-Apr-1993,,,,,,,,,,,,,,,16.75,20,,17.75,18.88,19,,16
2-Apr-1993,,,,,,,,,,,,,,,17.69,20,,18,19.13,19,,17
5-Apr-1993,,,,,,,,,,,,,,,18.56,20,,19,19.5,19.75,,16.81
6-Apr-1993,,,,,,,,,,,,,,,18.56,20,,19.31,19.5,19,,17.06
7-Apr-1993,,,,,,,,,,,,,,,18.63,20,,19,19,19,,17.19
8-Apr-1993,,,,,,,,,,,,,,,18.13,19.75,,18.19,18.75,19.5,,17.06
9-Apr-1993,,,,,,,,,,,,,,,18,19.19,,18.25,18.63,19.19,,17.56
13-Apr-1993,,,,,,,,,,,,,,,18.19,19,,18.31,18.75,19.13,,17.81
14-Apr-1993,,,,,,,,,,,,,,,18.56,17.88,,18.75,18.88,18.5,,17.94
15-Apr-1993,,,,,,,,,,,,,,,18.56,,,18.88,19.19,19.38,,18.19
16-Apr-1993,,,,,,,,,,,,,,,18.63,20.75,,18.75,19.5,20,,18.19
19-Apr-1993,,,,,,,,,,,,,,,19.19,19.25,,19.31,21,21,,18.69
20-Apr-1993,,,,,,,,,,,,,,,19.44,19.63,,19.56,19.25,19.31,,18.75
21-Apr-1993,,,,,,,,,,,,,,,19.56,19.5,,19.81,19.75,20.13,,19.06
22-Apr-1993,,,,,,,,,,,,,,,19.44,18,,19.63,19.25,19,,19
23-Apr-1993,,,,,,,,,,,,,,,19.06,18.88,,19.38,19.38,19.56,,18.94
26-Apr-1993,,,,,,,,,,,,,,,17.44,18,,17.75,18.56,19.13,,17
27-Apr-1993,,,,,,,,,,,,,,,16.81,18.13,,17.25,18.06,17.94,,15.94
28-Apr-1993,,,,,,,,,,,,,,,14.81,17.25,,15.38,17.13,17.5,,13.75
29-Apr-1993,,,,,,,,,,,,,,,14.56,17,,15.13,17.31,17.44,,11.88
30-Apr-1993,,,,,,,,,,,,,,,14.5,17.63,,14.88,17.25,17.31,,10.63
3-May-1993,,,,,,,,,,,,,,,14.88,17.63,,15.88,17.38,17.75,,11.94
4-May-1993,,,,,,,,,,,,,,,15.44,17.88,,15.94,17.44,17.81,,13.06
5-May-1993,,,,,,,,,,,,,,,15.5,17.88,,16.06,17.56,18.06,,12.88
6-May-1993,,,,,,,,,,,,,,,16.63,18,,17.06,17.75,17.94,,13.88
7-May-1993,,,,,,,,,,,,,,,16.44,18.13,,16.94,17.75,17.88,,14.31
10-May-1993,,,,,,,,,,,,,,,16.25,18,,16.81,17.88,18.06,,14.25
11-May-1993,,,,,,,,,,,,,,,16.06,18.06,,16.56,17.81,18,,14.5
12-May-1993,,,,,,,,,,,,,,,15.38,17.88,,15.81,17.38,17.75,,13.31
13-May-1993,,,,,,,,,,,,,,,14.88,18,,15.75,17.25,17.69,,13.25
14-May-1993,,,,,,,,,,,,,,,14.38,17.19,,15.06,17.06,17.13,,12.69
17-May-1993,,,,,,,,,,,,,,,14.31,17.13,,14.94,16.88,17.06,,13.19
18-May-1993,,,,,,,,,,,,,,,15.06,17.38,,15.44,16.94,17.13,,14.13
19-May-1993,,,,,,,,,,,,,,,15.38,17.38,,15.63,16.94,17.13,,14.25
20-May-1993,,,,,,,,,,,,,,,15.13,17.63,,15.5,17.13,17.13,,14.38
21-May-1993,,,,,,,,,,,,,,,15.13,17.25,,15.56,16.88,17.13,,14.13
24-May-1993,,,,,,,,,,,,,,,13.81,15.63,,14.31,16.31,16.63,,11.56
25-May-1993,,,,,,,,,,,,,,,13.69,16.63,,14.38,16.5,16.81,,10.38
26-May-1993,,,,,,,,,,,,,,,12.13,16.5,,13.06,15.69,16.31,,9.63
27-May-1993,,,,,,,,,,,,,,,11.31,16.5,,12.63,15.38,16.06,,8.19
28-May-1993,,,,,,,,,,,,,,,11.88,15.63,,12.81,15.19,15.75,,6.88
31-May-1993,,,,,,,,,,,,,,,13.63,16.75,,14.25,15.81,16.81,,7.81
