,CIBO01M  Index,CIBO02M  Index,CIBO03M  Index,CIBO06M  Index,CIBO09M  Index,DKDR1T   Curncy,DKDR2T   Curncy,DKSW1    Curncy,DKSW10   Curncy,DKSW12   Curncy,DKSW15   Curncy,DKSW2    Curncy,DKSW20   Curncy,DKSW25   Curncy,DKSW3    Curncy,DKSW30   Curncy,DKSW4    Curncy,DKSW5    Curncy,DKSW6    Curncy,DKSW7    Curncy,DKSW8    Curncy,DKSW9    Curncy
1988-06-01,8.875,8.9063,8.9844,9.0625,,,,,,,,,,,,,,,,,,
1988-06-02,8.875,8.875,8.9375,9.0,,,,,,,,,,,,,,,,,,
1988-06-03,8.8438,8.8438,8.875,8.9219,,,,,,,,,,,,,,,,,,
1988-06-06,8.8125,8.8438,8.8594,8.9375,,,,,,,,,,,,,,,,,,
1988-06-07,8.7656,8.75,8.75,8.8438,,,,,,,,,,,,,,,,,,
1988-06-08,8.6875,8.7031,8.6875,8.8281,,,,,,,,,,,,,,,,,,
1988-06-09,8.6563,8.6563,8.625,8.7969,,,,,,,,,,,,,,,,,,
1988-06-10,8.7031,8.7031,8.75,8.8594,,,,,,,,,,,,,,,,,,
1988-06-13,8.7031,8.7344,8.75,8.8594,,,,,,,,,,,,,,,,,,
1988-06-14,8.6875,8.7031,8.75,8.8594,,,,,,,,,,,,,,,,,,
1988-06-15,8.6719,8.6875,8.6875,8.75,,,,,,,,,,,,,,,,,,
1988-06-16,8.5,8.5,8.625,8.625,,,,,,,,,,,,,,,,,,
1988-06-17,8.4688,8.4688,8.5156,8.5469,,,,,,,,,,,,,,,,,,
1988-06-20,8.5313,8.5625,8.625,8.6719,,,,,,,,,,,,,,,,,,
1988-06-21,8.5625,8.5625,8.625,8.6406,,,,,,,,,,,,,,,,,,
1988-06-22,8.5625,8.5625,8.625,8.6719,,,,,,,,,,,,,,,,,,
1988-06-23,8.5313,8.5469,8.5625,8.6406,,,,,,,,,,,,,,,,,,
1988-06-24,8.4844,8.5,8.5625,8.625,,,,,,,,,,,,,,,,,,
1988-06-27,8.4375,8.4531,8.5469,8.625,,,,,,,,,,,,,,,,,,
1988-06-28,8.4375,8.4375,8.5,8.625,,,,,,,,,,,,,,,,,,
1988-06-29,8.375,8.4063,8.4844,8.625,,,,,,,,,,,,,,,,,,
1988-06-30,8.2813,8.375,8.4375,8.5156,,,,,,,,,,,,,,,,,,
1988-07-01,8.25,8.2969,8.3594,8.5,,,,,,,,,,,,,,,,,,
1988-07-04,8.2188,8.2969,8.3125,8.5,,,,,,,,,,,,,,,,,,
1988-07-05,8.2031,8.25,8.3125,8.5,,,,,,,,,,,,,,,,,,
1988-07-06,8.125,8.125,8.1406,8.375,,,,,,,,,,,,,,,,,,
1988-07-07,8.0625,8.0781,8.1406,8.375,,,,,,,,,,,,,,,,,,
1988-07-08,8.0156,8.1094,8.125,8.375,,,,,,,,,,,,,,,,,,
1988-07-11,8.0469,8.0781,8.1406,8.375,,,,,,,,,,,,,,,,,,
1988-07-12,8.2344,8.25,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-07-13,8.25,8.25,8.3125,8.4844,,,,,,,,,,,,,,,,,,
1988-07-14,8.25,8.25,8.3125,8.5,,,,,,,,,,,,,,,,,,
1988-07-15,8.25,8.25,8.3594,8.5,,,,,,,,,,,,,,,,,,
1988-07-18,8.25,8.2969,8.3594,8.5,,,,,,,,,,,,,,,,,,
1988-07-19,8.25,8.2813,8.3594,8.5,,,,,,,,,,,,,,,,,,
1988-07-20,8.25,8.2969,8.3594,8.4844,,,,,,,,,,,,,,,,,,
1988-07-21,8.1875,8.2031,8.3438,8.4531,,,,,,,,,,,,,,,,,,
1988-07-22,8.1875,8.2344,8.3125,8.5,,,,,,,,,,,,,,,,,,
1988-07-25,8.125,8.1875,8.3125,8.5,,,,,,,,,,,,,,,,,,
1988-07-26,8.0625,8.125,8.2813,8.5,,,,,,,,,,,,,,,,,,
1988-07-27,8.0156,8.1094,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-07-28,8.0156,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-07-29,8.0625,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-08-01,8.0625,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-08-02,8.0625,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-08-03,8.0,8.125,8.2344,8.5,,,,,,,,,,,,,,,,,,
1988-08-04,8.0,8.125,8.1875,8.3906,,,,,,,,,,,,,,,,,,
1988-08-05,8.0,8.125,8.125,8.375,,,,,,,,,,,,,,,,,,
1988-08-08,7.9375,8.0,8.125,8.3281,,,,,,,,,,,,,,,,,,
1988-08-09,8.0,8.125,8.25,8.4531,,,,,,,,,,,,,,,,,,
1988-08-10,8.0,8.1875,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-08-11,8.0,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-08-12,8.0,8.2031,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-08-15,8.0156,8.1875,8.25,8.5,,,,,,,,,,,,,,,,,,
1988-08-16,8.0,8.1406,8.2344,8.5,,,,,,,,,,,,,,,,,,
1988-08-17,8.0,8.125,8.1406,8.5,,,,,,,,,,,,,,,,,,
1988-08-18,8.0,8.0625,8.125,8.5,,,,,,,,,,,,,,,,,,
1988-08-19,8.0,8.0625,8.125,8.5,,,,,,,,,,,,,,,,,,
1988-08-22,7.9688,8.0938,8.125,8.5,,,,,,,,,,,,,,,,,,
1988-08-23,7.9375,8.0625,8.125,8.5,,,,,,,,,,,,,,,,,,
1988-08-24,7.9375,8.125,8.125,8.5,,,,,,,,,,,,,,,,,,
1988-08-25,7.9375,8.1094,8.1563,8.5938,,,,,,,,,,,,,,,,,,
1988-08-26,7.9375,8.0625,8.1875,8.6406,,,,,,,,,,,,,,,,,,
1988-08-29,7.9375,8.125,8.25,8.75,,,,,,,,,,,,,,,,,,
1988-08-30,7.9375,8.125,8.25,8.625,,,,,,,,,,,,,,,,,,
1988-08-31,7.9375,8.1563,8.1875,8.6875,,,,,,,,,,,,,,,,,,
1988-09-01,7.9375,8.1406,8.2031,8.6875,,,,,,,,,,,,,,,,,,
1988-09-02,7.9375,8.125,8.2031,8.7031,,,,,,,,,,,,,,,,,,
1988-09-05,7.8906,8.1406,8.25,8.7031,,,,,,,,,,,,,,,,,,
1988-09-06,7.875,8.125,8.1875,8.6406,,,,,,,,,,,,,,,,,,
1988-09-07,7.875,8.125,8.2031,8.6563,,,,,,,,,,,,,,,,,,
1988-09-08,7.875,8.0313,8.1563,8.625,,,,,,,,,,,,,,,,,,
1988-09-09,7.9375,8.0938,8.2344,8.625,,,,,,,,,,,,,,,,,,
1988-09-12,7.9375,8.0625,8.1875,8.625,,,,,,,,,,,,,,,,,,
1988-09-13,7.9375,8.0,8.125,8.625,,,,,,,,,,,,,,,,,,
1988-09-14,7.9375,8.0156,8.125,8.625,,,,,,,,,,,,,,,,,,
1988-09-15,7.875,8.0,8.125,8.5625,,,,,,,,,,,,,,,,,,
1988-09-16,7.875,7.9688,8.0313,8.5,,,,,,,,,,,,,,,,,,
1988-09-19,7.875,8.0,8.0625,8.4375,,,,,,,,,,,,,,,,,,
1988-09-20,7.875,7.9375,8.0625,8.4375,,,,,,,,,,,,,,,,,,
1988-09-21,7.875,7.9375,8.0313,8.4219,,,,8.95,10.7,,,9.3,,,9.4,,9.65,9.8,,10.05,,
1988-09-22,7.875,7.9375,8.0625,8.375,,,,8.95,10.7,,,9.3,,,9.35,,9.65,9.8,,10.05,,
1988-09-23,7.875,7.9063,8.0625,8.375,,,,8.95,10.7,,,9.25,,,9.45,,9.65,9.8,,10.0,,
1988-09-26,7.875,7.875,8.0625,8.375,,,,8.95,10.65,,,9.2,,,9.35,,9.6,9.7,,10.25,,
1988-09-27,7.875,7.875,8.0,8.375,,,,8.76,10.55,,,9.2,,,9.3,,9.6,9.75,,10.1,,
1988-09-28,7.8438,7.875,8.0,8.3125,,,,8.95,10.6,,,9.3,,,9.35,,9.6,9.8,,10.05,,
1988-09-29,7.7813,7.8281,8.0,8.25,,,,8.76,10.7,,,9.25,,,9.35,,9.6,9.8,,10.05,,
1988-09-30,7.7656,7.8438,7.9844,8.25,,,,8.76,10.6,,,9.25,,,9.35,,9.6,9.8,,10.05,,
1988-10-03,7.75,7.8125,7.9531,8.25,,,,8.76,10.45,,,9.05,,,9.25,,9.5,9.65,,9.95,,
1988-10-04,7.75,7.8438,7.9531,8.1875,,,,8.76,10.45,,,9.05,,,9.15,,9.5,9.7,,9.95,,
1988-10-05,7.75,7.875,8.0,8.2344,,,,8.45,10.45,,,9.05,,,9.15,,9.5,9.7,,9.95,,
1988-10-06,7.75,7.875,8.0,8.2188,,,,8.45,10.55,,,9.2,,,9.3,,9.5,9.75,,10.05,,
1988-10-07,7.8125,7.875,8.0,8.3125,,,,8.45,10.65,,,9.1,,,9.2,,9.55,9.8,,10.0,,
