,DEPOSIT:1M,DEPOSIT:2M,DEPOSIT:3M,DEPOSIT:6M,DEPOSIT:9M,DEPOSIT:1D,DEPOSIT:2D,FIXFLOAT:1Y,FIXFLOAT:10Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:2Y,FIXFLOAT:20Y,FIXFLOAT:25Y,FIXFLOAT:3Y,FIXFLOAT:30Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y
1-Jun-1988,8.875,8.9063,8.9844,9.0625,,,,,,,,,,,,,,,,,,
2-Jun-1988,8.875,8.875,8.9375,9,,,,,,,,,,,,,,,,,,
3-Jun-1988,8.8438,8.8438,8.875,8.9219,,,,,,,,,,,,,,,,,,
6-Jun-1988,8.8125,8.8438,8.8594,8.9375,,,,,,,,,,,,,,,,,,
7-Jun-1988,8.7656,8.75,8.75,8.8438,,,,,,,,,,,,,,,,,,
8-Jun-1988,8.6875,8.7031,8.6875,8.8281,,,,,,,,,,,,,,,,,,
9-Jun-1988,8.6563,8.6563,8.625,8.7969,,,,,,,,,,,,,,,,,,
10-Jun-1988,8.7031,8.7031,8.75,8.8594,,,,,,,,,,,,,,,,,,
13-Jun-1988,8.7031,8.7344,8.75,8.8594,,,,,,,,,,,,,,,,,,
14-Jun-1988,8.6875,8.7031,8.75,8.8594,,,,,,,,,,,,,,,,,,
15-Jun-1988,8.6719,8.6875,8.6875,8.75,,,,,,,,,,,,,,,,,,
16-Jun-1988,8.5,8.5,8.625,8.625,,,,,,,,,,,,,,,,,,
17-Jun-1988,8.4688,8.4688,8.5156,8.5469,,,,,,,,,,,,,,,,,,
20-Jun-1988,8.5313,8.5625,8.625,8.6719,,,,,,,,,,,,,,,,,,
21-Jun-1988,8.5625,8.5625,8.625,8.6406,,,,,,,,,,,,,,,,,,
22-Jun-1988,8.5625,8.5625,8.625,8.6719,,,,,,,,,,,,,,,,,,
23-Jun-1988,8.5313,8.5469,8.5625,8.6406,,,,,,,,,,,,,,,,,,
24-Jun-1988,8.4844,8.5,8.5625,8.625,,,,,,,,,,,,,,,,,,
27-Jun-1988,8.4375,8.4531,8.5469,8.625,,,,,,,,,,,,,,,,,,
28-Jun-1988,8.4375,8.4375,8.5,8.625,,,,,,,,,,,,,,,,,,
29-Jun-1988,8.375,8.4063,8.4844,8.625,,,,,,,,,,,,,,,,,,
30-Jun-1988,8.2813,8.375,8.4375,8.5156,,,,,,,,,,,,,,,,,,
1-Jul-1988,8.25,8.2969,8.3594,8.5,,,,,,,,,,,,,,,,,,
4-Jul-1988,8.2188,8.2969,8.3125,8.5,,,,,,,,,,,,,,,,,,
5-Jul-1988,8.2031,8.25,8.3125,8.5,,,,,,,,,,,,,,,,,,
6-Jul-1988,8.125,8.125,8.1406,8.375,,,,,,,,,,,,,,,,,,
7-Jul-1988,8.0625,8.0781,8.1406,8.375,,,,,,,,,,,,,,,,,,
8-Jul-1988,8.0156,8.1094,8.125,8.375,,,,,,,,,,,,,,,,,,
11-Jul-1988,8.0469,8.0781,8.1406,8.375,,,,,,,,,,,,,,,,,,
12-Jul-1988,8.2344,8.25,8.25,8.5,,,,,,,,,,,,,,,,,,
13-Jul-1988,8.25,8.25,8.3125,8.4844,,,,,,,,,,,,,,,,,,
14-Jul-1988,8.25,8.25,8.3125,8.5,,,,,,,,,,,,,,,,,,
15-Jul-1988,8.25,8.25,8.3594,8.5,,,,,,,,,,,,,,,,,,
18-Jul-1988,8.25,8.2969,8.3594,8.5,,,,,,,,,,,,,,,,,,
19-Jul-1988,8.25,8.2813,8.3594,8.5,,,,,,,,,,,,,,,,,,
20-Jul-1988,8.25,8.2969,8.3594,8.4844,,,,,,,,,,,,,,,,,,
21-Jul-1988,8.1875,8.2031,8.3438,8.4531,,,,,,,,,,,,,,,,,,
22-Jul-1988,8.1875,8.2344,8.3125,8.5,,,,,,,,,,,,,,,,,,
25-Jul-1988,8.125,8.1875,8.3125,8.5,,,,,,,,,,,,,,,,,,
26-Jul-1988,8.0625,8.125,8.2813,8.5,,,,,,,,,,,,,,,,,,
27-Jul-1988,8.0156,8.1094,8.25,8.5,,,,,,,,,,,,,,,,,,
28-Jul-1988,8.0156,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
29-Jul-1988,8.0625,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
1-Aug-1988,8.0625,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
2-Aug-1988,8.0625,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
3-Aug-1988,8,8.125,8.2344,8.5,,,,,,,,,,,,,,,,,,
4-Aug-1988,8,8.125,8.1875,8.3906,,,,,,,,,,,,,,,,,,
5-Aug-1988,8,8.125,8.125,8.375,,,,,,,,,,,,,,,,,,
8-Aug-1988,7.9375,8,8.125,8.3281,,,,,,,,,,,,,,,,,,
9-Aug-1988,8,8.125,8.25,8.4531,,,,,,,,,,,,,,,,,,
10-Aug-1988,8,8.1875,8.25,8.5,,,,,,,,,,,,,,,,,,
11-Aug-1988,8,8.125,8.25,8.5,,,,,,,,,,,,,,,,,,
12-Aug-1988,8,8.2031,8.25,8.5,,,,,,,,,,,,,,,,,,
15-Aug-1988,8.0156,8.1875,8.25,8.5,,,,,,,,,,,,,,,,,,
16-Aug-1988,8,8.1406,8.2344,8.5,,,,,,,,,,,,,,,,,,
17-Aug-1988,8,8.125,8.1406,8.5,,,,,,,,,,,,,,,,,,
18-Aug-1988,8,8.0625,8.125,8.5,,,,,,,,,,,,,,,,,,
19-Aug-1988,8,8.0625,8.125,8.5,,,,,,,,,,,,,,,,,,
22-Aug-1988,7.9688,8.0938,8.125,8.5,,,,,,,,,,,,,,,,,,
23-Aug-1988,7.9375,8.0625,8.125,8.5,,,,,,,,,,,,,,,,,,
24-Aug-1988,7.9375,8.125,8.125,8.5,,,,,,,,,,,,,,,,,,
25-Aug-1988,7.9375,8.1094,8.1563,8.5938,,,,,,,,,,,,,,,,,,
26-Aug-1988,7.9375,8.0625,8.1875,8.6406,,,,,,,,,,,,,,,,,,
29-Aug-1988,7.9375,8.125,8.25,8.75,,,,,,,,,,,,,,,,,,
30-Aug-1988,7.9375,8.125,8.25,8.625,,,,,,,,,,,,,,,,,,
31-Aug-1988,7.9375,8.1563,8.1875,8.6875,,,,,,,,,,,,,,,,,,
1-Sep-1988,7.9375,8.1406,8.2031,8.6875,,,,,,,,,,,,,,,,,,
2-Sep-1988,7.9375,8.125,8.2031,8.7031,,,,,,,,,,,,,,,,,,
5-Sep-1988,7.8906,8.1406,8.25,8.7031,,,,,,,,,,,,,,,,,,
6-Sep-1988,7.875,8.125,8.1875,8.6406,,,,,,,,,,,,,,,,,,
7-Sep-1988,7.875,8.125,8.2031,8.6563,,,,,,,,,,,,,,,,,,
8-Sep-1988,7.875,8.0313,8.1563,8.625,,,,,,,,,,,,,,,,,,
9-Sep-1988,7.9375,8.0938,8.2344,8.625,,,,,,,,,,,,,,,,,,
12-Sep-1988,7.9375,8.0625,8.1875,8.625,,,,,,,,,,,,,,,,,,
13-Sep-1988,7.9375,8,8.125,8.625,,,,,,,,,,,,,,,,,,
14-Sep-1988,7.9375,8.0156,8.125,8.625,,,,,,,,,,,,,,,,,,
15-Sep-1988,7.875,8,8.125,8.5625,,,,,,,,,,,,,,,,,,
16-Sep-1988,7.875,7.9688,8.0313,8.5,,,,,,,,,,,,,,,,,,
19-Sep-1988,7.875,8,8.0625,8.4375,,,,,,,,,,,,,,,,,,
20-Sep-1988,7.875,7.9375,8.0625,8.4375,,,,,,,,,,,,,,,,,,
21-Sep-1988,7.875,7.9375,8.0313,8.4219,,,,8.95,10.7,,,9.3,,,9.4,,9.65,9.8,,10.05,,
22-Sep-1988,7.875,7.9375,8.0625,8.375,,,,8.95,10.7,,,9.3,,,9.35,,9.65,9.8,,10.05,,
23-Sep-1988,7.875,7.9063,8.0625,8.375,,,,8.95,10.7,,,9.25,,,9.45,,9.65,9.8,,10,,
26-Sep-1988,7.875,7.875,8.0625,8.375,,,,8.95,10.65,,,9.2,,,9.35,,9.6,9.7,,10.25,,
27-Sep-1988,7.875,7.875,8,8.375,,,,8.76,10.55,,,9.2,,,9.3,,9.6,9.75,,10.1,,
28-Sep-1988,7.8438,7.875,8,8.3125,,,,8.95,10.6,,,9.3,,,9.35,,9.6,9.8,,10.05,,
29-Sep-1988,7.7813,7.8281,8,8.25,,,,8.76,10.7,,,9.25,,,9.35,,9.6,9.8,,10.05,,
30-Sep-1988,7.7656,7.8438,7.9844,8.25,,,,8.76,10.6,,,9.25,,,9.35,,9.6,9.8,,10.05,,
3-Oct-1988,7.75,7.8125,7.9531,8.25,,,,8.76,10.45,,,9.05,,,9.25,,9.5,9.65,,9.95,,
4-Oct-1988,7.75,7.8438,7.9531,8.1875,,,,8.76,10.45,,,9.05,,,9.15,,9.5,9.7,,9.95,,
5-Oct-1988,7.75,7.875,8,8.2344,,,,8.45,10.45,,,9.05,,,9.15,,9.5,9.7,,9.95,,
6-Oct-1988,7.75,7.875,8,8.2188,,,,8.45,10.55,,,9.2,,,9.3,,9.5,9.75,,10.05,,
7-Oct-1988,7.8125,7.875,8,8.3125,,,,8.45,10.65,,,9.1,,,9.2,,9.55,9.8,,10,,
10-Oct-1988,7.8125,7.875,8,8.25,,,,8.28,10.65,,,9.05,,,9.15,,9.5,9.75,,10.05,,
11-Oct-1988,7.8125,7.875,8,8.25,,,,8.28,10.65,,,9.05,,,9.15,,9.5,9.75,,10.05,,
12-Oct-1988,7.8125,7.9375,8.0625,8.2656,,,,8.45,10.55,,,9.1,,,9.2,,9.55,9.8,,10.05,,
13-Oct-1988,7.8125,7.875,8.0625,8.2656,,,,8.53,10.65,,,9.2,,,9.3,,9.6,9.85,,10.15,,
14-Oct-1988,7.875,8,8.1875,8.375,,,,8.53,10.65,,,9.25,,,9.3,,9.55,9.85,,10.15,,
17-Oct-1988,7.875,8,8.1875,8.375,,,,8.53,10.6,,,9.25,,,9.3,,9.55,9.8,,10.15,,
18-Oct-1988,7.875,8.0469,8.1875,8.375,,,,8.53,10.6,,,9.25,,,9.3,,9.55,9.8,,10.15,,
19-Oct-1988,7.875,8.0625,8.1875,8.375,,,,8.53,10.6,,,9.15,,,9.3,,9.6,9.8,,10.05,,
20-Oct-1988,7.875,8.0625,8.1875,8.4375,,,,8.58,10.55,,,9.15,,,9.3,,9.6,9.8,,10.05,,
21-Oct-1988,7.875,8.0625,8.125,8.4219,,,,8.58,10.55,,,9.15,,,9.25,,9.55,9.75,,10.05,,
24-Oct-1988,7.8125,8.0625,8.125,8.4375,,,,8.58,10.55,,,9.15,,,9.25,,9.55,9.75,,10.03,,
25-Oct-1988,7.875,8.0625,8.125,8.3906,,,,8.58,10.5,,,9.15,,,9.25,,9.55,9.7,,10,,
26-Oct-1988,7.875,8,8.125,8.375,,,,8.58,10.5,,,9.15,,,9.2,,9.5,9.65,,10,,
27-Oct-1988,7.875,8.0156,8.125,8.3438,,,,8.58,10.45,,,9.1,,,9.15,,9.5,9.6,,9.95,,
28-Oct-1988,7.875,8,8.125,8.3281,,,,8.58,10.45,,,9.1,,,9.15,,9.45,9.6,,9.95,,
31-Oct-1988,7.875,8,8.125,8.2813,,,,8.42,10.45,,,9.1,,,9.15,,9.45,9.6,,9.95,,
1-Nov-1988,7.875,8,8.1094,8.2813,,,,8.42,10.4,,,9.1,,,9.1,,9.4,9.55,,9.85,,
2-Nov-1988,7.875,7.9688,8.0313,8.25,,,,8.42,10.35,,,9.1,,,9.1,,9.45,9.6,,9.85,,
3-Nov-1988,7.875,8,8.0625,8.25,,,,8.42,10.35,,,9.1,,,9.1,,9.45,9.6,,9.85,,
4-Nov-1988,7.875,8,8.0625,8.25,,,,8.42,10.35,,,9.1,,,9.1,,9.45,9.6,,9.85,,
7-Nov-1988,7.875,8,8.125,8.2656,,,,8.39,10.45,,,9.1,,,9.1,,9.5,9.65,,9.9,,
8-Nov-1988,7.875,8.0313,8.125,8.2656,,,,8.39,10.45,,,9.1,,,9.15,,9.45,9.65,,9.9,,
9-Nov-1988,7.875,8.0156,8.125,8.3125,,,,8.39,10.45,,,9.05,,,9.1,,9.45,9.6,,9.9,,
10-Nov-1988,7.875,8.0156,8.125,8.3125,,,,8.45,10.45,,,9.05,,,9.1,,9.45,9.6,,9.9,,
11-Nov-1988,7.875,8.0156,8.125,8.3125,,,,8.45,10.45,,,9.05,,,9.1,,9.45,9.6,,9.9,,
14-Nov-1988,7.875,8.0313,8.125,8.3125,,,,8.45,10.5,,,9.05,,,9.2,,9.55,9.6,,9.95,,
15-Nov-1988,7.875,8.0469,8.125,8.3125,,,,8.45,10.55,,,9.1,,,9.2,,9.5,9.55,,9.95,,
16-Nov-1988,7.875,8.0469,8.125,8.3125,,,,8.45,10.55,,,9.1,,,9.2,,9.45,9.55,,9.95,,
17-Nov-1988,7.875,8.0625,8.125,8.3125,,,,,,,,,,,,,,,,,,
18-Nov-1988,7.875,8.0625,8.125,8.3125,,,,8.45,10.55,,,9.1,,,9.2,,9.45,9.55,,9.9,,
21-Nov-1988,7.875,8.0625,8.125,8.3125,,,,8.45,10.5,,,9.05,,,9.2,,9.45,9.55,,9.9,,
22-Nov-1988,7.8906,8.0625,8.125,8.3125,,,,8.45,10.4,,,9.05,,,9.2,,9.4,9.55,,9.85,,
23-Nov-1988,7.9375,8.0625,8.125,8.3125,,,,8.45,10.4,,,9.05,,,9.25,,9.5,9.6,,9.85,,
24-Nov-1988,7.9375,8.0625,8.1406,8.3125,,,,8.45,10.4,,,9.05,,,9.25,,9.5,9.6,,9.85,,
25-Nov-1988,7.9531,8.0625,8.1563,8.3125,,,,8.45,10.45,,,9.05,,,9.25,,9.5,9.65,,9.95,,
28-Nov-1988,7.9688,8.0625,8.1406,8.3125,,,,8.43,10.45,,,9.05,,,9.35,,9.5,9.65,,9.95,,
29-Nov-1988,8,8.0625,8.1406,8.3125,,,,8.43,10.45,,,9.05,,,9.3,,9.5,9.6,,9.95,,
30-Nov-1988,8,8.0625,8.1406,8.3125,,,,8.43,10.35,,,9.05,,,9.25,,9.4,9.55,,9.85,,
1-Dec-1988,8,8.0625,8.125,8.3125,,,,8.43,10.3,,,9.05,,,9.2,,9.35,9.45,,9.8,,
2-Dec-1988,8,8.0625,8.125,8.2656,,,,8.43,10.3,,,9.05,,,9.15,,9.3,9.35,,9.8,,
5-Dec-1988,8,8.0625,8.125,8.2656,,,,8.7,10.25,,,9.05,,,9.15,,9.35,9.45,,9.75,,
6-Dec-1988,8,8.0625,8.0938,8.25,,,,8.7,10.15,,,9,,,9.15,,9.3,9.4,,9.7,,
7-Dec-1988,8,8.0625,8.0625,8.2031,,,,8.7,10.05,,,8.95,,,9.05,,9.1,9.3,,9.6,,
8-Dec-1988,8,8,8.0156,8.1875,,,,8.4,10,,,8.95,,,9.05,,9.2,9.4,,9.8,,
9-Dec-1988,7.9375,8,8,8.0938,,,,8.4,10,,,8.9,,,9.05,,9.15,9.3,,9.6,,
12-Dec-1988,7.9375,8,8,8.0625,,,,8.4,10,,,8.9,,,9.05,,9.15,9.3,,9.6,,
13-Dec-1988,7.9375,8,8,8.0625,,,,8.2,10.05,,,8.9,,,9,,9.25,9.35,,9.6,,
14-Dec-1988,7.9375,8,8,8.0625,,,,8.2,10.1,,,8.9,,,9.05,,9.3,9.4,,9.65,,
15-Dec-1988,7.9375,8,8,8.125,,,,8.33,10.15,,,9.05,,,9.15,,9.4,9.55,,9.7,,
16-Dec-1988,7.9375,8,8.0625,8.125,,,,8.33,10.05,,,9,,,9.1,,9.3,9.4,,9.6,,
19-Dec-1988,8,8,8.0156,8.1094,,,,8.33,10,,,9,,,9.1,,9.35,9.4,,9.6,,
20-Dec-1988,8,8,8,8.125,,,,8.33,10.05,,,8.95,,,9.05,,9.35,9.4,,9.65,,
21-Dec-1988,8,8,8.0313,8.125,,,,8.33,10.05,,,8.95,,,9.05,,9.35,9.4,,9.65,,
22-Dec-1988,8.1094,8.0781,8.0781,8.125,,,,8.33,10.05,,,8.95,,,9.05,,9.35,9.4,,9.65,,
23-Dec-1988,8.125,8.125,8.125,8.125,,,,8.33,10.05,,,8.95,,,9.05,,9.35,9.4,,9.65,,
27-Dec-1988,8.0313,8.0313,8.0781,8.1406,,,,8.33,10.05,,,8.95,,,9.05,,9.35,9.4,,9.65,,
28-Dec-1988,8.0313,8.0313,8.0938,8.1563,,,,8.33,10.05,,,8.95,,,9.05,,9.35,9.4,,9.65,,
29-Dec-1988,8.0156,8.0313,8.0625,8.1719,,,,8.33,10.1,,,8.95,,,9.05,,9.3,9.4,,9.65,,
30-Dec-1988,8,8,8.0156,8.0625,,,,8.2,10.05,,,8.95,,,9,,9.3,9.35,,9.65,,
2-Jan-1989,7.9375,7.9375,8,8.0625,,,,8.33,10.05,,,8.95,,,9.05,,9.3,9.4,,9.6,,
