,DEPOSIT:1D,DEPOSIT:1W,DEPOSIT:1M,DEPOSIT:2M,DEPOSIT:3M,DEPOSIT:6M,FUTURES:7M,FUTURES:8M,FUTURES:9M,FUTURES:10M,FUTURES:11M,FIXFLOAT:1Y,FIXFLOAT:2Y,FIXFLOAT:3Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y,FIXFLOAT:10Y,FIXFLOAT:11Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:20Y,FIXFLOAT:25Y,FIXFLOAT:30Y,FIXFLOAT:35Y,FIXFLOAT:40Y,FIXFLOAT:45Y,FIXFLOAT:50Y
30-Dec-1998,,3.251,3.258,3.252,3.248,3.23,,,,,,,,,,,,,,,,,,,,,,,,,
31-Dec-1998,,3.245,3.254,3.249,3.245,3.233,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan-1999,,,,,,,,,,,,3.315,3.3,3.4,3.52,3.65,3.79,3.94,4.08,4.19,4.29,,4.44,4.64,,,,,,,
4-Jan-1999,3.2,3.249,3.242,3.237,3.234,3.223,,,,,,3.2155,3.229,3.33,3.444,3.573,3.709,3.846,3.967,4.0885,4.1735,,4.323,4.5085,4.715,,4.8765,,,,
5-Jan-1999,3.2,3.241,3.233,3.227,3.222,3.204,,,,,,3.2155,3.1975,3.302,3.4415,3.572,3.7045,3.847,3.975,4.082,4.169,,4.326,4.5085,4.705,,4.8765,,,,
6-Jan-1999,3.21,3.24,3.226,3.22,3.214,3.197,,,,,,3.169,3.1975,3.297,3.4375,3.571,3.706,3.845,3.979,4.086,4.1855,,4.34,4.5205,4.695,,4.86,,,,
7-Jan-1999,3.21,3.237,3.224,3.214,3.206,3.179,,,,,,3.169,3.1975,3.297,3.4375,3.571,3.706,3.845,3.979,4.086,4.1855,,4.34,4.5205,4.675,,4.86,,,,
8-Jan-1999,3.21,3.233,3.217,3.207,3.196,3.166,,,,,,3.169,3.1975,3.297,3.4375,3.571,3.706,3.845,3.979,4.086,4.1855,,4.34,4.5205,4.665,,4.79,,,,
11-Jan-1999,3.2,3.232,3.214,3.205,3.193,3.156,,,,,,3.169,3.1975,3.297,3.4375,3.571,3.706,3.845,3.979,4.086,4.1855,,4.34,4.5205,4.725,,4.91,,,,
12-Jan-1999,3.19,3.226,3.213,3.203,3.19,3.153,,,,,,3.169,3.174,3.293,3.359,3.505,3.657,3.8205,3.949,4.062,4.1545,,4.314,4.488,4.705,,4.89,,,,
