Date,DEPOSIT:1D,DEPOSIT:1W,DEPOSIT:1M,DEPOSIT:2M,DEPOSIT:3M,DEPOSIT:6M,DEPOSIT:9M,FIXFLOAT:1Y,FIXFLOAT:2Y,FIXFLOAT:3Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y,FIXFLOAT:10Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:20Y,FIXFLOAT:25Y,FIXFLOAT:30Y,FIXFLOAT:35Y,FIXFLOAT:40Y,FIXFLOAT:45Y,FIXFLOAT:50Y
2-Jan-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
5-Jan-1987,,,,,11.0625,,,,,,,,,,,,,,,,,,,,,
6-Jan-1987,,,,,11.1875,,,,,,,,,,,,,,,,,,,,,
7-Jan-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
8-Jan-1987,,,,,11.1875,,,,,,,,,,,,,,,,,,,,,
9-Jan-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
12-Jan-1987,,,,,11.0625,,,,,,,,,,,,,,,,,,,,,
13-Jan-1987,,,,,11.0625,,,,,,,,,,,,,,,,,,,,,
14-Jan-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
15-Jan-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
16-Jan-1987,,,,,11.09375,,,,,,,,,,,,,,,,,,,,,
19-Jan-1987,,,,,11,,,,,,,,,,,,,,,,,,,,,
20-Jan-1987,,,,,11,,,,,,,,,,,,,,,,,,,,,
21-Jan-1987,,,,,11.0625,,,,,,,,,,,,,,,,,,,,,
22-Jan-1987,,,,,11,,,,,,,,,,,,,,,,,,,,,
23-Jan-1987,,,,,11.0625,,,,,,,,,,,,,,,,,,,,,
26-Jan-1987,,,,,11.0625,,,,,,,,,,,,,,,,,,,,,
27-Jan-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
28-Jan-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
29-Jan-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
30-Jan-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
2-Feb-1987,,,,,11.125,,,,,,,,,,,,,,,,,,,,,
3-Feb-1987,,,,,11.0625,,,,,,,,,,,,,,,,,,,,,
4-Feb-1987,,,,,11.0625,,,,,,,,,,,,,,,,,,,,,
5-Feb-1987,,,,,11,,,,,,,,,,,,,,,,,,,,,
6-Feb-1987,,,,,10.9375,,,,,,,,,,,,,,,,,,,,,
9-Feb-1987,,,,,11,,,,,,,,,,,,,,,,,,,,,
10-Feb-1987,,,,,11,,,,,,,,,,,,,,,,,,,,,
11-Feb-1987,,,,,11,,,,,,,,,,,,,,,,,,,,,
12-Feb-1987,,,,,11,,,,,,,,,,,,,,,,,,,,,
13-Feb-1987,,,,,11,,,,,,,,,,,,,,,,,,,,,
16-Feb-1987,,,,,10.9375,,,,,,,,,,,,,,,,,,,,,
17-Feb-1987,,,,,10.875,,,,,,,,,,,,,,,,,,,,,
18-Feb-1987,,,,,10.75,,,,,,,,,,,,,,,,,,,,,
19-Feb-1987,,,,,10.5,,,,,,,,,,,,,,,,,,,,,
20-Feb-1987,,,,,10.67188,,,,,,,,,,,,,,,,,,,,,
23-Feb-1987,,,,,10.75,,,,,,,,,,,,,,,,,,,,,
24-Feb-1987,,,,,10.6875,,,,,,,,,,,,,,,,,,,,,
25-Feb-1987,,,,,10.75,,,,,,,,,,,,,,,,,,,,,
26-Feb-1987,,,,,10.875,,,,,,,,,,,,,,,,,,,,,
27-Feb-1987,,,,,10.85938,,,,,,,,,,,,,,,,,,,,,
2-Mar-1987,,,,,10.6875,,,,,,,,,,,,,,,,,,,,,
3-Mar-1987,,,,,10.5625,,,,,,,,,,,,,,,,,,,,,
4-Mar-1987,,,,,10.5,,,,,,,,,,,,,,,,,,,,,
5-Mar-1987,,,,,10.3125,,,,,,,,,,,,,,,,,,,,,
6-Mar-1987,,,,,10.4375,,,,,,,,,,,,,,,,,,,,,
9-Mar-1987,,,,,10.375,,,,,,,,,,,,,,,,,,,,,
10-Mar-1987,,,,,10.15625,,,,,,,,,,,,,,,,,,,,,
11-Mar-1987,,,,,10,,,,,,,,,,,,,,,,,,,,,
12-Mar-1987,,,,,10,,,,,,,,,,,,,,,,,,,,,
13-Mar-1987,,,,,10,,,,,,,,,,,,,,,,,,,,,
16-Mar-1987,,,,,9.8125,,,,,,,,,,,,,,,,,,,,,
17-Mar-1987,,,,,9.8125,,,,,,,,,,,,,,,,,,,,,
18-Mar-1987,,,,,9.75,,,,,,,,,,,,,,,,,,,,,
19-Mar-1987,,,,,9.67188,,,,,,,,,,,,,,,,,,,,,
20-Mar-1987,,,,,9.6875,,,,,,,,,,,,,,,,,,,,,
23-Mar-1987,,,,,9.625,,,,,,,,,,,,,,,,,,,,,
24-Mar-1987,,,,,9.6875,,,,,,,,,,,,,,,,,,,,,
25-Mar-1987,,,,,9.6875,,,,,,,,,,,,,,,,,,,,,
26-Mar-1987,,,,,9.79688,,,,,,,,,,,,,,,,,,,,,
27-Mar-1987,,,,,9.8125,,,,,,,,,,,,,,,,,,,,,
30-Mar-1987,,,,,9.9375,,,,,,,,,,,,,,,,,,,,,
31-Mar-1987,,,,,10,,,,,,,,,,,,,,,,,,,,,
1-Apr-1987,,,,,9.9375,,,,,,,,,,,,,,,,,,,,,
2-Apr-1987,,,,,10,,,,,,,,,,,,,,,,,,,,,
3-Apr-1987,,,,,10,,,,,,,,,,,,,,,,,,,,,
6-Apr-1987,,,,,9.875,,,,,,,,,,,,,,,,,,,,,
7-Apr-1987,,,,,9.875,,,,,,,,,,,,,,,,,,,,,
8-Apr-1987,,,,,9.375,,,,,,,,,,,,,,,,,,,,,
9-Apr-1987,,,,,9.89063,,,,,,,,,,,,,,,,,,,,,
10-Apr-1987,,,,,9.9375,,,,,,,,,,,,,,,,,,,,,
13-Apr-1987,,,,,9.9375,,,,,,,,,,,,,,,,,,,,,
14-Apr-1987,,,,,9.9375,,,,,,,,,,,,,,,,,,,,,
15-Apr-1987,,,,,9.875,,,,,,,,,,,,,,,,,,,,,
16-Apr-1987,,,,,9.875,,,,,,,,,,,,,,,,,,,,,
21-Apr-1987,,,,,9.8125,,,,,,,,,,,,,,,,,,,,,
22-Apr-1987,,,,,9.8125,,,,,,,,,,,,,,,,,,,,,
23-Apr-1987,,,,,9.85938,,,,,,,,,,,,,,,,,,,,,
24-Apr-1987,,,,,9.71875,,,,,,,,,,,,,,,,,,,,,
27-Apr-1987,,,,,9.6875,,,,,,,,,,,,,,,,,,,,,
28-Apr-1987,,,,,9.6875,,,,,,,,,,,,,,,,,,,,,
29-Apr-1987,,,,,9.5,,,,,,,,,,,,,,,,,,,,,
30-Apr-1987,,,,,9.375,,,,,,,,,,,,,,,,,,,,,
1-May-1987,,,,,9.20313,,,,,,,,,,,,,,,,,,,,,
4-May-1987,,,,,9.02313,,,,,,,,,,,,,,,,,,,,,
5-May-1987,,,,,9,,,,,,,,,,,,,,,,,,,,,
6-May-1987,,,,,8.9375,,,,,,,,,,,,,,,,,,,,,
7-May-1987,,,,,9,,,,,,,,,,,,,,,,,,,,,
8-May-1987,,,,,8.875,,,,,,,,,,,,,,,,,,,,,
11-May-1987,,,,,8.8125,,,,,,,,,,,,,,,,,,,,,
12-May-1987,,,,,8.89063,,,,,,,,,,,,,,,,,,,,,
13-May-1987,,,,,8.8125,,,,,,,,,,,,,,,,,,,,,
14-May-1987,,,,,8.75,,,,,,,,,,,,,,,,,,,,,
15-May-1987,,,,,8.65625,,,,,,,,,,,,,,,,,,,,,
