Date,FIXFLOAT:1Y,FIXFLOAT:10Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:18M,FIXFLOAT:2Y,FIXFLOAT:3Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:7Y,DEPOSIT:1M,DEPOSIT:2M,DEPOSIT:3M,DEPOSIT:6M,DEPOSIT:1W,DEPOSIT:1D
26-Aug-1992,3.8,8,,,,4.8,5.65,,6.6,7.15,,,,,,
27-Aug-1992,3.85,7.85,,,,4.8,5.55,,6.6,7.1,3.06,3.19,3.31,3.56,,
28-Aug-1992,3.9,7.8,,,,4.8,5.65,,6.6,7.5,3.06,3.16,3.33,3.56,,
1-Sep-1992,3.75,8.55,,,,4.75,5.55,,6.6,7.35,3,3.0625,3.1875,3.5,,
2-Sep-1992,3.75,8.25,,,,4.75,5.48,,6.53,7.25,3,3.0625,3.1875,3.5,,
3-Sep-1992,3.75,8.55,,,,4.75,5.3,,6.6,7.35,3.0625,3.0625,3.1875,3.5,,
4-Sep-1992,3.8,8.55,,,,4.75,5.55,,6.6,7.35,3.0625,3.125,3.2187,3.5,,
7-Sep-1992,3.68,8.35,,,,4.68,5.37,,6.45,7,2.87,2.94,3,3.34,,
8-Sep-1992,3.75,8.15,,,,4.75,5.45,,6.45,7.2,3.125,3.14,3.1875,3.4375,,
9-Sep-1992,3.75,8.15,,,,4.75,5.45,,6.45,7.2,3.125,3.14,3.1875,3.4375,,
10-Sep-1992,3.68,8.1,,,,4.68,5.45,,6.43,7.1,3.375,3.2734,3.2578,3.4766,,
11-Sep-1992,3.78,8.2,,,,4.78,5.45,,6.43,7.2,3.375,3.2734,3.2578,3.4766,,
14-Sep-1992,3.68,8.1,,,,4.68,5.45,,6.43,7.1,3.25,3.1953,3.1953,3.375,,
15-Sep-1992,3.68,8.05,,,,4.68,5.4,,6.43,7.05,3.3125,3.3125,3.3125,3.4141,,
16-Sep-1992,3.68,8.2,,,,4.68,5.4,,6.43,7.25,3.2969,3.3281,3.3594,3.4375,,
17-Sep-1992,3.68,8.15,,,,4.68,5.4,,6.43,7.15,3.5078,3.4219,3.3984,3.4922,,
18-Sep-1992,3.68,8.1,,,,4.68,5.4,,6.43,7.15,3.5,3.3672,3.3594,3.4375,,
21-Sep-1992,3.68,8.35,,,,4.68,5.4,,6.45,7.35,3.375,3.3672,3.375,3.4375,,
22-Sep-1992,3.72,8.35,,,,4.72,5.5,,6.47,7.35,3.375,3.3672,3.375,3.4531,,
23-Sep-1992,3.73,8.35,,,,4.73,5.5,,6.48,7.35,3.5625,3.5,3.4766,3.5625,,
24-Sep-1992,3.73,8.35,,,,4.73,5.5,,6.48,7.35,,,,,,
25-Sep-1992,3.72,8.35,,,,4.72,5.5,,6.47,7.35,3.5,3.4375,3.4375,3.5,,
28-Sep-1992,3.73,8.35,,,,4.73,5.5,,6.48,7.35,3.5,3.4375,3.4375,3.5,,
29-Sep-1992,3.7,8.35,,,,4.7,5.5,,6.45,7.35,3.2578,3.2656,3.2969,3.4609,,
30-Sep-1992,3.7,8.3,,,,4.7,5.5,,6.4,7.3,3.0982,3.1339,3.1875,3.3661,,
1-Oct-1992,,,,,,,,,,,2.8359,2.8984,3,3.2344,,
2-Oct-1992,,,,,,,,,,,2.8359,2.8984,3,3.2344,,
7-Oct-1992,3.5,8.2,,,,4.52,5.4,,6.3,7.2,3.0625,3.0625,3.0804,3.2768,,
8-Oct-1992,3.6,8.35,,,,4.65,5.6,,6.47,7.35,3.1875,3.1875,3.25,3.375,,
9-Oct-1992,3.7,8.4,,,,4.7,5.7,,6.53,7.4,3.1875,3.1875,3.2656,3.4141,,
12-Oct-1992,3.7,8.4,,,,4.7,5.7,,6.53,7.4,3.0391,3.125,3.2031,3.375,,
13-Oct-1992,3.7,8.4,,,,4.7,5.7,,6.53,7.4,3.0625,3.125,3.2266,3.3906,,
14-Oct-1992,3.7,8.4,,,,4.75,5.7,,6.53,7.4,3.0937,3.1484,3.25,3.4375,,
16-Oct-1992,3.75,8.45,,,,4.75,5.75,,6.57,7.45,3.1875,3.25,3.3203,3.5,,
19-Oct-1992,3.75,8.45,,,,4.75,5.75,,6.57,7.45,3.25,3.3125,3.375,3.5625,,
20-Oct-1992,4.15,8.6,,,,5.15,5.85,,6.7,7.6,3.125,3.3516,3.4297,3.625,,
21-Oct-1992,4.15,8.85,,,,5.15,6.1,,6.98,7.85,3.492,3.5625,3.6875,3.835,,
22-Oct-1992,4.18,8.85,,,,5.18,6.07,,6.95,7.85,3.4766,3.5,3.6328,3.75,,
23-Oct-1992,4.07,8.95,,,,5.07,6.18,,7.07,7.95,3.6406,3.6641,3.6875,3.8125,,
26-Oct-1992,4.13,8.85,,,,5.2,6.15,,6.97,7.85,3.6719,3.6719,3.6953,3.8125,,
27-Oct-1992,4.18,8.78,,,,5.28,6.23,,7,7.78,3.75,3.75,3.7734,3.8594,,
28-Oct-1992,4.07,8.9,,,,5.18,6.12,,7,7.9,3.8125,3.7891,3.8125,3.8828,,
29-Oct-1992,4.05,8.85,,,,5.18,6.1,,6.95,7.85,3.625,3.6484,3.6875,3.8125,,
30-Oct-1992,3.98,8.75,,,,5.1,6.03,,6.87,7.75,3.8047,3.7656,3.8203,3.8984,,
2-Nov-1992,4.1,8.85,,,,5.2,6.1,,6.95,7.85,3.75,3.75,3.8125,3.875,,
3-Nov-1992,4.15,8.9,,,,5.25,6.15,,7.03,7.9,3.75,3.75,3.75,3.875,,
4-Nov-1992,4.1,8.85,,,,5.2,6.1,,6.98,7.85,3.5,3.625,3.6797,3.8125,,
5-Nov-1992,4.1,8.85,,,,5.2,6.1,,6.98,7.85,3.375,3.5625,3.5625,3.7344,,
6-Nov-1992,,,,,,,,,,,3.2812,3.5313,3.5547,3.6719,,
9-Nov-1992,4.2,8.95,,,,5.3,6.2,,7.07,7.95,3.375,3.6172,3.6172,3.7578,,
10-Nov-1992,4.25,8.95,,,,5.35,6.25,,7.07,7.95,3.5547,3.8125,3.8359,4.0625,,
11-Nov-1992,4.2,8.95,,,,5.3,6.2,,7.05,7.95,3.5,3.7891,3.8281,4.0469,,
12-Nov-1992,4.15,8.9,,,,5.28,6.15,,7,7.9,3.4375,3.75,3.7734,4,,
13-Nov-1992,4.15,8.9,,,,5.28,6.15,,7,7.9,3.4375,3.75,3.7734,4,,
16-Nov-1992,4.25,9,,,,5.35,6.25,,7.12,8,3.6641,3.875,3.9297,4.1719,,
17-Nov-1992,4.35,9.05,,,,5.4,6.3,,7.18,8.05,3.6719,4,4,4.25,,
18-Nov-1992,4.35,9,,,,5.35,6.3,,7.12,8,3.5625,4.05,4.0625,4.3906,,
19-Nov-1992,4.35,8.95,,,,5.35,6.25,,7.07,7.95,3.6875,4.0625,4.0625,4.3125,,
20-Nov-1992,4.4,9,,,,5.4,6.25,,7.12,8,3.6094,4.0469,4.0469,4.3125,,
23-Nov-1992,4.45,9.05,,,,5.45,6.3,,7.18,8.05,3.6875,4.1016,4.1016,4.375,,
24-Nov-1992,4.5,9.05,,,,5.5,6.35,,7.18,8.05,3.6641,4.1172,4.1172,4.3828,,
25-Nov-1992,4.5,9.05,,,,5.5,6.35,,7.18,8.05,3.7813,4.3203,4.3125,4.5,,
26-Nov-1992,4.55,9.1,,,,5.55,6.45,,7.2,8.1,4.1016,4.3984,4.4297,4.5625,,
27-Nov-1992,4.6,9.15,,,,5.6,6.5,,7.25,8.15,4.1328,4.3984,4.4219,4.5625,,
30-Nov-1992,4.6,9.15,,,,5.6,6.5,,7.25,8.15,4.6328,4.6797,4.7344,4.8125,,
1-Dec-1992,4.9,9.25,,,,5.75,6.7,,7.35,8.25,4.8828,4.8125,4.8125,4.875,,
2-Dec-1992,5.4,9.35,,,,6.1,6.95,,7.45,8.35,5,4.9375,4.9297,5.0156,,
3-Dec-1992,5.4,9.35,,,,6.1,6.95,,7.45,8.35,4.9141,4.875,4.8906,4.9766,,
4-Dec-1992,5.35,9.5,,,,6.15,7.2,,7.6,8.5,4.8047,4.7656,4.7734,4.875,,
7-Dec-1992,5.15,9.45,,,,6.07,7.07,,7.55,8.45,4.6172,4.6641,4.6875,4.8125,,
8-Dec-1992,5.07,9.45,,,,6.07,7.07,,7.55,8.45,4.5,4.625,4.625,4.75,,
9-Dec-1992,4.85,9.35,,,,5.9,6.8,,7.45,8.35,4.2891,4.3125,4.3125,4.4922,,
10-Dec-1992,4.85,9.35,,,,5.9,6.8,,7.45,8.35,4.125,4.1953,4.25,4.4375,,
11-Dec-1992,4.85,9.45,,,,5.9,6.85,,7.45,8.44,4.1875,4.3125,4.375,4.5625,,
14-Dec-1992,4.85,9.35,,,,5.9,6.9,,7.55,8.44,4.2656,4.3281,4.4219,4.6094,,
15-Dec-1992,4.9,9.5,,,,5.95,7,,7.6,8.5,4.1953,4.3125,4.3672,4.5625,,
16-Dec-1992,4.85,9.5,,,,5.9,6.9,,7.6,8.5,4.25,4.3281,4.4141,4.5625,,
17-Dec-1992,4.85,9.5,,,,5.9,6.8,,7.6,8.5,4.25,4.3125,4.3828,4.5625,,
18-Dec-1992,4.85,9.5,,,,5.9,6.75,,7.6,8.5,4.1875,4.25,4.3281,4.5625,,
21-Dec-1992,4.85,9.5,,,,5.9,6.8,,7.6,8.5,4.2343,4.25,4.3359,4.5625,,
22-Dec-1992,4.8,9.5,,,,5.85,6.75,,7.6,8.5,4.1875,4.2422,4.3359,4.5469,,
23-Dec-1992,4.8,9.45,,,,5.8,6.65,,7.55,8.45,4.1797,4.2422,4.2812,4.5078,,
24-Dec-1992,4.8,9.45,,,,5.8,6.65,,7.55,8.45,4.1172,4.1875,4.2969,4.5,,
28-Dec-1992,4.8,9.35,,,,5.8,6.65,,7.45,8.35,4.25,4.25,4.3203,4.5,,
29-Dec-1992,4.85,9.35,,,,5.8,6.65,,7.45,8.35,4.3437,4.3203,4.375,4.5391,,
30-Dec-1992,4.85,9.3,,,,5.8,6.65,,7.45,8.3,4.3125,4.3125,4.375,4.5625,,
31-Dec-1992,4.85,9.3,,,,5.8,6.65,,7.45,8.3,4.2969,4.3047,4.3594,4.6484,,
4-Jan-1993,4.75,,,,,5.7,6.55,,7.35,8.25,3.875,3.9453,4.0313,4.375,,
5-Jan-1993,4.73,,,,,5.68,6.48,,7.2,8.1,3.625,3.75,3.875,4.1875,,
6-Jan-1993,4.73,,,,,5.68,6.48,,7.2,8.1,3.5938,3.7266,3.8594,4.1875,,
7-Jan-1993,,,,,,,,,,,3.875,4,4.0625,4.3125,,
8-Jan-1993,4.85,,,,,5.85,6.55,,7.35,7.95,3.6875,3.8125,3.9375,4.25,,
11-Jan-1993,4.7,,,,,5.7,6.43,,7.3,8.2,3.75,3.8125,3.9375,4.3125,,
12-Jan-1993,4.7,,,,,5.7,6.4,,7.3,7.85,3.875,3.9375,4,4.375,,
13-Jan-1993,4.7,,,,,5.7,6.45,,7.31,8.22,3.77,3.84,3.92,4.22,,
