,BUBOR01M Index,BUBOR01W Index,BUBOR01Y Index,BUBOR02M Index,BUBOR02W Index,BUBOR03M Index,BUBOR06M Index,BUBOR09M Index,BUBORON  Index,HFSW10   Curncy,HFSW12   Curncy,HFSW15   Curncy,HFSW2    Curncy,HFSW20   Curncy,HFSW3    Curncy,HFSW4    Curncy,HFSW5    Curncy,HFSW6    Curncy,HFSW7    Curncy,HFSW8    Curncy,HFSW9    Curncy
1996-08-01,23.91,,,,,,,,,,,,,,,,,,,,
1996-08-02,23.89,,,,,,,,,,,,,,,,,,,,
1996-08-05,23.85,,,,,,,,,,,,,,,,,,,,
1996-08-07,23.54,,,,,,,,,,,,,,,,,,,,
1996-08-08,23.54,,,,,,,,,,,,,,,,,,,,
1996-08-09,23.53,,,,,,,,,,,,,,,,,,,,
1996-08-12,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-13,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-14,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-15,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-16,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-21,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-22,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-23,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-26,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-27,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-28,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-29,23.5,,,,,,,,,,,,,,,,,,,,
1996-08-30,23.49,,,,,,,,,,,,,,,,,,,,
1996-09-02,23.43,,,,,,,,,,,,,,,,,,,,
1996-09-03,23.42,,,,,,,,,,,,,,,,,,,,
1996-09-04,23.4,,,,,,,,,,,,,,,,,,,,
1996-09-05,23.39,,,,,,,,,,,,,,,,,,,,
1996-09-06,23.39,,,,,,,,,,,,,,,,,,,,
1996-09-09,23.38,,,,,,,,,,,,,,,,,,,,
1996-09-10,23.37,,,,,,,,,,,,,,,,,,,,
1996-09-11,23.37,,,,,,,,,,,,,,,,,,,,
1996-09-12,23.37,,,,,,,,,,,,,,,,,,,,
1996-09-13,23.45,,,,,,,,,,,,,,,,,,,,
1996-09-16,23.44,,,,,,,,,,,,,,,,,,,,
1996-09-17,23.27,,,,,,,,,,,,,,,,,,,,
1996-09-18,23.29,,,,,,,,,,,,,,,,,,,,
1996-09-19,23.3,,,,,,,,,,,,,,,,,,,,
1996-09-20,23.3,,,,,,,,,,,,,,,,,,,,
1996-09-23,23.3,,,,,,,,,,,,,,,,,,,,
1996-09-24,23.27,,,,,,,,,,,,,,,,,,,,
1996-09-25,23.27,,,,,,,,,,,,,,,,,,,,
1996-09-26,23.27,,,,,,,,,,,,,,,,,,,,
1996-09-27,23.25,,,,,,,,,,,,,,,,,,,,
1996-09-30,23.25,,,,,,,,,,,,,,,,,,,,
1996-10-01,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-02,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-03,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-04,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-07,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-08,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-09,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-10,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-11,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-14,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-15,23.22,,,,,,,,,,,,,,,,,,,,
1996-10-16,23.22,,,,,,,,,,,,,,,,,,,,
1996-10-17,23.22,,,,,,,,,,,,,,,,,,,,
1996-10-18,23.23,,,,,,,,,,,,,,,,,,,,
1996-10-21,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-22,23.25,,,,,,,,,,,,,,,,,,,,
1996-10-25,23.24,,,,,,,,,,,,,,,,,,,,
1996-10-28,23.25,,,,,,,,,,,,,,,,,,,,
1996-10-29,23.03,,,,,,,,,,,,,,,,,,,,
1996-10-30,23.0,,,,,,,,,,,,,,,,,,,,
1996-10-31,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-01,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-04,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-05,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-06,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-07,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-08,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-11,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-12,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-13,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-14,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-15,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-18,23.0,,,,,,,,,,,,,,,,,,,,
1996-11-19,22.76,,,,,,,,,,,,,,,,,,,,
1996-11-20,22.75,,,,,,,,,,,,,,,,,,,,
1996-11-21,22.75,,,,,,,,,,,,,,,,,,,,
1996-11-22,22.75,,,,,,,,,,,,,,,,,,,,
1996-11-25,22.75,,,,,,,,,,,,,,,,,,,,
1996-11-26,22.75,,,,,,,,,,,,,,,,,,,,
1996-11-27,22.75,,,,,,,,,,,,,,,,,,,,
1996-11-28,22.75,,,,,,,,,,,,,,,,,,,,
