Date,DEPOSIT:1M,DEPOSIT:1W,DEPOSIT:1Y,DEPOSIT:2M,DEPOSIT:2W,DEPOSIT:3M,DEPOSIT:6M,DEPOSIT:9M,DEPOSIT:1D,FIXFLOAT:10Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:2Y,FIXFLOAT:20Y,FIXFLOAT:3Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y
1-Aug-1996,23.91,,,,,,,,,,,,,,,,,,,,
2-Aug-1996,23.89,,,,,,,,,,,,,,,,,,,,
5-Aug-1996,23.85,,,,,,,,,,,,,,,,,,,,
7-Aug-1996,23.54,,,,,,,,,,,,,,,,,,,,
8-Aug-1996,23.54,,,,,,,,,,,,,,,,,,,,
9-Aug-1996,23.53,,,,,,,,,,,,,,,,,,,,
12-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
13-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
14-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
15-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
16-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
21-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
22-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
23-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
26-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
27-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
28-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
29-Aug-1996,23.5,,,,,,,,,,,,,,,,,,,,
30-Aug-1996,23.49,,,,,,,,,,,,,,,,,,,,
2-Sep-1996,23.43,,,,,,,,,,,,,,,,,,,,
3-Sep-1996,23.42,,,,,,,,,,,,,,,,,,,,
4-Sep-1996,23.4,,,,,,,,,,,,,,,,,,,,
5-Sep-1996,23.39,,,,,,,,,,,,,,,,,,,,
6-Sep-1996,23.39,,,,,,,,,,,,,,,,,,,,
9-Sep-1996,23.38,,,,,,,,,,,,,,,,,,,,
10-Sep-1996,23.37,,,,,,,,,,,,,,,,,,,,
11-Sep-1996,23.37,,,,,,,,,,,,,,,,,,,,
12-Sep-1996,23.37,,,,,,,,,,,,,,,,,,,,
13-Sep-1996,23.45,,,,,,,,,,,,,,,,,,,,
16-Sep-1996,23.44,,,,,,,,,,,,,,,,,,,,
17-Sep-1996,23.27,,,,,,,,,,,,,,,,,,,,
18-Sep-1996,23.29,,,,,,,,,,,,,,,,,,,,
19-Sep-1996,23.3,,,,,,,,,,,,,,,,,,,,
20-Sep-1996,23.3,,,,,,,,,,,,,,,,,,,,
23-Sep-1996,23.3,,,,,,,,,,,,,,,,,,,,
24-Sep-1996,23.27,,,,,,,,,,,,,,,,,,,,
25-Sep-1996,23.27,,,,,,,,,,,,,,,,,,,,
26-Sep-1996,23.27,,,,,,,,,,,,,,,,,,,,
27-Sep-1996,23.25,,,,,,,,,,,,,,,,,,,,
30-Sep-1996,23.25,,,,,,,,,,,,,,,,,,,,
1-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
2-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
3-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
4-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
7-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
8-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
9-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
10-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
11-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
14-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
15-Oct-1996,23.22,,,,,,,,,,,,,,,,,,,,
16-Oct-1996,23.22,,,,,,,,,,,,,,,,,,,,
17-Oct-1996,23.22,,,,,,,,,,,,,,,,,,,,
18-Oct-1996,23.23,,,,,,,,,,,,,,,,,,,,
21-Oct-1996,23.24,,,,,,,,,,,,,,,,,,,,
22-Oct-1996,23.25,,,,,,,,,,,,,,,,,,,,
