,ISSW1    Curncy,ISSW10   Curncy,ISSW12   Curncy,ISSW15   Curncy,ISSW2    Curncy,ISSW20   Curncy,ISSW3    Curncy,ISSW4    Curncy,ISSW5    Curncy,ISSW7    Curncy,TELBOR01 Index,TELBOR03 Index,TELBOR06 Index,TELBOR09 Index
2000-11-15,,,,,,,,,,,8.71,8.74,8.76,8.83
2000-11-16,,,,,,,,,,,8.69,8.73,8.75,8.8
2000-11-17,,,,,,,,,,,8.68,8.72,8.73,8.77
2000-11-20,,,,,,,,,,,8.64,8.67,8.66,8.68
2000-11-21,,,,,,,,,,,8.65,8.64,8.63,8.66
2000-11-22,,,,,,,,,,,8.64,8.64,8.64,8.65
2000-11-23,,,,,,,,,,,8.64,8.63,8.63,8.64
2000-11-24,,,,,,,,,,,8.63,8.63,8.63,8.66
2000-11-27,,,,,,,,,,,8.59,8.61,8.62,8.64
2000-11-28,,,,,,,,,,,8.56,8.6,8.62,8.62
2000-11-29,,,,,,,,,,,8.53,8.54,8.57,8.6
2000-11-30,,,,,,,,,,,8.54,8.54,8.56,8.59
2000-12-01,,,,,,,,,,,8.52,8.52,8.53,8.57
2000-12-04,,,,,,,,,,,8.52,8.52,8.52,8.56
2000-12-05,,,,,,,,,,,8.51,8.52,8.51,8.54
2000-12-06,,,,,,,,,,,8.5,8.49,8.48,8.51
2000-12-07,,,,,,,,,,,8.46,8.43,8.42,8.43
2000-12-08,,,,,,,,,,,8.48,8.42,8.4,8.4
2000-12-11,,,,,,,,,,,8.43,8.37,8.35,8.35
2000-12-12,,,,,,,,,,,8.41,8.37,8.36,8.36
2000-12-13,,,,,,,,,,,8.4,8.35,8.34,8.34
2000-12-14,,,,,,,,,,,8.4,8.35,8.3,8.31
2000-12-15,,,,,,,,,,,8.38,8.34,8.3,8.3
2000-12-18,,,,,,,,,,,8.36,8.29,8.26,8.27
2000-12-19,,,,,,,,,,,8.36,8.29,8.25,8.25
2000-12-20,,,,,,,,,,,8.34,8.24,8.22,8.19
2000-12-21,,,,,,,,,,,8.34,8.23,8.21,8.19
2000-12-22,,,,,,,,,,,8.33,8.24,8.2,8.18
2000-12-25,,,,,,,,,,,8.26,8.23,8.19,8.16
2000-12-26,,,,,,,,,,,8.29,8.21,8.15,8.14
2000-12-27,,,,,,,,,,,8.31,8.19,8.13,8.12
2000-12-28,,,,,,,,,,,8.26,8.15,8.09,8.07
2000-12-29,,,,,,,,,,,8.27,8.16,8.09,8.05
2001-01-01,,,,,,,,,,,8.3,8.17,8.09,8.04
2001-01-02,,,,,,,,,,,8.27,8.14,8.06,8.01
2001-01-03,,,,,,,,,,,8.26,8.14,8.06,8.01
2001-01-04,,,,,,,,,,,8.24,8.12,8.04,8.01
2001-01-05,,,,,,,,,,,8.25,8.11,8.04,8.0
2001-01-08,,,,,,,,,,,8.25,8.11,8.03,8.0
2001-01-09,,,,,,,,,,,8.24,8.1,8.03,7.99
2001-01-10,,,,,,,,,,,8.23,8.09,8.04,8.01
2001-01-11,,,,,,,,,,,8.23,8.11,8.06,8.02
2001-01-12,,,,,,,,,,,8.24,8.11,8.06,8.03
2001-01-15,,,,,,,,,,,8.21,8.08,8.03,8.0
2001-01-16,,,,,,,,,,,8.2,8.06,7.99,8.0
2001-01-17,,,,,,,,,,,8.18,8.02,7.97,7.96
2001-01-18,,,,,,,,,,,8.19,8.01,7.9399999999999995,7.93
2001-01-19,,,,,,,,,,,8.19,8.01,7.93,7.93
2001-01-22,,,,,,,,,,,8.15,7.98,7.91,7.92
2001-01-23,,,,,,,,,,,8.16,7.98,7.9,7.92
2001-01-24,,,,,,,,,,,8.15,8.01,7.91,7.92
2001-01-25,,,,,,,,,,,8.14,8.02,7.93,7.9399999999999995
2001-01-26,,,,,,,,,,,8.13,8.02,7.93,7.9399999999999995
2001-01-29,,,,,,,,,,,8.1,7.99,7.93,7.93
2001-01-30,,,,,,,,,,,8.05,7.98,7.92,7.9399999999999995
2001-01-31,,,,,,,,,,,8.04,7.96,7.91,7.91
2001-02-01,,,,,,,,,,,7.99,7.9399999999999995,7.89,7.9
2001-02-02,,,,,,,,,,,7.98,7.93,7.88,7.89
2001-02-05,,,,,,,,,,,7.98,7.93,7.88,7.89
2001-02-07,,,,,,,,,,,7.98,7.92,7.89,7.89
