Date,FIXFLOAT:1Y,FIXFLOAT:10Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:2Y,FIXFLOAT:20Y,FIXFLOAT:3Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:7Y,DEPOSIT:1M,DEPOSIT:3M,DEPOSIT:6M,DEPOSIT:9M
15-Nov-2000,,,,,,,,,,,8.71,8.74,8.76,8.83
16-Nov-2000,,,,,,,,,,,8.69,8.73,8.75,8.8
17-Nov-2000,,,,,,,,,,,8.68,8.72,8.73,8.77
20-Nov-2000,,,,,,,,,,,8.64,8.67,8.66,8.68
21-Nov-2000,,,,,,,,,,,8.65,8.64,8.63,8.66
22-Nov-2000,,,,,,,,,,,8.64,8.64,8.64,8.65
23-Nov-2000,,,,,,,,,,,8.64,8.63,8.63,8.64
24-Nov-2000,,,,,,,,,,,8.63,8.63,8.63,8.66
27-Nov-2000,,,,,,,,,,,8.59,8.61,8.62,8.64
28-Nov-2000,,,,,,,,,,,8.56,8.6,8.62,8.62
29-Nov-2000,,,,,,,,,,,8.53,8.54,8.57,8.6
30-Nov-2000,,,,,,,,,,,8.54,8.54,8.56,8.59
1-Dec-2000,,,,,,,,,,,8.52,8.52,8.53,8.57
4-Dec-2000,,,,,,,,,,,8.52,8.52,8.52,8.56
5-Dec-2000,,,,,,,,,,,8.51,8.52,8.51,8.54
6-Dec-2000,,,,,,,,,,,8.5,8.49,8.48,8.51
7-Dec-2000,,,,,,,,,,,8.46,8.43,8.42,8.43
8-Dec-2000,,,,,,,,,,,8.48,8.42,8.4,8.4
11-Dec-2000,,,,,,,,,,,8.43,8.37,8.35,8.35
12-Dec-2000,,,,,,,,,,,8.41,8.37,8.36,8.36
13-Dec-2000,,,,,,,,,,,8.4,8.35,8.34,8.34
14-Dec-2000,,,,,,,,,,,8.4,8.35,8.3,8.31
15-Dec-2000,,,,,,,,,,,8.38,8.34,8.3,8.3
18-Dec-2000,,,,,,,,,,,8.36,8.29,8.26,8.27
19-Dec-2000,,,,,,,,,,,8.36,8.29,8.25,8.25
20-Dec-2000,,,,,,,,,,,8.34,8.24,8.22,8.19
21-Dec-2000,,,,,,,,,,,8.34,8.23,8.21,8.19
22-Dec-2000,,,,,,,,,,,8.33,8.24,8.2,8.18
25-Dec-2000,,,,,,,,,,,8.26,8.23,8.19,8.16
26-Dec-2000,,,,,,,,,,,8.29,8.21,8.15,8.14
27-Dec-2000,,,,,,,,,,,8.31,8.19,8.13,8.12
28-Dec-2000,,,,,,,,,,,8.26,8.15,8.09,8.07
29-Dec-2000,,,,,,,,,,,8.27,8.16,8.09,8.05
