,MPSW10K  Curncy,MPSW16C  Curncy,MPSW1A   Curncy,MPSW21H  Curncy,MPSW2B   Curncy,MPSW32F  Curncy,MPSW3C   Curncy,MPSW4D   Curncy,MPSW5E   Curncy,MPSW7G   Curncy,MPSWC    Curncy,MPSWF    Curncy,MPSWI    Curncy,MXIBTIIE Index
1995-03-20,,,,,,,,,,,,,,90.5
1995-03-22,,,,,,,,,,,,,,88.465
1995-03-29,,,,,,,,,,,,,,88.6
1995-04-05,,,,,,,,,,,,,,88.6944
1995-04-12,,,,,,,,,,,,,,88.7071
1995-04-19,,,,,,,,,,,,,,74.88
1995-04-26,,,,,,,,,,,,,,69.595
1995-05-03,,,,,,,,,,,,,,62.255
1995-05-10,,,,,,,,,,,,,,58.345
1995-05-17,,,,,,,,,,,,,,51.59
1995-05-24,,,,,,,,,,,,,,53.745
1995-05-31,,,,,,,,,,,,,,53.575
1995-06-07,,,,,,,,,,,,,,49.025
1995-06-14,,,,,,,,,,,,,,47.0
1995-06-21,,,,,,,,,,,,,,44.155
1995-06-28,,,,,,,,,,,,,,44.185
1995-07-05,,,,,,,,,,,,,,45.1
1995-07-12,,,,,,,,,,,,,,42.77
1995-07-19,,,,,,,,,,,,,,39.945
1995-07-26,,,,,,,,,,,,,,37.5112
1995-08-02,,,,,,,,,,,,,,37.675
1995-08-09,,,,,,,,,,,,,,37.5375
1995-08-16,,,,,,,,,,,,,,36.655
1995-08-23,,,,,,,,,,,,,,38.614
1995-08-30,,,,,,,,,,,,,,36.1005
1995-09-06,,,,,,,,,,,,,,35.275
1995-09-13,,,,,,,,,,,,,,34.395
1995-09-20,,,,,,,,,,,,,,36.15
1995-09-27,,,,,,,,,,,,,,41.0868
1995-10-04,,,,,,,,,,,,,,42.875
1995-10-10,,,,,,,,,,,,,,42.425
1995-10-18,,,,,,,,,,,,,,43.955
1995-10-25,,,,,,,,,,,,,,47.89
1995-10-31,,,,,,,,,,,,,,59.75
1995-11-08,,,,,,,,,,,,,,69.7362
1995-11-15,,,,,,,,,,,,,,55.365
1995-11-22,,,,,,,,,,,,,,53.43
1995-11-29,,,,,,,,,,,,,,50.07
1995-12-06,,,,,,,,,,,,,,55.535
1995-12-13,,,,,,,,,,,,,,50.9701
1995-12-20,,,,,,,,,,,,,,48.85
1995-12-27,,,,,,,,,,,,,,45.975
1996-01-03,,,,,,,,,,,,,,42.9
1996-01-10,,,,,,,,,,,,,,43.0651
1996-01-17,,,,,,,,,,,,,,38.69
1996-01-23,,,,,,,,,,,,,,38.0
1996-01-31,,,,,,,,,,,,,,38.05
1996-02-07,,,,,,,,,,,,,,40.185
1996-02-14,,,,,,,,,,,,,,42.035
1996-02-21,,,,,,,,,,,,,,42.2575
1996-02-28,,,,,,,,,,,,,,44.3625
1996-03-07,,,,,,,,,,,,,,46.25
1996-03-14,,,,,,,,,,,,,,43.41
1996-03-20,,,,,,,,,,,,,,40.465
1996-03-28,,,,,,,,,,,,,,40.1585
1996-03-29,,,,,,,,,,,,,,39.08
1996-04-01,,,,,,,,,,,,,,39.07
1996-04-02,,,,,,,,,,,,,,39.275
1996-04-03,,,,,,,,,,,,,,39.125
1996-04-08,,,,,,,,,,,,,,39.77
1996-04-09,,,,,,,,,,,,,,40.0875
1996-04-10,,,,,,,,,,,,,,39.215
1996-04-11,,,,,,,,,,,,,,39.16
1996-04-12,,,,,,,,,,,,,,38.68
1996-04-15,,,,,,,,,,,,,,37.6885
1996-04-16,,,,,,,,,,,,,,37.269
1996-04-17,,,,,,,,,,,,,,35.78
1996-04-18,,,,,,,,,,,,,,35.13
1996-04-19,,,,,,,,,,,,,,33.36
1996-04-22,,,,,,,,,,,,,,33.8
1996-04-23,,,,,,,,,,,,,,34.275
1996-04-24,,,,,,,,,,,,,,33.59
1996-04-25,,,,,,,,,,,,,,32.5
1996-04-26,,,,,,,,,,,,,,32.36
1996-04-29,,,,,,,,,,,,,,33.06
1996-04-30,,,,,,,,,,,,,,32.475
1996-05-02,,,,,,,,,,,,,,32.885
1996-05-03,,,,,,,,,,,,,,32.925
1996-05-06,,,,,,,,,,,,,,33.865
1996-05-07,,,,,,,,,,,,,,32.79
1996-05-08,,,,,,,,,,,,,,31.675
1996-05-09,,,,,,,,,,,,,,31.85
1996-05-10,,,,,,,,,,,,,,30.565
1996-05-13,,,,,,,,,,,,,,30.65
1996-05-14,,,,,,,,,,,,,,30.545
1996-05-15,,,,,,,,,,,,,,29.845
1996-05-16,,,,,,,,,,,,,,30.035
1996-05-17,,,,,,,,,,,,,,29.78
1996-05-20,,,,,,,,,,,,,,29.13
1996-05-21,,,,,,,,,,,,,,28.45
1996-05-22,,,,,,,,,,,,,,28.45
1996-05-23,,,,,,,,,,,,,,28.45
1996-05-24,,,,,,,,,,,,,,28.525
1996-05-27,,,,,,,,,,,,,,28.26
1996-05-28,,,,,,,,,,,,,,28.16
1996-05-29,,,,,,,,,,,,,,28.35
1996-05-30,,,,,,,,,,,,,,29.15
1996-05-31,,,,,,,,,,,,,,29.0
1996-06-03,,,,,,,,,,,,,,29.605
1996-06-04,,,,,,,,,,,,,,28.65
1996-06-05,,,,,,,,,,,,,,28.815
1996-06-06,,,,,,,,,,,,,,29.0
1996-06-07,,,,,,,,,,,,,,28.74
1996-06-10,,,,,,,,,,,,,,30.05
1996-06-11,,,,,,,,,,,,,,31.35
1996-06-12,,,,,,,,,,,,,,31.115
1996-06-13,,,,,,,,,,,,,,32.03
1996-06-14,,,,,,,,,,,,,,30.975
1996-06-17,,,,,,,,,,,,,,30.7
1996-06-18,,,,,,,,,,,,,,29.72
1996-06-19,,,,,,,,,,,,,,29.075
1996-06-20,,,,,,,,,,,,,,29.09
1996-06-21,,,,,,,,,,,,,,29.175
1996-06-24,,,,,,,,,,,,,,31.1
1996-06-25,,,,,,,,,,,,,,30.575
1996-06-26,,,,,,,,,,,,,,31.5
1996-06-27,,,,,,,,,,,,,,31.84
1996-06-28,,,,,,,,,,,,,,31.32
1996-07-01,,,,,,,,,,,,,,32.265
1996-07-02,,,,,,,,,,,,,,32.49
1996-07-03,,,,,,,,,,,,,,32.735
1996-07-04,,,,,,,,,,,,,,31.89
1996-07-05,,,,,,,,,,,,,,33.525
1996-07-08,,,,,,,,,,,,,,35.75
1996-07-09,,,,,,,,,,,,,,35.05
1996-07-10,,,,,,,,,,,,,,33.275
1996-07-11,,,,,,,,,,,,,,33.85
1996-07-12,,,,,,,,,,,,,,34.55
1996-07-15,,,,,,,,,,,,,,34.925
1996-07-16,,,,,,,,,,,,,,35.75
1996-07-17,,,,,,,,,,,,,,35.75
1996-07-18,,,,,,,,,,,,,,34.86
1996-07-19,,,,,,,,,,,,,,33.875
1996-07-22,,,,,,,,,,,,,,33.725
1996-07-23,,,,,,,,,,,,,,32.385
1996-07-24,,,,,,,,,,,,,,32.17
1996-07-25,,,,,,,,,,,,,,32.18
1996-07-26,,,,,,,,,,,,,,32.325
1996-07-29,,,,,,,,,,,,,,32.835
1996-07-30,,,,,,,,,,,,,,32.785
1996-07-31,,,,,,,,,,,,,,32.79
1996-08-01,,,,,,,,,,,,,,31.825
