,NKDR1T   Curncy,NKDR2T   Curncy,NIBOR1W  Index,NIBOR1M  Index,NIBOR2M  Index,NIBOR3M  Index,NIBOR6M  Index,NKSW1V3  Curncy,NKSW1FV3 Curncy,NKSW2    Curncy,NKSW3    Curncy,NKSW4    Curncy,NKSW5    Curncy,NKSW6    Curncy,NKSW7    Curncy,NKSW8    Curncy,NKSW9    Curncy,NKSW10   Curncy,NKSW12   Curncy,NKSW15   Curncy,NKSW20   Curncy,NKSW25   Curncy,NKSW30   Curncy
1/2/1986,,,12.68,12.62,,12.81,12.94,,,,,,,,,,,,,,,,
1/3/1986,,,12.6,12.53,,12.84,12.93,,,,,,,,,,,,,,,,
1/6/1986,,,12.72,12.74,,12.88,13.02,,,,,,,,,,,,,,,,
1/7/1986,,,13.05,13.17,,13.12,13.27,,,,,,,,,,,,,,,,
1/8/1986,,,12.38,12.65,,12.85,13.03,,,,,,,,,,,,,,,,
1/9/1986,,,12.6,12.9,,12.97,13.15,,,,,,,,,,,,,,,,
1/10/1986,,,12.88,12.96,,13,13.12,,,,,,,,,,,,,,,,
1/13/1986,,,12.84,12.8,,12.99,13.12,,,,,,,,,,,,,,,,
1/14/1986,,,13.18,13.07,,12.99,13.17,,,,,,,,,,,,,,,,
1/15/1986,,,13.25,13.3,,13.09,13.19,,,,,,,,,,,,,,,,
1/16/1986,,,13.57,13.36,,13.07,13.15,,,,,,,,,,,,,,,,
1/17/1986,,,13.41,13.27,,13.08,13.2,,,,,,,,,,,,,,,,
1/20/1986,,,12.87,13.03,,13.09,13.22,,,,,,,,,,,,,,,,
1/21/1986,,,13.08,13.12,,13.12,13.19,,,,,,,,,,,,,,,,
1/22/1986,,,13.28,13.19,,13.11,13.23,,,,,,,,,,,,,,,,
1/23/1986,,,12.88,12.98,,13.05,13.12,,,,,,,,,,,,,,,,
1/24/1986,,,12.71,13,,13.12,13.25,,,,,,,,,,,,,,,,
1/27/1986,,,12.74,13.13,,13.14,13.28,,,,,,,,,,,,,,,,
1/28/1986,,,12.94,13.01,,13.11,13.24,,,,,,,,,,,,,,,,
1/29/1986,,,13.19,13.28,,13.31,13.39,,,,,,,,,,,,,,,,
