,NZOCRS   Index,NDBB1M   Curncy,NDBB2M   Curncy,NDBB3M   Curncy,NDBB4M   Curncy,NDBB5M   Curncy,NDBB6M   Curncy,NDSWAP1  Curncy,NDSWAP2  Curncy,NDSWAP3  Curncy,NDSWAP4  Curncy,NDSWAP5  Curncy,NDSWAP6  Curncy,NDSWAP7  Curncy,NDSWAP8  Curncy,NDSWAP9  Curncy,NDSWAP10 Curncy,NDSWAP12 Curncy,NDSWAP15 Curncy,NDSWAP20 Curncy
1/3/1991,,,,,,,12.79,,,,,,,,,,,,,
1/4/1991,,,,,,,12.79,,,,,,,,,,,,,
1/7/1991,,,,,,,,,,,,,,,,,,,,
1/8/1991,,,,,,,12.58,,,,,,,,,,,,,
1/9/1991,,,,,,,12.52,,,,,,,,,,,,,
1/10/1991,,,,,,,12.46,,,,,,,,,,,,,
1/11/1991,,,,,,,12.31,,,,,,,,,,,,,
1/14/1991,,,,,,,12.93,,,,,,,,,,,,,
1/15/1991,,,,,,,12.89,,,,,,,,,,,,,
1/16/1991,,,,,,,12.87,,,,,,,,,,,,,
1/17/1991,,,,,,,12.83,,,,,,,,,,,,,
1/18/1991,,,,,,,12.21,,,,,,,,,,,,,
1/21/1991,,,,,,,,,,,,,,,,,,,,
1/22/1991,,,,,,,12.35,,,,,,,,,,,,,
1/23/1991,,,,,,,12.35,,,,,,,,,,,,,
1/24/1991,,,,,,,12.36,,,,,,,,,,,,,
1/25/1991,,,,,,,12.34,,,,,,,,,,,,,
1/28/1991,,,,,,,12.24,,,,,,,,,,,,,
1/29/1991,,,,,,,12.25,,,,,,,,,,,,,
1/30/1991,,,,,,,12.28,,,,,,,,,,,,,
1/31/1991,,,,,,,12.21,,,,,,,,,,,,,
2/1/1991,,,,,,,12.25,,,,,,,,,,,,,
2/4/1991,,,,,,,11.96,,,,,,,,,,,,,
2/5/1991,,,,,,,11.96,,,,,,,,,,,,,
2/6/1991,,,,,,,,,,,,,,,,,,,,
2/7/1991,,,,,,,12,,,,,,,,,,,,,
2/8/1991,,,,,,,11.9,,,,,,,,,,,,,
2/11/1991,,,,,,,11.85,,,,,,,,,,,,,
2/12/1991,,,,,,,11.86,,,,,,,,,,,,,
2/13/1991,,,,,,,11.96,,,,,,,,,,,,,
2/14/1991,,,,,,,11.96,,,,,,,,,,,,,
2/15/1991,,,,,,,11.94,,,,,,,,,,,,,
2/18/1991,,,,,,,11.94,,,,,,,,,,,,,
2/19/1991,,,,,,,11.99,,,,,,,,,,,,,
2/20/1991,,,,,,,12.1,,,,,,,,,,,,,
2/21/1991,,,,,,,12.02,,,,,,,,,,,,,
2/22/1991,,,,,,,12.1,,,,,,,,,,,,,
2/25/1991,,,,,,,12.13,,,,,,,,,,,,,
2/26/1991,,,,,,,12.1,,,,,,,,,,,,,
2/27/1991,,,,,,,12.16,,,,,,,,,,,,,
2/28/1991,,,,,,,12.12,,,,,,,,,,,,,
3/1/1991,,,,,,,12.16,,,,,,,,,,,,,
3/4/1991,,,,,,,12.24,,,,,,,,,,,,,
3/5/1991,,,,,,,12.2,,,,,,,,,,,,,
3/6/1991,,,,,,,12.07,,,,,,,,,,,,,
3/7/1991,,,,,,,12.09,,,,,,,,,,,,,
3/8/1991,,,,,,,12.04,,,,,,,,,,,,,
3/11/1991,,,,,,,12.05,,,,,,,,,,,,,
3/12/1991,,,,,,,12.06,,,,,,,,,,,,,
3/13/1991,,,,,,,12.16,,,,,,,,,,,,,
3/14/1991,,,,,,,12.12,,,,,,,,,,,,,
3/15/1991,,,,,,,12.1,,,,,,,,,,,,,
3/18/1991,,,,,,,11.9113,,,,,,,,,,,,,
3/19/1991,,,,,,,11.9113,,,,,,,,,,,,,
3/20/1991,,,,,,,11.8917,,,,,,,,,,,,,
3/21/1991,,,,,,,11.8213,,,,,,,,,,,,,
3/22/1991,,,,,,,11.9856,,,,,,,,,,,,,
3/25/1991,,,,,,,11.9856,,,,,,,,,,,,,
3/26/1991,,,,,,,11.9,,,,,,,,,,,,,
3/27/1991,,,,,,,11.9,,,,,,,,,,,,,
3/28/1991,,,,,,,11.9,,,,,,,,,,,,,
3/29/1991,,,,,,,11.9,,,,,,,,,,,,,
4/1/1991,,,,,,,11.9,,,,,,,,,,,,,
4/2/1991,,,,,,,11.9,,,,,,,,,,,,,
4/3/1991,,,,,,,11.9,,,,,,,,,,,,,
4/4/1991,,,,,,,11.7686,,,,,,,,,,,,,
4/5/1991,,,,,,,11.7686,,,,,,,,,,,,,
4/8/1991,,,,,,,11.7733,,,,,,,,,,,,,
4/9/1991,,,,,,,11.7733,,,,,,,,,,,,,
4/10/1991,,,,,,,11.85,,,,,,,,,,,,,
4/11/1991,,,,,,,11.85,,,,,,,,,,,,,
4/12/1991,,,,,,,11.8414,,,,,,,,,,,,,
4/15/1991,,,,,,,11.71,,,,,,,,,,,,,
4/16/1991,,,,,,,11.59,,,,,,,,,,,,,
4/17/1991,,,,,,,11.4829,,,,,,,,,,,,,
4/18/1991,,,,,,,11.0688,,,,,,,,,,,,,
4/19/1991,,,,,,,11.0688,,,,,,,,,,,,,
4/22/1991,,,,,,,10.9386,,,,,,,,,,,,,
4/23/1991,,,,,,,10.9386,,,,,,,,,,,,,
4/24/1991,,,,,,,10.7863,,,,,,,,,,,,,
4/25/1991,,,,,,,10.7863,,,,,,,,,,,,,
4/26/1991,,,,,,,10.7863,,,,,,,,,,,,,
4/29/1991,,,,,,,10.7056,,,,,,,,,,,,,
4/30/1991,,,,,,,10.6743,,,,,,,,,,,,,
5/1/1991,,,,,,,10.6033,,,,,,,,,,,,,
