,PZSW1    Curncy,PZSW10   Curncy,PZSW15   Curncy,PZSW2    Curncy,PZSW20   Curncy,PZSW3    Curncy,PZSW4    Curncy,PZSW5    Curncy,PZSW6    Curncy,PZSW7    Curncy,PZSW8    Curncy,PZSW9    Curncy,WIBO1M   Index,WIBO3M   Index,WIBO6M   Index,WIBO9M   Index,WIBOON   Index
1996-08-12,,,,,,,,,,,,,19.095,19.255,,,
1996-08-13,,,,,,,,,,,,,19.21,19.255,,,
1996-08-14,,,,,,,,,,,,,19.05,19.17,,,
1996-08-16,,,,,,,,,,,,,19.055,19.17,,,
1996-08-19,,,,,,,,,,,,,19.11,19.2,,,
1996-08-20,,,,,,,,,,,,,19.1,19.105,,,
1996-08-21,,,,,,,,,,,,,18.99,19.095,,,
1996-08-22,,,,,,,,,,,,,18.95,18.93,,,
1996-08-23,,,,,,,,,,,,,19.015,19.125,,,
1996-08-26,,,,,,,,,,,,,18.5,18.68,,,
1996-08-27,,,,,,,,,,,,,18.525,18.61,,,
1996-08-28,,,,,,,,,,,,,18.49,18.65,,,
1996-08-29,,,,,,,,,,,,,18.895,19.005,,,
1996-08-30,,,,,,,,,,,,,18.955,19.075,,,
1996-09-02,,,,,,,,,,,,,18.93,19.005,,,
1996-09-03,,,,,,,,,,,,,18.98,18.975,,,
1996-09-04,,,,,,,,,,,,,19.055,19.035,,,
1996-09-05,,,,,,,,,,,,,19.09,19.085,,,
1996-09-06,,,,,,,,,,,,,19.095,19.07,,,
1996-09-09,,,,,,,,,,,,,19.055,19.01,,,
1996-09-10,,,,,,,,,,,,,19.145,19.06,,,
1996-09-11,,,,,,,,,,,,,19.115,19.07,,,
1996-09-12,,,,,,,,,,,,,19.215,19.175,,,
1996-09-13,,,,,,,,,,,,,19.55,19.35,,,
1996-09-16,,,,,,,,,,,,,19.94,19.765,,,
1996-09-17,,,,,,,,,,,,,19.94,19.765,,,
1996-09-18,,,,,,,,,,,,,20.455,20.055,,,
1996-09-19,,,,,,,,,,,,,19.995,19.815,,,
1996-09-20,,,,,,,,,,,,,19.525,19.545,,,
1996-09-23,,,,,,,,,,,,,19.525,19.45,,,
1996-09-24,,,,,,,,,,,,,19.5,19.485,,,
1996-09-25,,,,,,,,,,,,,19.475,19.4,,,
1996-09-26,,,,,,,,,,,,,19.48,19.49,,,
1996-09-27,,,,,,,,,,,,,19.545,19.39,,,
1996-09-30,,,,,,,,,,,,,19.645,19.48,,,
1996-10-01,,,,,,,,,,,,,19.55,19.375,,,
1996-10-02,,,,,,,,,,,,,19.49,19.455,,,
1996-10-03,,,,,,,,,,,,,19.665,19.59,,,
1996-10-04,,,,,,,,,,,,,19.54,19.48,,,
1996-10-07,,,,,,,,,,,,,19.595,19.495,,,
1996-10-08,,,,,,,,,,,,,19.425,19.4,,,
1996-10-09,,,,,,,,,,,,,19.335,19.365,,,
1996-10-10,,,,,,,,,,,,,19.25,19.375,,,
1996-10-11,,,,,,,,,,,,,19.155,19.265,,,
1996-10-14,,,,,,,,,,,,,19.255,19.235,,,
1996-10-15,,,,,,,,,,,,,19.235,19.26,,,
1996-10-16,,,,,,,,,,,,,19.22,19.24,,,
1996-10-17,,,,,,,,,,,,,19.29,19.31,,,
1996-10-18,,,,,,,,,,,,,19.23,19.27,,,
1996-10-21,,,,,,,,,,,,,19.225,19.28,,,
1996-10-22,,,,,,,,,,,,,19.275,19.3,,,
1996-10-23,,,,,,,,,,,,,19.34,19.365,,,
1996-10-24,,,,,,,,,,,,,19.295,19.345,,,
1996-10-25,,,,,,,,,,,,,19.27,19.305,,,
1996-10-28,,,,,,,,,,,,,19.275,19.355,,,
1996-10-29,,,,,,,,,,,,,19.425,19.34,,,
1996-10-30,,,,,,,,,,,,,19.365,19.4,,,
