Date,FIXFLOAT:1Y,FIXFLOAT:10Y,FIXFLOAT:15Y,FIXFLOAT:2Y,FIXFLOAT:20Y,FIXFLOAT:3Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y,DEPOSIT:1M,DEPOSIT:3M,DEPOSIT:6M,DEPOSIT:9M,DEPOSIT:1D
12-Aug-1996,,,,,,,,,,,,,19.095,19.255,,,
13-Aug-1996,,,,,,,,,,,,,19.21,19.255,,,
14-Aug-1996,,,,,,,,,,,,,19.05,19.17,,,
16-Aug-1996,,,,,,,,,,,,,19.055,19.17,,,
19-Aug-1996,,,,,,,,,,,,,19.11,19.2,,,
20-Aug-1996,,,,,,,,,,,,,19.1,19.105,,,
21-Aug-1996,,,,,,,,,,,,,18.99,19.095,,,
22-Aug-1996,,,,,,,,,,,,,18.95,18.93,,,
23-Aug-1996,,,,,,,,,,,,,19.015,19.125,,,
26-Aug-1996,,,,,,,,,,,,,18.5,18.68,,,
27-Aug-1996,,,,,,,,,,,,,18.525,18.61,,,
28-Aug-1996,,,,,,,,,,,,,18.49,18.65,,,
29-Aug-1996,,,,,,,,,,,,,18.895,19.005,,,
30-Aug-1996,,,,,,,,,,,,,18.955,19.075,,,
2-Sep-1996,,,,,,,,,,,,,18.93,19.005,,,
3-Sep-1996,,,,,,,,,,,,,18.98,18.975,,,
4-Sep-1996,,,,,,,,,,,,,19.055,19.035,,,
5-Sep-1996,,,,,,,,,,,,,19.09,19.085,,,
6-Sep-1996,,,,,,,,,,,,,19.095,19.07,,,
9-Sep-1996,,,,,,,,,,,,,19.055,19.01,,,
10-Sep-1996,,,,,,,,,,,,,19.145,19.06,,,
11-Sep-1996,,,,,,,,,,,,,19.115,19.07,,,
12-Sep-1996,,,,,,,,,,,,,19.215,19.175,,,
13-Sep-1996,,,,,,,,,,,,,19.55,19.35,,,
16-Sep-1996,,,,,,,,,,,,,19.94,19.765,,,
17-Sep-1996,,,,,,,,,,,,,19.94,19.765,,,
18-Sep-1996,,,,,,,,,,,,,20.455,20.055,,,
19-Sep-1996,,,,,,,,,,,,,19.995,19.815,,,
20-Sep-1996,,,,,,,,,,,,,19.525,19.545,,,
23-Sep-1996,,,,,,,,,,,,,19.525,19.45,,,
24-Sep-1996,,,,,,,,,,,,,19.5,19.485,,,
25-Sep-1996,,,,,,,,,,,,,19.475,19.4,,,
26-Sep-1996,,,,,,,,,,,,,19.48,19.49,,,
27-Sep-1996,,,,,,,,,,,,,19.545,19.39,,,
30-Sep-1996,,,,,,,,,,,,,19.645,19.48,,,
1-Oct-1996,,,,,,,,,,,,,19.55,19.375,,,
2-Oct-1996,,,,,,,,,,,,,19.49,19.455,,,
3-Oct-1996,,,,,,,,,,,,,19.665,19.59,,,
4-Oct-1996,,,,,,,,,,,,,19.54,19.48,,,
7-Oct-1996,,,,,,,,,,,,,19.595,19.495,,,
8-Oct-1996,,,,,,,,,,,,,19.425,19.4,,,
9-Oct-1996,,,,,,,,,,,,,19.335,19.365,,,
10-Oct-1996,,,,,,,,,,,,,19.25,19.375,,,
11-Oct-1996,,,,,,,,,,,,,19.155,19.265,,,
14-Oct-1996,,,,,,,,,,,,,19.255,19.235,,,
15-Oct-1996,,,,,,,,,,,,,19.235,19.26,,,
16-Oct-1996,,,,,,,,,,,,,19.22,19.24,,,
17-Oct-1996,,,,,,,,,,,,,19.29,19.31,,,
18-Oct-1996,,,,,,,,,,,,,19.23,19.27,,,
21-Oct-1996,,,,,,,,,,,,,19.225,19.28,,,
22-Oct-1996,,,,,,,,,,,,,19.275,19.3,,,
23-Oct-1996,,,,,,,,,,,,,19.34,19.365,,,
24-Oct-1996,,,,,,,,,,,,,19.295,19.345,,,
25-Oct-1996,,,,,,,,,,,,,19.27,19.305,,,
28-Oct-1996,,,,,,,,,,,,,19.275,19.355,,,
29-Oct-1996,,,,,,,,,,,,,19.425,19.34,,,
30-Oct-1996,,,,,,,,,,,,,19.365,19.4,,,
31-Oct-1996,,,,,,,,,,,,,19.4,19.4,,,
4-Nov-1996,,,,,,,,,,,,,19.44,19.4,,,
5-Nov-1996,,,,,,,,,,,,,19.405,19.47,,,
6-Nov-1996,,,,,,,,,,,,,19.375,19.42,,,
7-Nov-1996,,,,,,,,,,,,,19.42,19.485,,,
8-Nov-1996,,,,,,,,,,,,,19.395,19.48,,,
12-Nov-1996,,,,,,,,,,,,,19.385,19.43,,,
13-Nov-1996,,,,,,,,,,,,,19.35,19.43,,,
14-Nov-1996,,,,,,,,,,,,,19.405,19.59,,,
15-Nov-1996,,,,,,,,,,,,,19.37,19.43,,,
18-Nov-1996,,,,,,,,,,,,,19.315,19.455,,,
19-Nov-1996,,,,,,,,,,,,,19.315,20.01,,,
20-Nov-1996,,,,,,,,,,,,,19.29,19.445,,,
21-Nov-1996,,,,,,,,,,,,,19.345,19.515,,,
22-Nov-1996,,,,,,,,,,,,,19.34,19.48,,,
25-Nov-1996,,,,,,,,,,,,,19.335,19.55,,,
26-Nov-1996,,,,,,,,,,,,,19.345,19.525,,,
27-Nov-1996,,,,,,,,,,,,,19.67,19.555,,,
28-Nov-1996,,,,,,,,,,,,,19.39,19.545,,,
29-Nov-1996,,,,,,,,,,,,,19.42,19.515,,,
2-Dec-1996,,,,,,,,,,,,,19.51,19.48,,,
3-Dec-1996,,,,,,,,,,,,,20.265,19.86,,,
4-Dec-1996,,,,,,,,,,,,,21.075,20.105,,,
5-Dec-1996,,,,,,,,,,,,,22.765,20.885,,,
6-Dec-1996,,,,,,,,,,,,,23.92,21.445,,,
9-Dec-1996,,,,,,,,,,,,,24.315,21.6,,,
10-Dec-1996,,,,,,,,,,,,,22.825,21.115,,,
11-Dec-1996,,,,,,,,,,,,,21.47,21.055,,,
12-Dec-1996,,,,,,,,,,,,,22.135,21.1,,,
13-Dec-1996,,,,,,,,,,,,,21.945,21.105,,,
16-Dec-1996,,,,,,,,,,,,,21.41,20.965,,,
17-Dec-1996,,,,,,,,,,,,,21.325,20.685,,,
18-Dec-1996,,,,,,,,,,,,,21.405,20.75,,,
19-Dec-1996,,,,,,,,,,,,,21.59,20.96,,,
20-Dec-1996,,,,,,,,,,,,,20.725,20.86,,,
23-Dec-1996,,,,,,,,,,,,,21.52,21.135,,,
24-Dec-1996,,,,,,,,,,,,,22.28,21.735,,,
27-Dec-1996,,,,,,,,,,,,,21.81,21.465,,,
30-Dec-1996,,,,,,,,,,,,,21.945,21.61,,,
31-Dec-1996,,,,,,,,,,,,,21.755,21.73,,,
2-Jan-1997,,,,,,,,,,,,,21.845,21.785,,,
3-Jan-1997,,,,,,,,,,,,,22.08,21.935,,,
6-Jan-1997,,,,,,,,,,,,,22,21.88,,,
7-Jan-1997,,,,,,,,,,,,,22.025,21.955,,,
8-Jan-1997,,,,,,,,,,,,,22.005,22.01,,,
9-Jan-1997,,,,,,,,,,,,,21.995,21.95,,,
10-Jan-1997,,,,,,,,,,,,,22.005,22.07,,,
13-Jan-1997,,,,,,,,,,,,,21.965,22.03,,,
14-Jan-1997,,,,,,,,,,,,,21.925,22.07,,,
15-Jan-1997,,,,,,,,,,,,,21.86,22.01,,,
16-Jan-1997,,,,,,,,,,,,,21.89,22.045,,,
17-Jan-1997,,,,,,,,,,,,,21.86,22.025,,,
20-Jan-1997,,,,,,,,,,,,,21.955,22.025,,,
21-Jan-1997,,,,,,,,,,,,,21.91,22.03,,,
22-Jan-1997,,,,,,,,,,,,,21.855,22.015,,,
23-Jan-1997,,,,,,,,,,,,,21.835,21.98,,,
24-Jan-1997,,,,,,,,,,,,,21.755,21.97,,,
27-Jan-1997,,,,,,,,,,,,,21.785,21.975,,,
28-Jan-1997,,,,,,,,,,,,,21.825,21.975,,,
29-Jan-1997,,,,,,,,,,,,,21.83,22.005,,,
30-Jan-1997,,,,,,,,,,,,,21.855,21.985,,,
31-Jan-1997,,,,,,,,,,,,,21.9,21.845,,,
3-Feb-1997,,,,,,,,,,,,,21.965,22.03,22.065,,
4-Feb-1997,,,,,,,,,,,,,22.405,22.27,22.15,,
6-Feb-1997,,,,,,,,,,,,,22.08,22.1,22.125,,
7-Feb-1997,,,,,,,,,,,,,22.115,22.145,,,
10-Feb-1997,,,,,,,,,,,,,22.145,22.165,22.14,,
11-Feb-1997,,,,,,,,,,,,,22.28,22.185,22.165,,
12-Feb-1997,,,,,,,,,,,,,22.365,22.28,22.255,,
13-Feb-1997,,,,,,,,,,,,,22.49,22.295,22.27,,
14-Feb-1997,,,,,,,,,,,,,22.43,22.29,22.24,,
17-Feb-1997,,,,,,,,,,,,,22.095,22.21,22.19,,
18-Feb-1997,,,,,,,,,,,,,22.05,22.17,22.19,,
19-Feb-1997,,,,,,,,,,,,,21.96,22.11,22.135,,
20-Feb-1997,,,,,,,,,,,,,21.965,22.075,22.11,,
21-Feb-1997,,,,,,,,,,,,,22.095,22.145,22.15,,
24-Feb-1997,,,,,,,,,,,,,22.02,22.115,22.13,,
25-Feb-1997,,,,,,,,,,,,,21.975,22.11,22.125,,
26-Feb-1997,,,,,,,,,,,,,21.98,22.11,22.135,,
27-Feb-1997,,,,,,,,,,,,,22.015,22.125,22.135,,
28-Feb-1997,,,,,,,,,,,,,22.14,22.16,22.165,,
3-Mar-1997,,,,,,,,,,,,,22.235,22.195,22.195,,
4-Mar-1997,,,,,,,,,,,,,22.18,22.165,22.16,,
5-Mar-1997,,,,,,,,,,,,,22.07,22.13,22.12,,
6-Mar-1997,,,,,,,,,,,,,22.06,22.125,22.12,,
7-Mar-1997,,,,,,,,,,,,,22.055,22.12,22.13,,
10-Mar-1997,,,,,,,,,,,,,22.065,22.125,22.125,,
11-Mar-1997,,,,,,,,,,,,,22.065,22.125,22.125,,
12-Mar-1997,,,,,,,,,,,,,22.105,22.125,22.115,,
13-Mar-1997,,,,,,,,,,,,,22.155,22.145,22.11,,
14-Mar-1997,,,,,,,,,,,,,22.115,22.145,22.125,,
17-Mar-1997,,,,,,,,,,,,,22.125,22.155,22.13,,
18-Mar-1997,,,,,,,,,,,,,22.15,22.155,22.135,,
19-Mar-1997,,,,,,,,,,,,,22.175,22.155,22.14,,
20-Mar-1997,,,,,,,,,,,,,22.2,22.185,22.16,,
21-Mar-1997,,,,,,,,,,,,,22.37,22.275,22.23,,
24-Mar-1997,,,,,,,,,,,,,22.405,22.295,22.25,,
25-Mar-1997,,,,,,,,,,,,,22.445,22.295,22.26,,
26-Mar-1997,,,,,,,,,,,,,22.61,22.36,22.325,,
27-Mar-1997,,,,,,,,,,,,,22.67,22.42,22.38,,
28-Mar-1997,,,,,,,,,,,,,22.685,22.44,22.375,,
1-Apr-1997,,,,,,,,,,,,,22.67,22.48,22.4,,
2-Apr-1997,,,,,,,,,,,,,22.71,22.515,22.405,,
3-Apr-1997,,,,,,,,,,,,,22.635,22.485,22.39,,
4-Apr-1997,,,,,,,,,,,,,22.67,22.5,22.395,,
7-Apr-1997,,,,,,,,,,,,,22.7,22.53,22.385,,
8-Apr-1997,,,,,,,,,,,,,22.795,22.545,22.395,,
10-Apr-1997,,,,,,,,,,,,,22.785,22.56,22.44,,
11-Apr-1997,,,,,,,,,,,,,22.71,22.565,22.435,,
14-Apr-1997,,,,,,,,,,,,,22.755,22.55,22.415,,
15-Apr-1997,,,,,,,,,,,,,22.76,22.565,22.415,,
16-Apr-1997,,,,,,,,,,,,,22.65,22.545,22.395,,
17-Apr-1997,,,,,,,,,,,,,22.575,22.485,22.36,,
18-Apr-1997,,,,,,,,,,,,,22.535,22.46,22.335,,
21-Apr-1997,,,,,,,,,,,,,22.42,22.405,22.295,,
22-Apr-1997,,,,,,,,,,,,,22.09,22.16,22.11,,
23-Apr-1997,,,,,,,,,,,,,22.175,22.175,22.09,,
24-Apr-1997,,,,,,,,,,,,,22.155,22.165,22.1,,
25-Apr-1997,,,,,,,,,,,,,22.11,22.155,22.06,,
28-Apr-1997,,,,,,,,,,,,,22.425,22.295,22.16,,
29-Apr-1997,,,,,,,,,,,,,22.615,22.44,22.24,,
30-Apr-1997,,,,,,,,,,,,,22.845,22.535,22.355,,
2-May-1997,,,,,,,,,,,,,22.855,22.555,22.355,,
5-May-1997,,,,,,,,,,,,,22.75,22.555,22.365,,
6-May-1997,,,,,,,,,,,,,22.735,22.585,22.365,,
7-May-1997,,,,,,,,,,,,,22.675,22.565,22.335,,
8-May-1997,,,,,,,,,,,,,22.64,22.535,22.345,,
9-May-1997,,,,,,,,,,,,,22.62,22.48,22.305,,
12-May-1997,,,,,,,,,,,,,22.595,22.48,22.295,,
13-May-1997,,,,,,,,,,,,,22.6,22.5,22.285,,
14-May-1997,,,,,,,,,,,,,22.56,22.475,22.28,,
15-May-1997,,,,,,,,,,,,,22.485,22.425,22.24,,
16-May-1997,,,,,,,,,,,,,22.48,22.43,22.225,,
19-May-1997,,,,,,,,,,,,,22.425,22.4,22.215,,
20-May-1997,,,,,,,,,,,,,22.425,22.38,22.2,,
21-May-1997,,,,,,,,,,,,,22.41,22.355,22.195,,
22-May-1997,,,,,,,,,,,,,22.41,22.38,22.21,,
23-May-1997,,,,,,,,,,,,,22.39,22.39,22.225,,
26-May-1997,,,,,,,,,,,,,22.38,22.385,22.2,,
27-May-1997,,,,,,,,,,,,,23.075,22.59,22.385,,
28-May-1997,,,,,,,,,,,,,22.915,22.615,22.35,,
29-May-1997,,,,,,,,,,,,,22.8,22.54,22.33,,
30-May-1997,,,,,,,,,,,,,22.8,22.54,22.33,,
2-Jun-1997,,,,,,,,,,,,,22.525,22.48,22.3,,
3-Jun-1997,,,,,,,,,,,,,22.505,22.455,22.285,,
4-Jun-1997,,,,,,,,,,,,,22.49,22.45,22.28,,
5-Jun-1997,,,,,,,,,,,,,22.42,22.415,22.23,,
6-Jun-1997,,,,,,,,,,,,,22.395,22.4,22.22,,
9-Jun-1997,,,,,,,,,,,,,22.42,22.4,22.215,,
10-Jun-1997,,,,,,,,,,,,,22.415,22.405,22.205,,
11-Jun-1997,,,,,,,,,,,,,22.41,22.385,22.195,,
12-Jun-1997,,,,,,,,,,,,,22.41,22.365,22.195,,
13-Jun-1997,,,,,,,,,,,,,22.385,22.355,22.2,,
16-Jun-1997,,,,,,,,,,,,,22.37,22.35,22.185,,
17-Jun-1997,,,,,,,,,,,,,22.35,22.34,22.175,,
18-Jun-1997,,,,,,,,,,,,,22.36,22.34,22.175,,
19-Jun-1997,,,,,,,,,,,,,22.36,22.34,22.175,,
20-Jun-1997,,,,,,,,,,,,,22.325,22.32,22.16,,
23-Jun-1997,,,,,,,,,,,,,22.35,22.325,22.17,,
24-Jun-1997,,,,,,,,,,,,,22.385,22.335,22.165,,
25-Jun-1997,,,,,,,,,,,,,22.47,22.355,22.185,,
26-Jun-1997,,,,,,,,,,,,,22.48,22.375,22.195,,
27-Jun-1997,,,,,,,,,,,,,22.505,22.405,22.19,,
30-Jun-1997,,,,,,,,,,,,,22.63,22.435,22.19,,
1-Jul-1997,,,,,,,,,,,,,22.655,22.485,22.225,,
2-Jul-1997,,,,,,,,,,,,,22.685,22.49,22.24,,
