,DEPOSIT:1D,DEPOSIT:1W,DEPOSIT:1M,DEPOSIT:2M,DEPOSIT:3M,DEPOSIT:6M,FIXFLOAT:2Y,FIXFLOAT:3Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y,FIXFLOAT:10Y,FIXFLOAT:15Y,FIXFLOAT:20Y,FIXFLOAT:30Y
2-Jan-1987,,,9.45,,9.6,9.75,,,,,,,,,,,,
5-Jan-1987,,,9.4,,9.6,9.8,,,,,,,,,,,,
6-Jan-1987,,,,,,,,,,,,,,,,,,
7-Jan-1987,,,9.45,,9.6,9.8,,,,,,,,,,,,
8-Jan-1987,,,9.45,,9.6,9.8,,,,,,,,,,,,
9-Jan-1987,,,9.6,,9.8,9.95,,,,,,,,,,,,
12-Jan-1987,,,9.55,,9.85,10,,,,,,,,,,,,
13-Jan-1987,,,9.55,,9.85,10.05,,,,,,,,,,,,
14-Jan-1987,,,9.6,,10.05,10.3,,,,,,,,,,,,
15-Jan-1987,,,9.7,,10.1,10.35,,,,,,,,,,,,
16-Jan-1987,,,9.7,,10.1,10.4,,,,,,,,,,,,
19-Jan-1987,,,9.75,,10.15,10.4,,,,,,,,,,,,
20-Jan-1987,,,9.8,,10.15,10.4,,,,,,,,,,,,
21-Jan-1987,,,9.75,,10.15,10.4,,,,,,,,,,,,
22-Jan-1987,,,9.8,,10.2,10.4,,,,,,,,,,,,
23-Jan-1987,,,9.75,,10.15,10.4,,,,,,,,,,,,
26-Jan-1987,,,9.9,,10.15,10.4,,,,,,,,,,,,
27-Jan-1987,,,9.95,,10.15,10.4,,,,,,,,,,,,
28-Jan-1987,,,10.55,,10.7,10.75,,,,,,,,,,,,
29-Jan-1987,,,10.85,,10.9,10.95,,,,,,,,,,,,
30-Jan-1987,,,11.4,,11.3,11.25,,,,,,,,,,,,
2-Feb-1987,,,11.15,,11,11.05,,,,,,,,,,,,
3-Feb-1987,,,11.05,,10.95,10.9,,,,,,,,,,,,
4-Feb-1987,,,11.05,,10.95,10.9,,,,,,,,,,,,
5-Feb-1987,,,11,,10.85,10.8,,,,,,,,,,,,
6-Feb-1987,,,10.85,,10.7,10.7,,,,,,,,,,,,
9-Feb-1987,,,11.25,,10.75,10.7,,,,,,,,,,,,
10-Feb-1987,,,11.65,,10.9,10.75,,,,,,,,,,,,
11-Feb-1987,,,11.75,,10.95,10.75,,,,,,,,,,,,
12-Feb-1987,,,11.75,,10.95,10.75,,,,,,,,,,,,
13-Feb-1987,,,11.45,,10.95,10.75,,,,,,,,,,,,
16-Feb-1987,,,11.5,,11,10.75,,,,,,,,,,,,
17-Feb-1987,,,11.6,,11.05,10.85,,,,,,,,,,,,
18-Feb-1987,,,11.65,,11.25,10.95,,,,,,,,,,,,
19-Feb-1987,,,11.15,,11.05,10.8,,,,,,,,,,,,
20-Feb-1987,,,11.35,,11.05,10.85,,,,,,,,,,,,
23-Feb-1987,,,11.55,,11.2,10.85,,,,,,,,,,,,
24-Feb-1987,,,11.65,,11.25,10.9,,,,,,,,,,,,
25-Feb-1987,,,11.6,,11.25,10.9,,,,,,,,,,,,
26-Feb-1987,,,11.6,,11.25,10.85,,,,,,,,,,,,
27-Feb-1987,,,11.75,,11.3,10.85,,,,,,,,,,,,
2-Mar-1987,,,11.8,,11.25,10.95,,,,,,,,,,,,
3-Mar-1987,,,11.8,,11.25,10.9,,,,,,,,,,,,
4-Mar-1987,,,11.7,,11.2,10.85,,,,,,,,,,,,
5-Mar-1987,,,11.5,,11,10.8,,,,,,,,,,,,
6-Mar-1987,,,11.3,,10.95,10.85,,,,,,,,,,,,
9-Mar-1987,,,11.35,,10.95,10.85,,,,,,,,,,,,
10-Mar-1987,,,11.35,,10.95,10.8,,,,,,,,,,,,
11-Mar-1987,,,11.35,,10.95,10.8,,,,,,,,,,,,
12-Mar-1987,,,11.45,,11,10.8,,,,,,,,,,,,
13-Mar-1987,,,11.6,,11.35,11.05,,,,,,,,,,,,
16-Mar-1987,,,11.65,,11.35,11.1,,,,,,,,,,,,
17-Mar-1987,,,11.75,,11.4,11.1,,,,,,,,,,,,
18-Mar-1987,,,11.6,,11.3,10.95,,,,,,,,,,,,
19-Mar-1987,,,11.7,,11.35,11,,,,,,,,,,,,
20-Mar-1987,,,11.8,,11.35,11,,,,,,,,,,,,
23-Mar-1987,,,11.85,,11.4,11,,,,,,,,,,,,
24-Mar-1987,,,11.85,,11.45,11.05,,,,,,,,,,,,
25-Mar-1987,,,11.85,,11.4,11.05,,,,,,,,,,,,
26-Mar-1987,,,11.85,,11.4,11.05,,,,,,,,,,,,
27-Mar-1987,,,11.35,,11,10.9,,,,,,,,,,,,
30-Mar-1987,,,11.2,,11,10.9,,,,,,,,,,,,
31-Mar-1987,,,10.65,,10.65,10.65,,,,,,,,,,,,
1-Apr-1987,,,10.55,,10.6,10.65,,,,,,,,,,,,
2-Apr-1987,,,10.35,,10.4,10.4,,,,,,,,,,,,
3-Apr-1987,,,9.95,,10.15,10.2,,,,,,,,,,,,
6-Apr-1987,,,10,,10.15,10.25,,,,,,,,,,,,
7-Apr-1987,,,10.25,,10.25,10.25,,,,,,,,,,,,
8-Apr-1987,,,10.25,,10.25,10.3,,,,,,,,,,,,
9-Apr-1987,,,10.2,,10.2,10.25,,,,,,,,,,,,
10-Apr-1987,,,10.15,,10.2,10.25,,,,,,,,,,,,
13-Apr-1987,,,10.2,,10.3,10.35,,,,,,,,,,,,
14-Apr-1987,,,10.15,,10.3,10.35,,,,,,,,,,,,
15-Apr-1987,,,10.1,,10.3,10.35,,,,,,,,,,,,
16-Apr-1987,,,9.25,,10.2,10.3,,,,,,,,,,,,
21-Apr-1987,,,9.55,,10.1,10.3,,,,,,,,,,,,
22-Apr-1987,,,9.55,,10.1,10.3,,,,,,,,,,,,
23-Apr-1987,,,9.35,,10,10.2,,,,,,,,,,,,
24-Apr-1987,,,9.35,,10,10.15,,,,,,,,,,,,
27-Apr-1987,,,9.35,,9.8,10,,,,,,,,,,,,
28-Apr-1987,,,9.35,,9.65,9.85,,,,,,,,,,,,
29-Apr-1987,,,,,,,,,,,,,,,,,,
30-Apr-1987,,,9.25,,9.65,9.85,,,,,,,,,,,,
1-May-1987,,,,,,,,,,,,,,,,,,
4-May-1987,,,,,,,,,,,,,,,,,,
5-May-1987,,,9.15,,9.65,9.85,,,,,,,,,,,,
6-May-1987,,,9.25,,9.7,9.9,,,,,,,,,,,,
7-May-1987,,,9.5,,9.7,9.9,,,,,,,,,,,,
8-May-1987,,,9.45,,9.7,9.9,,,,,,,,,,,,
11-May-1987,,,9.6,,9.75,9.9,,,,,,,,,,,,
12-May-1987,,,9.55,,9.85,10,,,,,,,,,,,,
13-May-1987,,,9.5,,9.85,10,,,,,,,,,,,,
14-May-1987,,,9.5,,9.95,10.2,,,,,,,,,,,,
15-May-1987,,,9.5,,9.95,10.2,,,,,,,,,,,,
18-May-1987,,,9.55,,10,10.5,,,,,,,,,,,,
19-May-1987,,,9.55,,10.05,10.85,,,,,,,,,,,,
20-May-1987,,,9.5,,10.05,10.65,,,,,,,,,,,,
21-May-1987,,,9.55,,10.2,10.75,,,,,,,,,,,,
22-May-1987,,,9.4,,10.1,10.65,,,,,,,,,,,,
25-May-1987,,,9.4,,10,10.6,,,,,,,,,,,,
26-May-1987,,,9.4,,10,10.5,,,,,,,,,,,,
27-May-1987,,,9.4,,9.95,10.4,,,,,,,,,,,,
28-May-1987,,,,,,,,,,,,,,,,,,
29-May-1987,,,9.4,,9.95,10.4,,,,,,,,,,,,
1-Jun-1987,,,9.4,,9.95,10.4,,,,,,,,,,,,
2-Jun-1987,,,9.4,,10,10.45,,,,,,,,,,,,
3-Jun-1987,,,9.1,,9.8,10.35,,,,,,,,,,,,
4-Jun-1987,,,9.1,,9.8,10.35,,,,,,,,,,,,
5-Jun-1987,,,9.05,,9.65,10.2,,,,,,,,,,,,
8-Jun-1987,,,,,,,,,,,,,,,,,,
9-Jun-1987,,,9.05,,9.35,10.15,,,,,,,,,,,,
10-Jun-1987,,,8.55,,9.25,10,,,,,,,,,,,,
11-Jun-1987,,,8.55,,9.25,9.95,,,,,,,,,,,,
12-Jun-1987,,,8.55,,9.2,9.9,,,,,,,,,,,,
15-Jun-1987,,,8.55,,9.2,9.9,,,,,,,,,,,,
16-Jun-1987,,,8.55,,9.15,9.85,,,,,,,,,,,,
17-Jun-1987,,,8.55,,9.15,9.65,,,,,,,,,,,,
18-Jun-1987,,,8.45,,8.85,9.65,,,,,,,,,,,,
19-Jun-1987,,,,,,,,,,,,,,,,,,
22-Jun-1987,,,8.45,,8.85,9.65,,,,,,,,,,,,
23-Jun-1987,,,8.45,,8.95,9.65,,,,,,,,,,,,
24-Jun-1987,,,8.45,,8.95,9.65,,,,,,,,,,,,
25-Jun-1987,,,8.45,,8.95,9.7,,,,,,,,,,,,
26-Jun-1987,,,8.45,,8.95,9.8,,,,,,,,,,,,
29-Jun-1987,,,8.45,,8.95,9.85,,,,,,,,,,,,
30-Jun-1987,,,8.55,,9.05,9.85,,,,,,,,,,,,
1-Jul-1987,,,8.55,,9.05,9.85,,,,,,,,,,,,
2-Jul-1987,,,8.55,,9.05,9.8,,,,,,,,,,,,
3-Jul-1987,,,8.55,,9.05,9.8,,,,,,,,,,,,
6-Jul-1987,,,8.55,,9.05,9.8,,,,,,,,,,,,
7-Jul-1987,,,8.55,,9.05,9.8,,,,,,,,,,,,
8-Jul-1987,,,8.55,,9.05,9.8,,,,,,,,,,,,
9-Jul-1987,,,8.6,,9.05,9.8,,,,,,,,,,,,
10-Jul-1987,,,8.7,,9.1,9.9,,,,,,,,,,,,
13-Jul-1987,,,8.75,,9.1,9.9,,,,,,,,,,,,
14-Jul-1987,,,8.7,,9.09,9.9,,,,,,,,,,,,
15-Jul-1987,,,8.66,,9.06,9.84,,,,,,,,,,,,
16-Jul-1987,,,8.58,,9,9.78,,,,,,,,,,,,
17-Jul-1987,,,8.53,,9,9.79,,,,,,,,,,,,
20-Jul-1987,,,8.5,,9,9.79,,,,,,,,,,,,
21-Jul-1987,,,8.5,,9.01,9.79,,,,,,,,,,,,
22-Jul-1987,,,8.6,,9,9.78,,,,,,,,,,,,
23-Jul-1987,,,8.6,,9,9.79,,,,,,,,,,,,
24-Jul-1987,,,,,,,,,,,,,,,,,,
27-Jul-1987,,,8.76,,9.1,9.8,,,,,,,,,,,,
28-Jul-1987,,,8.78,,9.11,9.81,,,,,,,,,,,,
29-Jul-1987,,,8.78,,9.13,9.81,,,,,,,,,,,,
30-Jul-1987,,,8.83,,9.23,9.91,,,,,,,,,,,,
31-Jul-1987,,,8.85,,9.21,9.91,,,,,,,,,,,,
3-Aug-1987,,,8.85,,9.21,9.91,,,,,,,,,,,,
4-Aug-1987,,,8.79,,9.23,9.91,,,,,,,,,,,,
5-Aug-1987,,,8.79,,9.24,9.91,,,,,,,,,,,,
6-Aug-1987,,,8.79,,9.25,9.91,,,,,,,,,,,,
7-Aug-1987,,,8.9,,9.39,9.96,,,,,,,,,,,,
10-Aug-1987,,,8.94,,9.44,10,,,,,,,,,,,,
11-Aug-1987,,,9.08,,9.71,10.05,,,,,,,,,,,,
12-Aug-1987,,,9.08,,9.71,10.11,,,,,,,,,,,,
13-Aug-1987,,,9.08,,9.71,10.11,,,,,,,,,,,,
14-Aug-1987,,,9.03,,9.66,10.04,,,,,,,,,,,,
17-Aug-1987,,,9.02,,9.62,10.04,,,,,,,,,,,,
18-Aug-1987,,,9.02,,9.62,10.04,,,,,,,,,,,,
19-Aug-1987,,,9.02,,9.55,10.04,,,,,,,,,,,,
20-Aug-1987,,,9.03,,9.55,9.96,,,,,,,,,,,,
21-Aug-1987,,,9.08,,9.55,9.96,,,,,,,,,,,,
24-Aug-1987,,,9.09,,9.55,9.94,,,,,,,,,,,,
25-Aug-1987,,,9.01,,9.45,9.9,,,,,,,,,,,,
26-Aug-1987,,,9.04,,9.46,9.91,,,,,,,,,,,,
27-Aug-1987,,,9.09,,9.46,9.91,,,,,,,,,,,,
28-Aug-1987,,,9.09,,9.46,9.9,,,,,,,,,,,,
31-Aug-1987,,,9.08,,9.46,9.91,,,,,,,,,,,,
1-Sep-1987,,,9.11,,9.6,10.04,,,,,,,,,,,,
2-Sep-1987,,,9.1,,9.61,10.03,,,,,,,,,,,,
3-Sep-1987,,,9.09,,9.61,10.03,,,,,,,,,,,,
4-Sep-1987,,,9.11,,9.63,10.04,,,,,,,,,,,,
7-Sep-1987,,,9.11,,9.66,10.05,,,,,,,,,,,,
8-Sep-1987,,,9.11,,9.68,10.05,,,,,,,,,,,,
9-Sep-1987,,,9.11,,9.68,10.06,,,,,,,,,,,,
10-Sep-1987,,,9.11,,9.63,10.08,,,,,,,,,,,,
11-Sep-1987,,,9.11,,9.63,10.06,,,,,,,,,,,,
14-Sep-1987,,,9.11,,9.63,10.09,,,,,,,,,,,,
15-Sep-1987,,,9.11,,9.63,10.09,,,,,,,,,,,,
16-Sep-1987,,,9.11,,9.62,10.08,,,,,,,,,,,,
17-Sep-1987,,,9.11,,9.59,10.08,,,,,,,,,,,,
18-Sep-1987,,,9.1,,9.58,10.08,,,,,,,,,,,,
21-Sep-1987,,,9.12,,9.6,10.08,,,,,,,,,,,,
22-Sep-1987,,,9.13,,9.61,10.09,,,,,,,,,,,,
23-Sep-1987,,,9.14,,9.62,10.09,,,,,,,,,,,,
24-Sep-1987,,,9.14,,9.62,10.09,,,,,,,,,,,,
25-Sep-1987,,,9.14,,9.62,10.09,,,,,,,,,,,,
28-Sep-1987,,8.76,9.14,,9.62,10.09,,,,,,,,,,,,
29-Sep-1987,,8.68,9.15,,9.62,10.1,,,,,,,,,,,,
