,SDSW1    Curncy,SDSW10   Curncy,SDSW12   Curncy,SDSW15   Curncy,SDSW1F   Curncy,SDSW2    Curncy,SDSW20   Curncy,SDSW3    Curncy,SDSW30   Curncy,SDSW4    Curncy,SDSW5    Curncy,SDSW7    Curncy,SORF1D   Index,SORF1M   Index,SORF3M   Index,SORF6M   Index
1994-08-02,4.89,,,,,5.13,,5.3,,5.45,5.63,5.63,,,,
1994-08-03,5.07,,,,,5.13,,5.3,,5.45,5.63,5.63,,,,
1994-08-10,4.71,,,,,5.14,,5.33,,5.48,5.65,5.65,,,,
1994-08-11,5.04,,,,,5.15,,5.35,,5.5,5.68,5.68,,,,
1994-08-12,4.84,,,,,5.1,,5.3,,5.43,5.53,5.53,,,,
1994-08-15,4.84,,,,,5.1,,5.2,,5.35,5.45,5.45,,,,
1994-08-16,4.8,,,,,5.0,,5.23,,5.35,5.45,5.45,,,,
1994-08-17,4.8,,,,,5.0,,5.23,,5.35,5.45,5.45,,,,
1994-08-18,5.0,,,,,5.0,,5.23,,5.35,5.45,5.45,,,,
1994-08-19,5.2,,,,,5.21,,5.35,,5.48,5.65,5.65,,,,
1994-08-22,5.2,,,,,5.21,,5.35,,5.48,5.75,5.75,,,,
1994-08-23,5.27,,,,,5.3,,5.5,,5.8,6.13,6.13,,,,
1994-08-24,5.25,,,,,5.33,,5.48,,5.68,5.9399999999999995,5.9399999999999995,,,,
1994-08-25,5.23,,,,,5.35,,5.45,,5.55,5.75,5.75,,,,
1994-08-26,5.13,,,,,5.35,,5.45,,5.55,5.75,5.75,,,,
1994-08-29,5.16,,,,,5.28,,5.45,,5.55,5.83,5.83,,,,
1994-08-30,5.19,,,,,5.23,,5.45,,5.53,5.68,5.68,,,,
1994-09-01,5.27,,,,,5.53,,5.58,,5.7,5.85,5.85,,,,
1994-09-02,5.25,,,,,5.21,,5.38,,5.55,5.68,5.68,,,,
1994-09-05,5.3,,,,,5.43,,5.53,,5.63,5.75,5.75,,,,
1994-09-06,5.25,,,,,5.55,,5.7,,5.8,5.95,6.16,,,,
1994-09-07,5.23,,,,,5.53,,5.55,,5.58,5.75,5.85,,,,
1994-09-08,5.23,,,,,5.53,,5.55,,5.58,5.75,5.88,,,,
1994-09-09,5.21,,,,,5.5,,5.55,,5.58,5.7,5.8100000000000005,,,,
1994-09-12,5.32,,,,,5.45,,5.55,,5.63,5.7,5.86,,,,
1994-09-13,5.28,,,,,5.45,,5.55,,5.63,5.7,5.86,,,,
1994-09-14,5.17,,,,,5.45,,5.55,,5.63,5.7,5.86,,,,
1994-09-15,5.06,,,,,5.23,,5.33,,5.53,5.7,6.04,,,,
1994-09-16,5.24,,,,,5.35,,5.45,,5.6,5.68,5.91,,,,
1994-09-19,5.02,,,,,5.28,,5.38,,5.53,5.68,5.95,,,,
1994-09-20,4.95,,,,,5.23,,5.33,,5.53,5.7,6.04,,,,
1994-09-21,5.21,,,,,5.28,,5.33,,5.53,5.63,5.9,,,,
