Date,FIXFLOAT:1Y,FIXFLOAT:10Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:18M,FIXFLOAT:2Y,FIXFLOAT:20Y,FIXFLOAT:3Y,FIXFLOAT:30Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:7Y,DEPOSIT:1D,DEPOSIT:1M,DEPOSIT:3M,DEPOSIT:6M
2-Aug-1994,4.89,,,,,5.13,,5.3,,5.45,5.63,5.63,,,,
3-Aug-1994,5.07,,,,,5.13,,5.3,,5.45,5.63,5.63,,,,
10-Aug-1994,4.71,,,,,5.14,,5.33,,5.48,5.65,5.65,,,,
11-Aug-1994,5.04,,,,,5.15,,5.35,,5.5,5.68,5.68,,,,
12-Aug-1994,4.84,,,,,5.1,,5.3,,5.43,5.53,5.53,,,,
15-Aug-1994,4.84,,,,,5.1,,5.2,,5.35,5.45,5.45,,,,
16-Aug-1994,4.8,,,,,5,,5.23,,5.35,5.45,5.45,,,,
17-Aug-1994,4.8,,,,,5,,5.23,,5.35,5.45,5.45,,,,
18-Aug-1994,5,,,,,5,,5.23,,5.35,5.45,5.45,,,,
19-Aug-1994,5.2,,,,,5.21,,5.35,,5.48,5.65,5.65,,,,
22-Aug-1994,5.2,,,,,5.21,,5.35,,5.48,5.75,5.75,,,,
23-Aug-1994,5.27,,,,,5.3,,5.5,,5.8,6.13,6.13,,,,
24-Aug-1994,5.25,,,,,5.33,,5.48,,5.68,5.94,5.94,,,,
25-Aug-1994,5.23,,,,,5.35,,5.45,,5.55,5.75,5.75,,,,
26-Aug-1994,5.13,,,,,5.35,,5.45,,5.55,5.75,5.75,,,,
29-Aug-1994,5.16,,,,,5.28,,5.45,,5.55,5.83,5.83,,,,
30-Aug-1994,5.19,,,,,5.23,,5.45,,5.53,5.68,5.68,,,,
1-Sep-1994,5.27,,,,,5.53,,5.58,,5.7,5.85,5.85,,,,
2-Sep-1994,5.25,,,,,5.21,,5.38,,5.55,5.68,5.68,,,,
5-Sep-1994,5.3,,,,,5.43,,5.53,,5.63,5.75,5.75,,,,
6-Sep-1994,5.25,,,,,5.55,,5.7,,5.8,5.95,6.16,,,,
7-Sep-1994,5.23,,,,,5.53,,5.55,,5.58,5.75,5.85,,,,
8-Sep-1994,5.23,,,,,5.53,,5.55,,5.58,5.75,5.88,,,,
9-Sep-1994,5.21,,,,,5.5,,5.55,,5.58,5.7,5.81,,,,
12-Sep-1994,5.32,,,,,5.45,,5.55,,5.63,5.7,5.86,,,,
13-Sep-1994,5.28,,,,,5.45,,5.55,,5.63,5.7,5.86,,,,
14-Sep-1994,5.17,,,,,5.45,,5.55,,5.63,5.7,5.86,,,,
15-Sep-1994,5.06,,,,,5.23,,5.33,,5.53,5.7,6.04,,,,
16-Sep-1994,5.24,,,,,5.35,,5.45,,5.6,5.68,5.91,,,,
