,TRLIB1M  Index,TRLIB1W  Index,TRLIB1Y  Index,TRLIB2M  Index,TRLIB3M  Index,TRLIB6M  Index,TRLIB9M  Index,TRLIBON  Index,TYSW10V3 Curncy,TYSW15V3 Curncy,TYSW1V3  Curncy,TYSW20V3 Curncy,TYSW2V3  Curncy,TYSW3V3  Curncy,TYSW4V3  Curncy,TYSW5V3  Curncy,TYSW7V3  Curncy
2002-08-01,52.25,49.9857,74.9429,54.4286,56.0,65.2857,71.0,48.8929,,,,,,,,,
2002-08-02,52.1571,50.0,74.0,54.5714,56.0,63.9714,69.7143,49.0,,,,,,,,,
2002-08-05,50.0,47.8571,70.0,51.2143,53.4286,60.8571,65.5857,47.0857,,,,,,,,,
2002-08-06,50.0,47.7429,70.0,50.8571,53.0,60.0714,65.0,46.8929,,,,,,,,,
2002-08-07,50.0,47.7357,70.0,51.0,52.8286,60.0,65.1429,47.0,,,,,,,,,
2002-08-08,49.8571,47.8571,69.9286,51.0,52.7143,59.8571,64.8571,46.9643,,,,,,,,,
2002-08-09,49.0714,47.6,69.7143,50.7143,52.8286,60.0,65.0,46.9643,,,,,,,,,
2002-08-12,48.8571,47.4286,69.2857,50.0,51.0714,59.1429,64.2143,47.2143,,,68.5,,74.0,77.0,,,
2002-08-13,49.0,47.7857,69.3571,50.0,51.0,59.0,64.0,47.1429,,,66.0,,,,,,
2002-08-14,49.0,47.7857,69.1429,50.0,51.0,59.0,64.0,47.1429,,,,,,,,,
2002-08-15,49.0,47.2143,69.0,49.9286,51.0,58.8214,64.0,46.8571,,,,,,,,,
2002-08-16,48.6714,47.3571,69.0714,50.0,51.0,58.1071,64.0,46.9429,,,,,,,,,
2002-08-19,49.0,47.7143,69.1429,49.9286,51.0,58.9357,64.1429,47.0,,,,,,,,,
2002-08-20,49.0,47.7857,69.0,49.9286,51.0,59.0,64.0,47.0,,,,,,,,,
2002-08-21,49.0,47.7143,69.0,50.0,51.0,59.0,64.0,47.0,,,,,,,,,
2002-08-22,48.7857,47.5714,68.7143,50.0,51.0,58.7714,63.9143,47.0,,,,,73.0,75.0,,,
2002-08-23,49.0,48.0,68.5714,50.0,51.0,59.0571,64.0,47.1429,,,,,,,,,
2002-08-26,48.9714,47.8357,68.0,50.0,51.0,58.2857,63.2857,47.0714,,,66.0,,73.0,75.0,,,
2002-08-27,49.0,47.6071,68.0714,50.0,51.0,58.2,63.1429,47.0714,,,,,,,,,
2002-08-28,49.0286,47.8571,68.0,50.0,51.0,58.5714,63.0571,47.0,,,,,,,,,
2002-08-29,49.0,47.9286,68.0,50.0,51.0,58.5,63.0571,47.7143,,,,,,,,,
2002-09-02,48.8571,47.7143,68.0,50.0,51.0,58.5,63.0,47.6286,,,,,,,,,
2002-09-03,48.9286,47.7143,68.0,50.0,51.0,58.5,63.0,47.3571,,,,,,,,,
2002-09-04,48.4857,47.7143,68.0,49.9143,51.0,58.7143,63.2857,47.3571,,,,,,,,,
2002-09-05,49.0,47.8571,68.0,50.0,51.0,58.9286,63.7143,47.2143,,,,,,,,,
2002-09-06,48.8571,47.7143,68.7143,50.0,51.0,59.0,64.1429,47.1429,,,,,,,,,
2002-09-09,49.5714,47.9286,69.4857,50.9143,51.9571,60.0857,65.3714,47.1286,,,,,,,,,
2002-09-10,49.9167,47.9583,70.7917,51.1875,52.675,61.5917,66.6667,47.5417,,,,,,,,,
2002-09-11,50.0,47.9286,73.1429,51.8429,53.95,63.0,68.3571,47.3571,,,,,,,,,
2002-09-12,50.0,48.0,73.0,51.7929,53.75,63.0,68.0714,47.0,,,,,,,,,
2002-09-13,50.0,48.0429,73.0,51.8129,53.8786,63.0,68.0,47.0286,,,,,,,,,
2002-09-16,50.0,48.0,73.0,51.8714,53.7286,63.0,68.0,47.2143,,,,,,,,,
2002-09-17,50.0,47.9286,72.8571,51.6429,53.05,63.0,68.0,47.0,,,,,,,,,
2002-09-18,50.0,48.0857,72.6286,51.8714,53.6214,63.0,68.0857,47.0143,,,,,,,,,
2002-09-19,50.0,48.0571,73.0,51.8429,53.1,63.0286,68.0,47.0714,,,,,,,,,
2002-09-20,50.0286,48.0,73.0,51.65,53.0714,63.0,68.0,47.0,,,,,,,,,
2002-09-23,50.0,48.0,73.0,51.8,53.0,63.0,68.0,47.0,,,,,,,,,
2002-09-24,50.0,48.0,73.0,51.7143,52.9429,61.8571,68.0,47.2857,,,,,,,,,
2002-09-25,50.0,48.0,73.0,51.8714,52.9429,61.4286,68.0,47.0,,,68.0,,76.0,79.0,,,
2002-09-26,50.0,48.0,72.1429,51.9143,52.9429,61.7286,67.2857,47.0,,,,,,,,,
2002-09-27,50.0,48.0,72.4286,51.8714,52.9429,61.3571,67.7143,47.1429,,,,,,,,,
2002-09-30,50.0,48.1143,72.2143,51.8429,52.9714,61.9286,68.0,47.1429,,,68.0,,76.0,79.0,,,
2002-10-01,50.0,48.0,72.2857,51.8143,53.0,61.9286,67.7857,47.0,,,,,,,,,
2002-10-02,50.0,48.0,72.0,51.8571,53.0429,61.5,67.0714,47.0,,,,,,,,,
2002-10-03,50.0,48.0,72.0,51.7214,52.9,61.8571,67.0,47.1429,,,,,,,,,
2002-10-04,50.0,48.0,72.0,51.2429,52.6857,61.0,67.0,47.1429,,,,,,,,,
