Date,DEPOSIT:1D,DEPOSIT:2D,DEPOSIT:1W,DEPOSIT:1M,DEPOSIT:2M,DEPOSIT:3M,FUTURES:1,FUTURES:2,FUTURES:3,FUTURES:4,FUTURES:5,FUTURES:6,FUTURES:7,FUTURES:8,FIXFLOAT:1Y,FIXFLOAT:2Y,FIXFLOAT:3Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y,FIXFLOAT:10Y,FIXFLOAT:11Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:20Y,FIXFLOAT:25Y,FIXFLOAT:30Y,FIXFLOAT:40Y,FIXFLOAT:50Y
4-Jan-1990,#N/A,#N/A,#N/A,8.3125,8.3125,8.3125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.44,8.58,8.68,8.74,#N/A,8.87,#N/A,#N/A,8.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5-Jan-1990,#N/A,#N/A,#N/A,8.375,8.375,8.375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.43,8.58,8.66,8.74,#N/A,8.87,#N/A,#N/A,8.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8-Jan-1990,#N/A,#N/A,#N/A,8.3125,8.3125,8.3125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.44,8.57,8.67,8.75,#N/A,8.88,#N/A,#N/A,8.94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9-Jan-1990,#N/A,#N/A,#N/A,8.25,8.3125,8.3125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.48,8.6,8.68,8.74,#N/A,8.9,#N/A,#N/A,8.94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-Jan-1990,#N/A,#N/A,#N/A,8.25,8.3125,8.3125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.47,8.58,8.67,8.75,#N/A,8.87,#N/A,#N/A,8.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11-Jan-1990,#N/A,#N/A,#N/A,8.25,8.25,8.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.49,8.61,8.73,8.79,#N/A,8.89,#N/A,#N/A,8.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-Jan-1990,#N/A,#N/A,#N/A,8.25,8.25,8.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.51,8.62,8.75,8.82,#N/A,8.95,#N/A,#N/A,9.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-Jan-1990,#N/A,#N/A,#N/A,8.375,8.4375,8.4375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.67,8.8,8.88,8.95,#N/A,9.06,#N/A,#N/A,9.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-Jan-1990,#N/A,#N/A,#N/A,8.375,8.375,8.4375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.64,8.76,8.86,8.93,#N/A,9.04,#N/A,#N/A,9.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18-Jan-1990,#N/A,#N/A,#N/A,8.375,8.375,8.375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.82,8.95,9.03,9.07,#N/A,9.17,#N/A,#N/A,9.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
