,JIBA1M   Index,JIBA3M   Index,JIBA6M   Index,JIBA9M   Index,RAONON   Index,SASW1    Curncy,SASW10   Curncy,SASW12   Curncy,SASW15   Curncy,SASW2    Curncy,SASW20   Curncy,SASW25   Curncy,SASW3    Curncy,SASW30   Curncy,SASW4    Curncy,SASW5    Curncy,SASW6    Curncy,SASW7    Curncy,SASW8    Curncy,SASW9    Curncy
1/3/1995,,,,,12.75,,,,,,,,,,,,,,,
1/4/1995,,,,,12.75,,,,,,,,,,,,,,,
1/5/1995,,,,,12.75,,,,,,,,,,,,,,,
1/6/1995,,,,,12.75,,,,,,,,,,,,,,,
1/9/1995,,,,,12.11,,,,,,,,,,,,,,,
1/10/1995,,,,,12.11,,,,,,,,,,,,,,,
1/11/1995,,,,,11.84,,,,,,,,,,,,,,,
1/12/1995,,,,,11.57,,,,,,,,,,,,,,,
1/13/1995,,,,,11.42,,,,,,,,,,,,,,,
1/16/1995,,,,,11.2,,,,,,,,,,,,,,,
1/17/1995,,,,,11.19,,,,,,,,,,,,,,,
1/18/1995,,,,,11.15,,,,,,,,,,,,,,,
1/19/1995,,,,,11.15,,,,,,,,,,,,,,,
1/20/1995,,,,,11.14,,,,,,,,,,,,,,,
1/23/1995,,,,,11.12,,,,,,,,,,,,,,,
1/24/1995,,,,,11.12,,,,,,,,,,,,,,,
1/25/1995,,,,,11.12,,,,,,,,,,,,,,,
1/26/1995,,,,,11.21,,,,,,,,,,,,,,,
1/27/1995,,,,,11.51,,,,,,,,,,,,,,,
1/30/1995,,,,,11.57,,,,,,,,,,,,,,,
1/31/1995,,,,,11.84,,,,,,,,,,,,,,,
2/1/1995,,,,,11.92,,,,,,,,,,,,,,,
2/2/1995,,,,,11.73,,,,,,,,,,,,,,,
2/3/1995,,,,,11.72,,,,,,,,,,,,,,,
2/6/1995,,,,,11.65,,,,,,,,,,,,,,,
2/7/1995,,,,,11.65,,,,,,,,,,,,,,,
2/8/1995,,,,,11.34,,,,,,,,,,,,,,,
2/9/1995,,,,,11.33,,,,,,,,,,,,,,,
2/10/1995,,,,,11.3,,,,,,,,,,,,,,,
2/13/1995,,,,,11.29,14.45,,,,15.35,,,15.81,,16.25,16.45,,,,
2/14/1995,,,,,11.38,14.5,,,,15.3,,,15.8,,16.25,16.45,,,,
2/15/1995,,,,,11.38,14.55,,,,15.4,,,15.85,,16.25,16.45,,,,
2/16/1995,,,,,11.38,14.45,,,,15.25,,,15.85,,16.15,16.25,,,,
2/17/1995,,,,,11.38,14.45,,,,15.3,,,15.85,,16.2,16.35,,,,
2/20/1995,,,,,11.4,14.55,,,,15.4,,,15.8,,16.25,16.45,,,,
2/21/1995,,,,,11.73,14.75,,,,15.45,,,15.9,,16.3,16.5,,,,
2/22/1995,,,,,11.74,14.65,,,,15.3,,,15.85,,15.94,16.25,,,,
2/23/1995,,,,,11.74,14.75,,,,15.4,,,15.85,,16.05,16.25,,,,
2/24/1995,,,,,11.74,14.85,,,,15.4,,,15.9,,16.25,16.45,,,,
2/27/1995,,,,,11.83,14.85,,,,15.45,,,15.9,,16.25,16.4,,,,
2/28/1995,,,,,12.22,14.75,,,,15.45,,,15.85,,16.2,16.4,,,,
3/1/1995,,,,,12.33,14.65,,,,15.35,,,15.8,,16.1,16.3,,,,
3/2/1995,,,,,12.27,14.625,,,,15.4,,,15.9,,16.1,16.3,,,,
3/3/1995,,,,,12.09,14.65,,,,15.4,,,15.85,,16.2,16.35,,,,
3/6/1995,,,,,11.87,14.55,,,,15.35,,,15.8,,16.15,16.35,,,,
3/7/1995,,,,,11.91,14.6,,,,15.35,,,15.8,,16.1,16.25,,,,
3/8/1995,,,,,11.9,14.6,,,,15.35,,,15.85,,16.15,16.3,,,,
3/9/1995,,,,,11.69,14.65,,,,15.35,,,15.75,,16.2,16.35,,,,
3/10/1995,,,,,11.69,14.65,,,,15.35,,,15.75,,16.15,16.35,,,,
3/13/1995,,,,,11.68,14.8,,,,15.4,,,15.75,,16.1,16.25,,,,
3/14/1995,,,,,11.92,14.7,,,,15.4,,,15.8,,16.1,16.3,,,,
3/15/1995,,,,,11.93,14.65,,,,15.25,,,15.65,,15.9,16,,,,
3/16/1995,,,,,12.03,14.625,,,,15.3,,,15.75,,16,16.15,,,,
3/17/1995,,,,,12.04,14.525,,,,15.3,,,15.65,,15.9,16,,,,
3/20/1995,,,,,12.04,14.6,,,,15.3,,,15.7,,15.95,16.1,,,,
3/22/1995,,,,,12.04,14.65,,,,15.25,,,15.65,,15.975,16.05,,,,
3/23/1995,,,,,12.06,14.6,,,,15.2,,,15.6,,15.9,16.1,,,,
3/24/1995,,,,,12.07,14.6,,,,15.15,,,15.5,,15.85,16.05,,,,
3/27/1995,,,,,12.13,,,,,,,,,,,,,,,
3/28/1995,,,,,12.23,14.65,,,,15.25,,,15.65,,15.9,16.05,,,,
3/29/1995,,,,,12.36,,,,,,,,,,,,,,,
3/30/1995,,,,,12.49,14.3,,,,14.95,,,15.45,,15.75,16,,,,
3/31/1995,,,,,12.5,,,,,,,,,,,,,,,
4/3/1995,,,,,12.27,14.45,,,,15.05,,,15.5,,15.8,16,,,,
4/4/1995,,,,,12.16,14.4,,,,15,,,15.45,,15.8,16.1,,,,
4/5/1995,,,,,12.15,,,,,,,,,,,,,,,
4/6/1995,,,,,12.25,14.4,,,,14.95,,,15.35,,15.7,16,,,,
4/7/1995,,,,,12.27,14.45,,,,15,,,15.4,,15.7,16,,,,
4/10/1995,,,,,12.26,14.45,,,,15,,,15.45,,15.75,16.05,,,,
4/11/1995,,,,,12.26,14.4,,,,15,,,15.4,,15.75,16.05,,,,
4/12/1995,,,,,12.27,14.35,,,,14.9,,,15.4,,15.7,16,,,,
4/13/1995,,,,,12.7,,,,,,,,,,,,,,,
4/18/1995,,,,,12.97,14.5,,,,15.05,,,15.45,,15.75,16.05,,,,
4/19/1995,,,,,13.24,14.55,,,,15.1,,,15.5,,15.8,16.1,,,,
4/20/1995,,,,,13.26,14.65,,,,15.2,,,15.55,,15.85,16.05,,,,
4/21/1995,,,,,13.27,14.65,,,,15.05,,,15.55,,15.85,16.05,,,,
4/24/1995,,,,,13.26,14.6,,,,15.2,,,15.6,,15.9,16.1,,,,
4/25/1995,,,,,13.26,14.65,,,,15.25,,,15.7,,15.95,16.15,,,,
4/26/1995,,,,,13.52,14.7,,,,15.35,,,15.8,,16.05,16.25,,,,
4/28/1995,,,,,14,14.8,,,,15.5,,,15.95,,16.2,16.4,,,,
5/2/1995,,,,,14,14.95,,,,15.7,,,16.1,,16.35,16.5,,,,
5/3/1995,,,,,13.81,15,,,,15.7,,,16.15,,16.35,16.5,,,,
5/4/1995,,,,,13.28,15,,,,15.65,,,16.15,,16.25,16.5,,,,
5/5/1995,,,,,12.9,14.95,,,,15.65,,,16.1,,16.3,16.45,,,,
5/8/1995,,,,,12.89,14.85,,,,15.65,,,16,,16.3,16.45,,,,
5/9/1995,,,,,12.91,,,,,,,,,,,,,,,
5/10/1995,,,,,12.99,14.85,,,,15.55,,,16.05,,16.3,16.45,,,,
5/11/1995,,,,,12.99,,,,,,,,,,,,,,,
5/12/1995,,,,,12.97,14.9,,,,15.6,,,16.1,,16.25,16.4,,,,
5/15/1995,,,,,12.97,15,,,,15.65,,,16,,16.3,16.45,,,,
5/16/1995,,,,,12.98,15,,,,15.65,,,16,,16.3,16.45,,,,
5/17/1995,,,,,13,14.9,,,,15.4,,,16.05,,16.2,16.35,,,,
5/18/1995,,,,,12.84,15,,,,15.55,,,16.1,,16.3,16.45,,,,
5/19/1995,,,,,13,15.05,,,,15.65,,,16.15,,16.3,16.5,,,,
5/22/1995,,,,,13.01,15.05,,,,15.65,,,16.15,,16.4,16.5,,,,
5/23/1995,,,,,13.01,15.1,,,,15.65,,,16.15,,16.4,16.5,,,,
5/24/1995,,,,,13.01,15.15,,,,15.75,,,16.25,,16.4,16.55,,,,
5/25/1995,,,,,13.27,,,,,,,,,,,,,,,
5/26/1995,,,,,13.26,15.25,,,,15.8,,,16.35,,16.55,16.65,,,,
5/29/1995,,,,,13.26,15.4,,,,15.95,,,16.5,,16.65,16.75,,,,
5/30/1995,,,,,13.5,15.35,,,,16,,,16.45,,16.6,16.7,,,,
5/31/1995,,,,,13.5,15.35,,,,15.9,,,16.35,,16.5,16.6,,,,
6/1/1995,,,,,13.5,15.35,,,,15.9,,,16.35,,16.5,16.65,,,,
6/2/1995,,,,,12.78,,,,,,,,,,,,,,,
6/5/1995,,,,,12.78,15.4,,,,15.75,,,16.2,,16.35,16.45,,,,
6/6/1995,,,,,12.81,15.3,,,,15.75,,,16.2,,16.35,16.45,,,,
6/7/1995,,,,,12.78,15.3,,,,15.75,,,16.2,,16.35,16.45,,,,
