Date,DEPOSIT:1M,DEPOSIT:3M,DEPOSIT:6M,DEPOSIT:9M,DEPOSIT:1D,FIXFLOAT:1Y,FIXFLOAT:10Y,FIXFLOAT:12Y,FIXFLOAT:15Y,FIXFLOAT:2Y,FIXFLOAT:20Y,FIXFLOAT:25Y,FIXFLOAT:3Y,FIXFLOAT:30Y,FIXFLOAT:4Y,FIXFLOAT:5Y,FIXFLOAT:6Y,FIXFLOAT:7Y,FIXFLOAT:8Y,FIXFLOAT:9Y
3-Jan-1995,,,,,12.75,,,,,,,,,,,,,,,
4-Jan-1995,,,,,12.75,,,,,,,,,,,,,,,
5-Jan-1995,,,,,12.75,,,,,,,,,,,,,,,
6-Jan-1995,,,,,12.75,,,,,,,,,,,,,,,
9-Jan-1995,,,,,12.11,,,,,,,,,,,,,,,
10-Jan-1995,,,,,12.11,,,,,,,,,,,,,,,
11-Jan-1995,,,,,11.84,,,,,,,,,,,,,,,
12-Jan-1995,,,,,11.57,,,,,,,,,,,,,,,
13-Jan-1995,,,,,11.42,,,,,,,,,,,,,,,
16-Jan-1995,,,,,11.2,,,,,,,,,,,,,,,
17-Jan-1995,,,,,11.19,,,,,,,,,,,,,,,
18-Jan-1995,,,,,11.15,,,,,,,,,,,,,,,
19-Jan-1995,,,,,11.15,,,,,,,,,,,,,,,
20-Jan-1995,,,,,11.14,,,,,,,,,,,,,,,
23-Jan-1995,,,,,11.12,,,,,,,,,,,,,,,
24-Jan-1995,,,,,11.12,,,,,,,,,,,,,,,
25-Jan-1995,,,,,11.12,,,,,,,,,,,,,,,
26-Jan-1995,,,,,11.21,,,,,,,,,,,,,,,
27-Jan-1995,,,,,11.51,,,,,,,,,,,,,,,
30-Jan-1995,,,,,11.57,,,,,,,,,,,,,,,
31-Jan-1995,,,,,11.84,,,,,,,,,,,,,,,
1-Feb-1995,,,,,11.92,,,,,,,,,,,,,,,
2-Feb-1995,,,,,11.73,,,,,,,,,,,,,,,
3-Feb-1995,,,,,11.72,,,,,,,,,,,,,,,
6-Feb-1995,,,,,11.65,,,,,,,,,,,,,,,
7-Feb-1995,,,,,11.65,,,,,,,,,,,,,,,
8-Feb-1995,,,,,11.34,,,,,,,,,,,,,,,
9-Feb-1995,,,,,11.33,,,,,,,,,,,,,,,
10-Feb-1995,,,,,11.3,,,,,,,,,,,,,,,
13-Feb-1995,,,,,11.29,14.45,,,,15.35,,,15.81,,16.25,16.45,,,,
14-Feb-1995,,,,,11.38,14.5,,,,15.3,,,15.8,,16.25,16.45,,,,
15-Feb-1995,,,,,11.38,14.55,,,,15.4,,,15.85,,16.25,16.45,,,,
16-Feb-1995,,,,,11.38,14.45,,,,15.25,,,15.85,,16.15,16.25,,,,
17-Feb-1995,,,,,11.38,14.45,,,,15.3,,,15.85,,16.2,16.35,,,,
20-Feb-1995,,,,,11.4,14.55,,,,15.4,,,15.8,,16.25,16.45,,,,
21-Feb-1995,,,,,11.73,14.75,,,,15.45,,,15.9,,16.3,16.5,,,,
22-Feb-1995,,,,,11.74,14.65,,,,15.3,,,15.85,,15.94,16.25,,,,
23-Feb-1995,,,,,11.74,14.75,,,,15.4,,,15.85,,16.05,16.25,,,,
24-Feb-1995,,,,,11.74,14.85,,,,15.4,,,15.9,,16.25,16.45,,,,
27-Feb-1995,,,,,11.83,14.85,,,,15.45,,,15.9,,16.25,16.4,,,,
28-Feb-1995,,,,,12.22,14.75,,,,15.45,,,15.85,,16.2,16.4,,,,
1-Mar-1995,,,,,12.33,14.65,,,,15.35,,,15.8,,16.1,16.3,,,,
2-Mar-1995,,,,,12.27,14.625,,,,15.4,,,15.9,,16.1,16.3,,,,
3-Mar-1995,,,,,12.09,14.65,,,,15.4,,,15.85,,16.2,16.35,,,,
6-Mar-1995,,,,,11.87,14.55,,,,15.35,,,15.8,,16.15,16.35,,,,
7-Mar-1995,,,,,11.91,14.6,,,,15.35,,,15.8,,16.1,16.25,,,,
8-Mar-1995,,,,,11.9,14.6,,,,15.35,,,15.85,,16.15,16.3,,,,
9-Mar-1995,,,,,11.69,14.65,,,,15.35,,,15.75,,16.2,16.35,,,,
10-Mar-1995,,,,,11.69,14.65,,,,15.35,,,15.75,,16.15,16.35,,,,
13-Mar-1995,,,,,11.68,14.8,,,,15.4,,,15.75,,16.1,16.25,,,,
14-Mar-1995,,,,,11.92,14.7,,,,15.4,,,15.8,,16.1,16.3,,,,
15-Mar-1995,,,,,11.93,14.65,,,,15.25,,,15.65,,15.9,16,,,,
16-Mar-1995,,,,,12.03,14.625,,,,15.3,,,15.75,,16,16.15,,,,
17-Mar-1995,,,,,12.04,14.525,,,,15.3,,,15.65,,15.9,16,,,,
20-Mar-1995,,,,,12.04,14.6,,,,15.3,,,15.7,,15.95,16.1,,,,
22-Mar-1995,,,,,12.04,14.65,,,,15.25,,,15.65,,15.975,16.05,,,,
23-Mar-1995,,,,,12.06,14.6,,,,15.2,,,15.6,,15.9,16.1,,,,
24-Mar-1995,,,,,12.07,14.6,,,,15.15,,,15.5,,15.85,16.05,,,,
27-Mar-1995,,,,,12.13,,,,,,,,,,,,,,,
28-Mar-1995,,,,,12.23,14.65,,,,15.25,,,15.65,,15.9,16.05,,,,
29-Mar-1995,,,,,12.36,,,,,,,,,,,,,,,
30-Mar-1995,,,,,12.49,14.3,,,,14.95,,,15.45,,15.75,16,,,,
31-Mar-1995,,,,,12.5,,,,,,,,,,,,,,,
3-Apr-1995,,,,,12.27,14.45,,,,15.05,,,15.5,,15.8,16,,,,
4-Apr-1995,,,,,12.16,14.4,,,,15,,,15.45,,15.8,16.1,,,,
5-Apr-1995,,,,,12.15,,,,,,,,,,,,,,,
6-Apr-1995,,,,,12.25,14.4,,,,14.95,,,15.35,,15.7,16,,,,
7-Apr-1995,,,,,12.27,14.45,,,,15,,,15.4,,15.7,16,,,,
10-Apr-1995,,,,,12.26,14.45,,,,15,,,15.45,,15.75,16.05,,,,
11-Apr-1995,,,,,12.26,14.4,,,,15,,,15.4,,15.75,16.05,,,,
12-Apr-1995,,,,,12.27,14.35,,,,14.9,,,15.4,,15.7,16,,,,
13-Apr-1995,,,,,12.7,,,,,,,,,,,,,,,
18-Apr-1995,,,,,12.97,14.5,,,,15.05,,,15.45,,15.75,16.05,,,,
