DATE,TOK,EWJ,HYG,LQD,EMD,GSG,BWX
16-Jan,-0.06070,-0.10260,-0.04200,0.00280,-0.01440,-0.02080,0.04420
15-Dec,-0.05430,-0.05120,-0.01600,0.00120,0.00040,-0.05270,0.00290
15-Nov,-0.01770,-0.01380,-0.01990,-0.01090,-0.02410,-0.08250,0.01180
15-Oct,-0.00700,0.00490,-0.02500,-0.00150,-0.00100,-0.09140,-0.02410
15-Sep,0.07690,0.07850,0.03240,0.00570,0.01970,-0.00060,0.00420
15-Aug,-0.04070,-0.05740,-0.03000,0.01190,-0.01490,-0.06000,0.00500
15-Jul,-0.06940,-0.06310,-0.01520,-0.00820,-0.01500,0.00280,-0.00190
15-Jun,0.02340,0.00940,-0.00490,0.00830,-0.00240,-0.14160,-0.00210
15-May,-0.02180,-0.01320,-0.01890,-0.01880,-0.02180,-0.00240,-0.00740
15-Apr,0.01010,0.01500,0.00360,-0.01120,-0.00660,-0.02170,-0.03230
15-Mar,0.01700,0.02580,0.00870,-0.01190,0.00890,0.10920,0.01960
15-Feb,-0.01490,0.01480,-0.00940,0.00200,-0.00290,-0.06560,-0.01390
15-Jan,0.05720,0.07490,0.02220,-0.01420,0.00620,0.05940,-0.01080
14-Dec,-0.02030,0.02250,0.00710,0.03750,0.01870,-0.08710,-0.01570
14-Nov,-0.01870,-0.02720,-0.00810,-0.00020,-0.03590,-0.13750,-0.01070
14-Oct,0.02390,-0.03630,-0.01080,0.00910,-0.00770,-0.10100,-0.01340
14-Sep,0.00710,0.02420,0.01070,0.01230,0.01620,-0.05950,-0.00250
14-Aug,-0.03080,-0.00260,-0.01980,-0.01670,-0.02400,-0.06060,-0.04340
14-Jul,0.03750,-0.01610,0.02370,0.02000,0.00920,-0.01560,0.00240
14-Jun,-0.03780,-0.00340,-0.02430,-0.00320,-0.00600,-0.05660,-0.01360
14-May,0.02420,0.04690,0.00610,0.00000,-0.00310,0.02380,0.01590
14-Apr,0.01980,0.04440,0.01210,0.01520,0.03080,-0.00510,0.00150
14-Mar,0.01420,-0.02170,0.00420,0.01320,0.00670,0.01000,0.01010
14-Feb,0.00920,-0.02390,-0.00080,-0.00030,0.00800,-0.00060,0.00310
14-Jan,0.04120,0.02440,0.02310,0.01140,0.03040,0.04800,0.02230
13-Dec,-0.03190,-0.06670,0.00400,0.01890,-0.00810,-0.02210,0.00460
