,1D,1Y,1W,2Y,2W,3Y,4Y,5Y,1M,2M,3M,4M,5M,6M,9M
1997-08-12,3.25,,,,,,,,,,,,,,
1997-08-18,3.3,,,,,,,,,,,,,,
1997-08-19,3.26,,,,,,,,,,,,,,
1997-08-20,3.3449999999999998,,,,,,,,,,,,,,
1997-08-21,3.385,,,,,,,,,,,,,,
1997-08-22,3.265,,,,,,,,,,,,,,
1997-08-25,3.336,,,,,,,,,,,,,,
1997-08-26,3.267,,,,,,,,,,,,,,
1997-08-27,3.307,,,,,,,,,,,,,,
1997-08-28,3.4615,,,,,,,,,,,,,,
1997-09-02,3.4426,,,,,,,,,,,,,,
1997-09-03,3.282,,,,,,,,,,,,,,
1997-09-04,3.3477,,,,,,,,,,,,,,
1997-09-05,3.25,,,,,,,,,,,,,,
1997-09-08,3.2702,,,,,,,,,,,,,,
1997-09-09,3.289,,,,,,,,,,,,,,
1997-09-10,3.273,,,,,,,,,,,,,,
1997-09-11,3.34,,,,,,,,,,,,,,
1997-09-12,3.2769,,,,,,,,,,,,,,
1997-09-15,3.4569,,,,,,,,,,,,,,
1997-09-16,3.243,,,,,,,,,,,,,,
1997-09-17,3.2392,,,,,,,,,,,,,,
1997-09-18,3.3599,,,,,,,,,,,,,,
1997-09-19,3.2348,,,,,,,,,,,,,,
1997-09-22,3.2395,,,,,,,,,,,,,,
1997-09-23,3.2664,,,,,,,,,,,,,,
1997-09-24,3.268,,,,,,,,,,,,,,
1997-09-25,3.3013,,,,,,,,,,,,,,
1997-09-26,3.3009,,,,,,,,,,,,,,
1997-09-29,3.3785,,,,,,,,,,,,,,
1997-09-30,3.5979,,,,,,,,,,,,,,
1997-10-01,3.5985,,,,,,,,,,,,,,
1997-10-02,3.6447000000000003,,,,,,,,,,,,,,
1997-10-03,3.527,,,,,,,,,,,,,,
1997-10-06,3.5351,,,,,,,,,,,,,,
1997-10-07,3.4962,,,,,,,,,,,,,,
1997-10-08,3.52,,,,,,,,,,,,,,
1997-10-09,3.6066000000000003,,,,,,,,,,,,,,
1997-10-10,3.49,,,,,,,,,,,,,,
1997-10-14,3.5465999999999998,,,,,,,,,,,,,,
1997-10-15,3.7048,,,,,,,,,,,,,,
1997-10-16,3.65,,,,,,,,,,,,,,
1997-10-17,3.535,,,,,,,,,,,,,,
1997-10-20,3.6066000000000003,,,,,,,,,,,,,,
1997-10-21,3.52,,,,,,,,,,,,,,
1997-10-22,3.5616,,,,,,,,,,,,,,
1997-10-23,3.6042,,,,,,,,,,,,,,
1997-10-24,3.5789999999999997,,,,,,,,,,,,,,
1997-10-27,3.6261,,,,,,,,,,,,,,
1997-10-28,3.6208,,,,,,,,,,,,,,
1997-10-29,3.6045,,,,,,,,,,,,,,
1997-10-30,3.7177,,,,,,,,,,,,,,
1997-10-31,3.8169,,,,,,,,,,,,,,
1997-11-03,3.718,,,,,,,,,,,,,,
1997-11-04,3.6869,,,,,,,,,,,,,,
1997-11-05,3.5794,,,,,,,,,,,,,,
1997-11-06,3.5603,,,,,,,,,,,,,,
1997-11-07,3.4021,,,,,,,,,,,,,,
1997-11-10,3.4986,,,,,,,,,,,,,,
1997-11-12,3.515,,,,,,,,,,,,,,
1997-11-13,3.6414999999999997,,,,,,,,,,,,,,
1997-11-14,3.5686999999999998,,,,,,,,,,,,,,
1997-11-17,3.5443,,,,,,,,,,,,,,
1997-11-18,3.5436,,,,,,,,,,,,,,
1997-11-19,3.501,,,,,,,,,,,,,,
1997-11-20,3.5763,,,,,,,,,,,,,,
1997-11-21,3.515,,,,,,,,,,,,,,
1997-11-24,3.5108,,,,,,,,,,,,,,
1997-11-25,3.7818,,,,,,,,,,,,,,
1997-11-26,3.8858,,,,,,,,,,,,,,
1997-11-27,3.9148,,,,,,,,,,,,,,
1997-11-28,3.9699999999999998,,,,,,,,,,,,,,
1997-12-01,4.0168,,,,,,,,,,,,,,
1997-12-02,3.843,,,,,,,,,,,,,,
1997-12-03,3.7805999999999997,,,,,,,,,,,,,,
1997-12-04,3.7907,,,,,,,,,,,,,,
1997-12-05,3.7717,,,,,,,,,,,,,,
1997-12-08,3.7669,,,,,,,,,,,,,,
1997-12-09,3.7331,,,,,,,,,,,,,,
1997-12-10,3.7428,,,,,,,,,,,,,,
1997-12-11,3.81,,,,,,,,,,,,,,
1997-12-12,4.2499,,,,,,,,,,,,,,
1997-12-15,4.31,,,,,,,,,,,,,,
1997-12-16,4.31,,,,,,,,,,,,,,
1997-12-17,4.17,,,,,,,,,,,,,,
1997-12-18,4.41,,,,,,,,,,,,,,
1997-12-19,4.4,,,,,,,,,,,,,,
1997-12-23,4.4879999999999995,,,,,,,,,,,,,,
1997-12-24,4.45,,,,,,,,,,,,,,
1997-12-29,4.3339,,,,,,,,,,,,,,
1997-12-30,4.3324,,,,,,,,,,,,,,
1997-12-31,4.37,,,,,,,,,,,,,,
1998-01-02,4.368,,,,,,,,,,,,,,
1998-01-05,4.3629999999999995,,,,,,,,,,,,,,
1998-01-06,4.3449,,,,,,,,,,,,,,
1998-01-07,4.2884,,,,,,,,,,,,,,
1998-01-08,4.1081,,,,,,,,,,,,,,
1998-01-09,4.3241,,,,,,,,,,,,,,
1998-01-12,3.0727,,,,,,,,,,,,,,
1998-01-13,4.3216,,,,,,,,,,,,,,
1998-01-14,4.3662,,,,,,,,,,,,,,
1998-01-15,4.3164,,,,,,,,,,,,,,
1998-01-16,4.3361,,,,,,,,,,,,,,
1998-01-19,4.2942,,,,,,,,,,,,,,
1998-01-20,4.2054,,,,,,,,,,,,,,
1998-01-21,4.2892,,,,,,,,,,,,,,
1998-01-22,4.3326,,,,,,,,,,,,,,
1998-01-23,4.33,,,,,,,,,,,,,,
1998-01-26,4.35,,,,,,,,,,,,,,
1998-01-27,4.3478,,,,,,,,,,,,,,
1998-01-28,4.3865,,,,,,,,,,,,,,
1998-01-29,4.4045,,,,,,,,,,,,,,
1998-01-30,4.911,,,,,,,,,,,,,,
1998-02-02,4.9266,,,,,,,,,,,,,,
1998-02-03,4.7864,,,,,,,,,,,,,,
1998-02-04,4.8192,,,,,,,,,,,,,,
1998-02-05,4.8583,,,,,,,,,,,,,,
1998-02-06,4.7487,,,,,,,,,,,,,,
1998-02-09,4.72,,,,,,,,,,,,,,
1998-02-10,4.7155000000000005,,,,,,,,,,,,,,
1998-02-11,4.7166,,,,,,,,,,,,,,
1998-02-12,4.7415,,,,,,,,,,,,,,
1998-02-13,4.84,,,,,,,,,,,,,,
1998-02-16,4.7893,,,,,,,,,,,,,,
1998-02-17,4.7426,,,,,,,,,,,,,,
1998-02-18,4.7463999999999995,,,,,,,,,,,,,,
1998-02-19,4.8105,,,,,,,,,,,,,,
1998-02-20,4.75,,,,,,,,,,,,,,
1998-02-23,4.7029,,,,,,,,,,,,,,
1998-02-24,4.7286,,,,,,,,,,,,,,
1998-02-25,4.7476,,,,,,,,,,,,,,
1998-02-26,4.8,,,,,,,,,,,,,,
1998-02-27,5.1114,,,,,,,,,,,,,,
1998-03-02,4.9353,,,,,,,,,,,,,,
1998-03-03,4.8067,,,,,,,,,,,,,,
1998-03-04,4.6911000000000005,,,,,,,,,,,,,,
1998-03-05,4.76,,,,,,,,,,,,,,
1998-03-06,4.6395,,,,,,,,,,,,,,
1998-03-09,4.7776,,,,,,,,,,,,,,
1998-03-10,4.73,,,,,,,,,,,,,,
1998-03-11,4.7,,,,,,,,,,,,,,
1998-03-12,4.7284,,,,,,,,,,,,,,
1998-03-13,4.8284,,,,,,,,,,,,,,
1998-03-16,4.9058,,,,,,,,,,,,,,
1998-03-17,4.6671,,,,,,,,,,,,,,
1998-03-18,4.6842,,,,,,,,,,,,,,
1998-03-19,4.7756,,,,,,,,,,,,,,
1998-03-20,4.6894,,,,,,,,,,,,,,
1998-03-23,4.6873000000000005,,,,,,,,,,,,,,
1998-03-24,4.6061,,,,,,,,,,,,,,
1998-03-25,4.6899999999999995,,,,,,,,,,,,,,
1998-03-26,4.7389,,,,,,,,,,,,,,
1998-03-27,4.8197,,,,,,,,,,,,,,
1998-03-30,4.8412,,,,,,,,,,,,,,
1998-03-31,4.9435,,,,,,,,,,,,,,
1998-04-01,4.6899999999999995,,,,,,,,,,,,,,
1998-04-02,4.8,,,,,,,,,,,,,,
1998-04-03,4.76,,,,,,,,,,,,,,
1998-04-06,4.77,,,,,,,,,,,,,,
1998-04-07,4.77,,,,,,,,,,,,,,
1998-04-08,4.77,,,,,,,,,,,,,,
1998-04-13,4.75,,,,,,,,,,,,,,
1998-04-14,4.79,,,,,,,,,,,,,,
1998-04-15,4.9,,,,,,,,,,,,,,
1998-04-16,4.84,,,,,,,,,,,,,,
1998-04-17,4.77,,,,,,,,,,,,,,
1998-04-20,4.77,,,,,,,,,,,,,,
1998-04-21,4.75,,,,,,,,,,,,,,
1998-04-22,4.75,,,,,,,,,,,,,,
1998-04-23,4.76,,,,,,,,,,,,,,
1998-04-24,4.79,,,,,,,,,,,,,,
1998-04-27,4.78,,,,,,,,,,,,,,
1998-04-28,4.8,,,,,,,,,,,,,,
1998-04-30,4.9,,,,,,,,,,,,,,
1998-05-01,4.7823,,,,,,,,,,,,,,
1998-05-04,4.5237,,,,,,,,,,,,,,
1998-05-05,4.7715,,,,,,,,,,,,,,
1998-05-06,4.7745999999999995,,,,,,,,,,,,,,
1998-05-07,4.7735,,,,,,,,,,,,,,
1998-05-08,4.7696,,,,,,,,,,,,,,
1998-05-11,4.75,,,,,,,,,,,,,,
1998-05-12,4.7663,,,,,,,,,,,,,,
1998-05-13,4.7823,,,,,,,,,,,,,,
1998-05-14,4.8858,,,,,,,,,,,,,,
1998-05-15,4.88,,,,,,,,,,,,,,
1998-05-19,4.7642,,,,,,,,,,,,,,
1998-05-20,4.77,,,,,,,,,,,,,,
1998-05-21,4.7488,,,,,,,,,,,,,,
1998-05-22,4.624,,,,,,,,,,,,,,
1998-05-25,4.7366,,,,,,,,,,,,,,
1998-05-26,4.8,,,,,,,,,,,,,,
1998-05-27,4.5222,,,,,,,,,,,,,,
1998-05-28,4.8839,,,,,,,,,,,,,,
1998-05-29,4.8976,,,,,,,,,,,,,,
1998-06-01,4.8806,,,,,,,,,,,,,,
1998-06-02,4.4815,,,,,,,,,,,,,,
1998-06-03,4.4734,,,,,,,,,,,,,,
1998-06-04,4.4151,,,,,,,,,,,,,,
1998-06-05,4.7177,,,,,,,,,,,,,,
1998-06-08,4.7323,,,,,,,,,,,,,,
1998-06-09,4.7672,,,,,,,,,,,,,,
1998-06-10,4.7831,,,,,,,,,,,,,,
1998-06-11,4.85,,,,,,,,,,,,,,
1998-06-12,4.7946,,,,,,,,,,,,,,
1998-06-15,4.8181,,,,,,,,,,,,,,
1998-06-16,4.7603,,,,,,,,,,,,,,
1998-06-17,4.7777,,,,,,,,,,,,,,
1998-06-18,4.7575,,,,,,,,,,,,,,
1998-06-19,4.7674,,,,,,,,,,,,,,
1998-06-22,4.779,,,,,,,,,,,,,,
1998-06-23,4.798,,,,,,,,,,,,,,
1998-06-24,4.7751,,,,,,,,,,,,,,
1998-06-25,4.9058,,,,,,,,,,,,,,
1998-06-26,4.7915,,,,,,,,,,,,,,
1998-06-29,4.8566,,,,,,,,,,,,,,
1998-06-30,4.9821,,,,,,,,,,,,,,
1998-07-02,4.8833,,,,,,,,,,,,,,
1998-07-03,4.8387,,,,,,,,,,,,,,
1998-07-06,4.8047,,,,,,,,,,,,,,
1998-07-07,4.781,,,,,,,,,,,,,,
1998-07-08,4.6854,,,,,,,,,,,,,,
1998-07-09,4.7311,,,,,,,,,,,,,,
1998-07-10,4.7695,,,,,,,,,,,,,,
1998-07-13,4.7755,,,,,,,,,,,,,,
1998-07-14,4.7315000000000005,,,,,,,,,,,,,,
1998-07-15,4.8185,,,,,,,,,,,,,,
1998-07-16,4.7491,,,,,,,,,,,,,,
1998-07-17,4.7463999999999995,,,,,,,,,,,,,,
1998-07-20,4.7542,,,,,,,,,,,,,,
1998-07-21,4.7052,,,,,,,,,,,,,,
1998-07-22,4.7432,,,,,,,,,,,,,,
1998-07-23,4.8349,,,,,,,,,,,,,,
1998-07-24,4.759,,,,,,,,,,,,,,
1998-07-27,4.7965,,,,,,,,,,,,,,
