Date,OvernightDeposit:1D,OIS:1Y,OIS:1W,OIS:2Y,OIS:2W,OIS:3Y,OIS:4Y,OIS:5Y,OIS:1M,OIS:2M,OIS:3M,OIS:4M,OIS:5M,OIS:6M,OIS:9M
12-Aug-1997,3.25,,,,,,,,,,,,,,
18-Aug-1997,3.3,,,,,,,,,,,,,,
19-Aug-1997,3.26,,,,,,,,,,,,,,
20-Aug-1997,3.345,,,,,,,,,,,,,,
21-Aug-1997,3.385,,,,,,,,,,,,,,
22-Aug-1997,3.265,,,,,,,,,,,,,,
25-Aug-1997,3.336,,,,,,,,,,,,,,
26-Aug-1997,3.267,,,,,,,,,,,,,,
27-Aug-1997,3.307,,,,,,,,,,,,,,
28-Aug-1997,3.4615,,,,,,,,,,,,,,
2-Sep-1997,3.4426,,,,,,,,,,,,,,
3-Sep-1997,3.282,,,,,,,,,,,,,,
4-Sep-1997,3.3477,,,,,,,,,,,,,,
5-Sep-1997,3.25,,,,,,,,,,,,,,
8-Sep-1997,3.2702,,,,,,,,,,,,,,
9-Sep-1997,3.289,,,,,,,,,,,,,,
10-Sep-1997,3.273,,,,,,,,,,,,,,
11-Sep-1997,3.34,,,,,,,,,,,,,,
12-Sep-1997,3.2769,,,,,,,,,,,,,,
15-Sep-1997,3.4569,,,,,,,,,,,,,,
16-Sep-1997,3.243,,,,,,,,,,,,,,
17-Sep-1997,3.2392,,,,,,,,,,,,,,
18-Sep-1997,3.3599,,,,,,,,,,,,,,
19-Sep-1997,3.2348,,,,,,,,,,,,,,
22-Sep-1997,3.2395,,,,,,,,,,,,,,
23-Sep-1997,3.2664,,,,,,,,,,,,,,
24-Sep-1997,3.268,,,,,,,,,,,,,,
25-Sep-1997,3.3013,,,,,,,,,,,,,,
26-Sep-1997,3.3009,,,,,,,,,,,,,,
29-Sep-1997,3.3785,,,,,,,,,,,,,,
30-Sep-1997,3.5979,,,,,,,,,,,,,,
1-Oct-1997,3.5985,,,,,,,,,,,,,,
2-Oct-1997,3.6447,,,,,,,,,,,,,,
3-Oct-1997,3.527,,,,,,,,,,,,,,
6-Oct-1997,3.5351,,,,,,,,,,,,,,
7-Oct-1997,3.4962,,,,,,,,,,,,,,
8-Oct-1997,3.52,,,,,,,,,,,,,,
9-Oct-1997,3.6066,,,,,,,,,,,,,,
10-Oct-1997,3.49,,,,,,,,,,,,,,
14-Oct-1997,3.5466,,,,,,,,,,,,,,
15-Oct-1997,3.7048,,,,,,,,,,,,,,
16-Oct-1997,3.65,,,,,,,,,,,,,,
17-Oct-1997,3.535,,,,,,,,,,,,,,
20-Oct-1997,3.6066,,,,,,,,,,,,,,
21-Oct-1997,3.52,,,,,,,,,,,,,,
22-Oct-1997,3.5616,,,,,,,,,,,,,,
23-Oct-1997,3.6042,,,,,,,,,,,,,,
24-Oct-1997,3.579,,,,,,,,,,,,,,
27-Oct-1997,3.6261,,,,,,,,,,,,,,
28-Oct-1997,3.6208,,,,,,,,,,,,,,
29-Oct-1997,3.6045,,,,,,,,,,,,,,
30-Oct-1997,3.7177,,,,,,,,,,,,,,
31-Oct-1997,3.8169,,,,,,,,,,,,,,
3-Nov-1997,3.718,,,,,,,,,,,,,,
