,1D,1Y,10Y,11Y,12Y,15Y,18M,1W,2Y,20Y,25Y,30M,2W,3Y,30Y,35Y,4Y,40Y,5Y,50Y,6Y,7Y,8Y,9Y,1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M
1999-01-04,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-05,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-06,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-07,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-08,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-11,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-12,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-13,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-14,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-15,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-18,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-19,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-20,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-21,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-22,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-25,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-26,3.22,2.9525,,,,,,,,,,,,,,,,,,,,,,,3.0475,,,,,2.9725,,,2.9225,,
1999-01-27,3.13,2.957,,,,,,,,,,,,,,,,,,,,,,,3.0475,,,,,2.983,,,2.932,,
1999-01-28,3.12,2.965,,,,,,,,,,,,,,,,,,,,,,,3.0375,,,,,2.957,,,2.93,,
1999-01-29,3.16,2.9699999999999998,,,,,,,,,,,,,,,,,,,,,,,3.0325,,,,,2.972,,,2.935,,
1999-02-01,3.17,2.957,,,,,,,,,,,,,,,,,,,,,,,3.0625,,,,,2.983,,,2.923,,
1999-02-02,3.18,3.017,,,,,,,,,,,,,,,,,,,,,,,3.0775,,,,,3.097,,,3.003,,
1999-02-03,3.18,2.983,,,,,,,,,,,,,,,,,,,,,,,3.0825,,,,,3.028,,,2.957,,
1999-02-04,3.17,2.988,,,,,,,,,,,,,,,,,,,,,,,3.0775,,,,,3.033,,,2.957,,
1999-02-05,3.15,2.988,,,,,,,,,,,,,,,,,,,,,,,3.0925,,,,,3.033,,,2.957,,
1999-02-08,3.15,2.997,,,,,,,,,,,,,,,,,,,,,,,3.1,,3.102,,,3.053,,,2.972,,
1999-02-09,3.13,2.997,,,,,,,,,,,,,,,,,,,,,,,,,3.102,,,3.048,,,2.985,,
1999-02-10,3.12,2.992,,,,,,,,,,,,,,,,,,,,,,,,,3.105,,,3.043,,,2.963,,
1999-02-11,3.1,3.02,,,,,,,,,,,,,,,,,,,,,,,,,3.097,,,3.025,,,2.992,,
1999-02-12,3.08,3.033,,,,,,,,,,,,,,,,,,,,,,,,,3.092,,,3.028,,,2.997,,
1999-02-15,3.06,3.017,,,,,,,,,,,,,,,,,,,,,,,,,3.057,,,3.007,,,2.977,,
1999-02-16,3.04,3.033,,,,,,,,,,,,,,,,,,,,,,,,,3.072,,,3.028,,,3.003,,
1999-02-17,3.03,3.043,,,,,,,,,,,,,,,,,,,,,,,,,3.063,,,3.028,,,3.003,,
1999-02-18,3.02,3.023,,,,,,,,,,,,,,,,,,,,,,,,,3.043,,,3.003,,,2.983,,
1999-02-19,3.03,3.017,,,,,,,,,,,,,,,,,,,,,,,,,3.033,,,3.003,,,2.977,,
1999-02-22,3.05,3.007,,,,,,,,,,,,,,,,,,,,,,,,,3.037,,,2.993,,,2.967,,
1999-02-23,3.34,2.988,,,,,,,,,,,,,,,,,,,,,,,,,3.037,,,2.987,,,2.957,,
1999-02-24,3.13,3.015,,,,,,,,,,,,,,,,,,,,,,,,,3.057,,,2.997,,,2.967,,
1999-02-25,3.11,3.028,,,,,,,,,,,,,,,,,,,,,,,,,3.063,,,3.008,,,2.987,,
1999-02-26,3.12,3.082,,,,,,,,,,,,,,,,,,,,,,,,,3.082,,,3.043,,,3.028,,
1999-03-01,3.12,3.108,,,,,,,,,,,,,,,,,,,,,,,,,3.097,,,3.063,,,3.053,,
1999-03-02,3.11,3.18,,,,,,,,,,,,,,,,,,,,,,,,,3.122,,,3.112,,,3.112,,
1999-03-03,3.08,3.153,,,,,,,,,,,,,,,,,,,,,,,,,3.118,,,3.097,,,3.092,,
1999-03-04,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
