Date,OvernightIndex:1D,OIS:1Y,OIS:10Y,OIS:11Y,OIS:12Y,OIS:15Y,OIS:18M,OIS:1W,OIS:2Y,OIS:20Y,OIS:25Y,OIS:30M,OIS:2W,OIS:3Y,OIS:30Y,OIS:35Y,OIS:4Y,OIS:40Y,OIS:5Y,OIS:50Y,OIS:6Y,OIS:7Y,OIS:8Y,OIS:9Y,OIS:1M,OIS:2M,OIS:3M,OIS:4M,OIS:5M,OIS:6M,OIS:7M,OIS:8M,OIS:9M,OIS:10M,OIS:11M
4-Jan-1999,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jan-1999,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jan-1999,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jan-1999,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jan-1999,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-1999,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-1999,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-1999,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-1999,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-1999,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-1999,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan-1999,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jan-1999,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-1999,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jan-1999,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-1999,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jan-1999,3.22,2.9525,,,,,,,,,,,,,,,,,,,,,,,3.0475,,,,,2.9725,,,2.9225,,
27-Jan-1999,3.13,2.957,,,,,,,,,,,,,,,,,,,,,,,3.0475,,,,,2.983,,,2.932,,
28-Jan-1999,3.12,2.965,,,,,,,,,,,,,,,,,,,,,,,3.0375,,,,,2.957,,,2.93,,
29-Jan-1999,3.16,2.97,,,,,,,,,,,,,,,,,,,,,,,3.0325,,,,,2.972,,,2.935,,
1-Feb-1999,3.17,2.957,,,,,,,,,,,,,,,,,,,,,,,3.0625,,,,,2.983,,,2.923,,
