,1Y,10Y,12Y,15Y,18M,1W,2Y,20Y,25Y,3Y,30Y,4Y,40Y,5Y,50Y,6Y,7Y,8Y,9Y,1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,2W,1D
1997-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9399999999999995
1997-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03
1997-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
1997-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9399999999999995
1997-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96
1997-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63
1997-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
1997-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
1997-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
1997-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44
1997-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
1997-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
1997-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
1997-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23
1997-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07
1997-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
1997-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
1997-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
1997-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
1997-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97
1997-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33
1997-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
1997-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37
1997-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
1997-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33
1997-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39
1997-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87
1997-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8100000000000005
1997-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98
1997-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
1997-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07
1997-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62
1997-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
1997-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97
1997-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
1997-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
