Date,OIS:1Y,OIS:10Y,OIS:12Y,OIS:15Y,OIS:18M,OIS:1W,OIS:2Y,OIS:20Y,OIS:25Y,OIS:3Y,OIS:30Y,OIS:4Y,OIS:40Y,OIS:5Y,OIS:50Y,OIS:6Y,OIS:7Y,OIS:8Y,OIS:9Y,OIS:1M,OIS:2M,OIS:3M,OIS:4M,OIS:5M,OIS:6M,OIS:7M,OIS:8M,OIS:9M,OIS:10M,OIS:11M,OIS:2W,OvernightIndex:1D
2-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94
3-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03
6-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
7-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94
8-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96
9-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63
10-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
13-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
14-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
15-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44
16-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
17-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
20-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
21-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23
22-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07
23-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
24-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
27-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
28-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
29-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97
30-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33
31-Jan-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
