,1Y,1M,2M,3M,6M,9M,1D
1991-03-01,,,,,,,12.43
1991-03-04,,,,,,,12.48
1991-03-05,,,,,,,12.341
1991-03-06,,,,,,,12.35
1991-03-07,,,,,,,12.45
1991-03-08,,,,,,,12.35
1991-03-11,,,,,,,12.375
1991-03-12,,,,,,,12.25
1991-03-13,,,,,,,12.4
1991-03-14,,,,,,,12.25
1991-03-15,,,,,,,12.2
1991-03-18,,,,,,,12.35
1991-03-19,,,,,,,12.3
1991-03-20,,,,,,,12.4
1991-03-21,,,,,,,12.45
1991-03-22,,,,,,,12.413
1991-03-25,,,,,,,12.35
1991-03-26,,,,,,,12.3
1991-03-27,,,,,,,12.3
1991-03-28,,,,,,,12.3
1991-04-02,,,,,,,12.25
1991-04-03,,,,,,,12.43
1991-04-04,,,,,,,12.4
1991-04-05,,,,,,,12.508
1991-04-08,,,,,,,12.25
1991-04-09,,,,,,,12.4
1991-04-10,,,,,,,12.408
1991-04-11,,,,,,,12.4
1991-04-12,,,,,,,12.25
1991-04-15,,,,,,,12.4
1991-04-16,,,,,,,12.4
1991-04-17,,,,,,,12.458
1991-04-18,,,,,,,12.66
1991-04-19,,,,,,,12.325
1991-04-22,,,,,,,12.45
1991-04-23,,,,,,,12.808
1991-04-24,,,,,,,12.5
1991-04-25,,,,,,,12.5
1991-04-26,,,,,,,12.4
1991-04-29,,,,,,,12.458
1991-04-30,,,,,,,12.35
1991-05-02,,,,,,,12.433
1991-05-03,,,,,,,12.45
1991-05-06,,,,,,,12.458
1991-05-07,,,,,,,12.375
1991-05-08,,,,,,,12.25
1991-05-10,,,,,,,12.4
1991-05-13,,,,,,,12.4
1991-05-14,,,,,,,12.438
1991-05-15,,,,,,,12.458
1991-05-16,,,,,,,12.742
1991-05-17,,,,,,,12.37
1991-05-21,,,,,,,12.5
1991-05-22,,,,,,,11.6
1991-05-23,,,,,,,11.65
1991-05-24,,,,,,,11.5
1991-05-27,,,,,,,11.5
1991-05-28,,,,,,,11.5
1991-05-29,,,,,,,11.45
1991-05-30,,,,,,,11.45
1991-05-31,,,,,,,11.3
1991-06-03,,,,,,,11.267
1991-06-04,,,,,,,10.8
1991-06-05,,,,,,,10.383
1991-06-06,,,,,,,10.342
1991-06-07,,,,,,,10.3
1991-06-10,,,,,,,10.3
1991-06-11,,,,,,,10.3
1991-06-12,,,,,,,10.3
1991-06-13,,,,,,,10.4
1991-06-14,,,,,,,10.3
1991-06-17,,,,,,,10.45
1991-06-18,,,,,,,10.4
1991-06-19,,,,,,,10.5
1991-06-20,,,,,,,10.45
1991-06-24,,,,,,,10.442
1991-06-25,,,,,,,10.417
1991-06-26,,,,,,,10.408
1991-06-27,,,,,,,10.358
1991-06-28,,,,,,,10.35
1991-07-01,,,,,,,10.4
1991-07-02,,,,,,,10.392
1991-07-03,,,,,,,10.45
1991-07-04,,,,,,,10.35
1991-07-05,,,,,,,10.35
1991-07-08,,,,,,,10.4
1991-07-09,,,,,,,10.4
1991-07-10,,,,,,,10.417
1991-07-11,,,,,,,10.3
1991-07-12,,,,,,,10.55
1991-07-15,,,,,,,10.5
1991-07-16,,,,,,,10.4
1991-07-17,,,,,,,10.35
1991-07-18,,,,,,,10.35
1991-07-19,,,,,,,10.55
1991-07-22,,,,,,,10.35
1991-07-23,,,,,,,10.55
1991-07-24,,,,,,,10.4
1991-07-25,,,,,,,10.56
1991-07-26,,,,,,,10.475
1991-07-29,,,,,,,10.45
1991-07-30,,,,,,,10.35
1991-07-31,,,,,,,10.35
1991-08-01,,,,,,,10.35
1991-08-02,,,,,,,10.35
1991-08-05,,,,,,,10.35
1991-08-06,,,,,,,10.3
1991-08-07,,,,,,,10.387
1991-08-08,,,,,,,10.35
1991-08-09,,,,,,,10.35
1991-08-12,,,,,,,10.35
1991-08-13,,,,,,,10.4
1991-08-14,,,,,,,10.358
1991-08-15,,,,,,,10.35
1991-08-16,,,,,,,10.35
1991-08-19,,,,,,,10.6
1991-08-20,,,,,,,10.5
1991-08-21,,,,,,,10.48
1991-08-22,,,,,,,10.448
1991-08-23,,,,,,,10.575
1991-08-26,,,,,,,10.6
1991-08-27,,,,,,,10.342
1991-08-28,,,,,,,10.358
1991-08-29,,,,,,,10.45
1991-08-30,,,,,,,10.35
1991-09-02,,,,,,,10.35
1991-09-03,,,,,,,10.35
1991-09-04,,,,,,,10.3
1991-09-05,,,,,,,10.275
1991-09-06,,,,,,,10.225
1991-09-09,,,,,,,10.35
1991-09-10,,,,,,,10.942
1991-09-11,,,,,,,10.742
1991-09-12,,,,,,,10.35
1991-09-13,,,,,,,10.292
1991-09-16,,,,,,,10.35
1991-09-17,,,,,,,10.4
1991-09-18,,,,,,,10.3
1991-09-19,,,,,,,10.3
1991-09-20,,,,,,,10.3
1991-09-23,,,,,,,10.3
1991-09-24,,,,,,,10.292
1991-09-25,,,,,,,10.292
1991-09-26,,,,,,,10.3
1991-09-27,,,,,,,10.292
1991-09-30,,,,,,,10.3
1991-10-01,,,,,,,10.3
1991-10-02,,,,,,,10.667
1991-10-03,,,,,,,10.7
1991-10-04,,,,,,,10.65
1991-10-07,,,,,,,10.65
1991-10-08,,,,,,,10.65
1991-10-09,,,,,,,10.65
1991-10-10,,,,,,,10.65
1991-10-11,,,,,,,10.65
1991-10-14,,,,,,,10.65
1991-10-15,,,,,,,10.65
1991-10-16,,,,,,,10.65
1991-10-17,,,,,,,10.992
1991-10-18,,,,,,,10.992
1991-10-21,,,,,,,10.85
1991-10-22,,,,,,,10.85
1991-10-23,,,,,,,10.85
1991-10-24,,,,,,,10.842
1991-10-25,,,,,,,10.85
1991-10-28,,,,,,,10.85
1991-10-29,,,,,,,10.85
1991-10-30,,,,,,,10.85
1991-10-31,,,,,,,10.85
1991-11-01,,,,,,,10.85
1991-11-04,,,,,,,10.8
1991-11-05,,,,,,,10.8
1991-11-06,,,,,,,10.8
1991-11-07,,,,,,,10.8
1991-11-08,,,,,,,10.8
1991-11-11,,,,,,,10.8
1991-11-12,,,,,,,10.825
1991-11-13,,,,,,,10.8
1991-11-14,,,,,,,10.8
1991-11-15,,,,,,,10.85
1991-11-18,,,,,,,10.85
1991-11-19,,,,,,,10.8
1991-11-20,,,,,,,10.8
1991-11-21,,,,,,,10.8
1991-11-22,,,,,,,10.8
1991-11-25,,,,,,,10.8
1991-11-26,,,,,,,10.8
1991-11-27,,,,,,,11.8
1991-11-28,,,,,,,11.8
1991-11-29,,,,,,,11.8
1991-12-02,,,,,,,11.8
1991-12-03,,,,,,,11.8
1991-12-04,,,,,,,11.8
1991-12-09,,,,,,,17.5
1991-12-10,,,,,,,17.5
1991-12-11,,,,,,,17.5
1991-12-12,,,,,,,17.5
1991-12-13,,,,,,,15.367
1991-12-16,,,,,,,15.35
1991-12-17,,,,,,,15.35
1991-12-18,,,,,,,14.35
1991-12-19,,,,,,,14.35
1991-12-20,,,,,,,14.35
1991-12-23,,,,,,,14.3
1991-12-27,,,,,,,14.3
1991-12-30,,,,,,,14.3
1992-01-02,,,,,,,14.3
1992-01-03,,,,,,,14.292
1992-01-07,,,,,,,14.3
1992-01-08,,,,,,,14.302
1992-01-09,,,,,,,14.3
1992-01-10,,,,,,,14.25
1992-01-13,,,,,,,13.9
1992-01-14,,,,,,,13.85
1992-01-15,,,,,,,13.4
1992-01-16,,,,,,,13.35
1992-01-17,,,,,,,13.35
1992-01-20,,,,,,,12.95
1992-01-21,,,,,,,12.85
1992-01-22,,,,,,,12.808
1992-01-23,,,,,,,12.8
1992-01-24,,,,,,,12.8
1992-01-27,,,,,,,12.75
1992-01-28,,,,,,,12.75
1992-01-29,,,,,,,12.75
1992-01-30,,,,,,,12.75
1992-01-31,,,,,,,12.5
1992-02-03,,,,,,,12.45
1992-02-04,,,,,,,12.4
1992-02-05,,,,,,,12.35
1992-02-06,,,,,,,12.35
1992-02-07,,,,,,,12.35
1992-02-10,,,,,,,12.35
1992-02-11,,,,,,,12.35
1992-02-12,,,,,,,12.35
1992-02-13,,,,,,,12.35
1992-02-14,,,,,,,12.35
1992-02-17,,,,,,,12.35
1992-02-18,,,,,,,12.35
1992-02-19,,,,,,,12.35
1992-02-20,,,,,,,12.35
1992-02-21,,,,,,,12.35
1992-02-24,,,,,,,12.35
1992-02-25,,,,,,,12.35
1992-02-26,,,,,,,12.358
1992-02-27,,,,,,,12.3
1992-02-28,,,,,,,12.3
1992-03-02,,,,,,,12.133
1992-03-03,,,,,,,11.8
1992-03-04,,,,,,,11.8
1992-03-05,,,,,,,11.8
1992-03-06,,,,,,,11.8
1992-03-09,,,,,,,11.8
1992-03-10,,,,,,,11.8
1992-03-11,,,,,,,11.8
1992-03-12,,,,,,,11.783
1992-03-13,,,,,,,11.8
1992-03-16,,,,,,,11.8
1992-03-17,,,,,,,11.8
1992-03-18,,,,,,,11.8
1992-03-19,,,,,,,11.45
1992-03-20,,,,,,,11.4
1992-03-23,,,,,,,11.408
1992-03-24,,,,,,,11.4
1992-03-25,,,,,,,11.4
1992-03-26,,,,,,,11.35
1992-03-27,,,,,,,11.35
1992-03-30,,,,,,,11.35
1992-03-31,,,,,,,11.35
1992-04-01,,,,,,,11.35
1992-04-02,,,,,,,11.35
1992-04-03,,,,,,,11.35
1992-04-06,,,,,,,13.5
1992-04-07,,,,,,,13.35
1992-04-08,,,,,,,13.3
1992-04-09,,,,,,,12.35
1992-04-10,,,,,,,12.3
1992-04-13,,,,,,,12.3
1992-04-14,,,,,,,12.3
1992-04-15,,,,,,,12.3
1992-04-16,,,,,,,11.875
1992-04-21,,,,,,,11.875
1992-04-22,,,,,,,11.85
1992-04-23,,,,,,,11.85
1992-04-24,,,,,,,11.85
1992-04-27,,,,,,,11.85
1992-04-28,,,,,,,11.85
1992-04-29,,,,,,,11.85
1992-04-30,,,,,,,11.85
1992-05-04,,,,,,,11.85
1992-05-05,,,,,,,11.85
1992-05-06,,,,,,,11.85
1992-05-07,,,,,,,11.833
1992-05-08,,,,,,,11.8
1992-05-11,,,,,,,11.8
1992-05-12,,,,,,,11.8
1992-05-13,,,,,,,11.8
1992-05-14,,,,,,,11.8
1992-05-15,,,,,,,11.8
1992-05-18,,,,,,,11.8
1992-05-19,,,,,,,11.8
1992-05-20,,,,,,,11.8
1992-05-21,,,,,,,11.8
1992-05-22,,,,,,,11.8
1992-05-25,,,,,,,11.8
1992-05-26,,,,,,,11.8
1992-05-27,,,,,,,11.8
1992-05-29,,,,,,,11.808
1992-06-01,,,,,,,11.8
1992-06-02,,,,,,,11.8
1992-06-03,,,,,,,11.8
1992-06-04,,,,,,,11.8
1992-06-05,,,,,,,11.8
1992-06-09,,,,,,,11.8
1992-06-10,,,,,,,11.8
1992-06-11,,,,,,,11.8
1992-06-12,,,,,,,11.8
1992-06-15,,,,,,,11.8
1992-06-16,,,,,,,11.8
1992-06-17,,,,,,,11.8
1992-06-18,,,,,,,11.8
1992-06-19,,,,,,,11.8
1992-06-23,,,,,,,11.8
1992-06-24,,,,,,,11.8
1992-06-25,,,,,,,11.8
1992-06-26,,,,,,,11.8
1992-06-29,,,,,,,11.8
1992-06-30,,,,,,,11.8
1992-07-01,,,,,,,11.8
1992-07-02,,,,,,,11.8
1992-07-03,,,,,,,11.8
1992-07-06,,,,,,,11.8
1992-07-07,,,,,,,11.8
1992-07-08,,,,,,,11.8
1992-07-09,,,,,,,11.8
1992-07-10,,,,,,,11.8
1992-07-13,,,,,,,11.8
1992-07-14,,,,,,,11.8
1992-07-15,,,,,,,11.8
1992-07-16,,,,,,,11.8
1992-07-17,,,,,,,11.8
1992-07-20,,,,,,,11.8
1992-07-21,,,,,,,11.8
1992-07-22,,,,,,,11.8
1992-07-23,,,,,,,11.8
1992-07-24,,,,,,,12.3
1992-07-27,,,,,,,12.3
1992-07-28,,,,,,,12.3
1992-07-29,,,,,,,12.3
1992-07-30,,,,,,,12.3
1992-07-31,,,,,,,12.3
1992-08-03,,,,,,,12.3
1992-08-04,,,,,,,12.3
1992-08-05,,,,,,,12.3
1992-08-06,,,,,,,12.3
1992-08-07,,,,,,,12.3
1992-08-10,,,,,,,12.3
1992-08-11,,,,,,,12.3
1992-08-12,,,,,,,12.3
1992-08-13,,,,,,,12.3
1992-08-14,,,,,,,12.3
1992-08-17,,,,,,,12.3
1992-08-18,,,,,,,12.3
1992-08-19,,,,,,,12.3
1992-08-20,,,,,,,12.3
1992-08-21,,,,,,,12.3
1992-08-24,,,,,,,13.3
1992-08-25,,,,,,,13.3
1992-08-28,,,,,,,16.3
1992-08-31,,,,,,,16.3
1992-09-01,,,,,,,16.3
1992-09-02,,,,,,,16.3
1992-09-03,,,,,,,16.3
1992-09-04,,,,,,,16.3
1992-09-07,,,,,,,16.3
1992-09-08,,,,,,,16.3
1992-09-09,,,,,,,16.3
1992-09-15,,,,,,,20.5
1992-09-16,,,,,,,20.83299
1992-09-22,,,,,,,50.0
1992-09-23,,,,,,,50.5
1992-09-24,,,,,,,50.5
1992-09-25,,,,,,,51.0
1992-09-28,,,,,,,50.0
1992-09-29,,,,,,,41.0
1992-09-30,,,,,,,41.0
1992-10-01,,,,,,,24.5
1992-10-02,,,,,,,24.25
