Date,OIS:4M,OvernightIndex:1D,OIS:1Y,OIS:10Y,OIS:18M,OIS:1W,OIS:2Y,OIS:2W,OIS:3Y,OIS:3W,OIS:4Y,OIS:5Y,OIS:1M,OIS:2M,OIS:3M,OIS:5M,OIS:6M,OIS:9M
1-Jul-1954,,1.13,,,,,,,,,,,,,,,,
2-Jul-1954,,1.25,,,,,,,,,,,,,,,,
5-Jul-1954,,0.88,,,,,,,,,,,,,,,,
6-Jul-1954,,0.25,,,,,,,,,,,,,,,,
7-Jul-1954,,1,,,,,,,,,,,,,,,,
8-Jul-1954,,1.25,,,,,,,,,,,,,,,,
9-Jul-1954,,1.25,,,,,,,,,,,,,,,,
12-Jul-1954,,1.25,,,,,,,,,,,,,,,,
13-Jul-1954,,1.13,,,,,,,,,,,,,,,,
14-Jul-1954,,1.13,,,,,,,,,,,,,,,,
15-Jul-1954,,0.75,,,,,,,,,,,,,,,,
16-Jul-1954,,0.75,,,,,,,,,,,,,,,,
19-Jul-1954,,0.5,,,,,,,,,,,,,,,,
20-Jul-1954,,0.25,,,,,,,,,,,,,,,,
21-Jul-1954,,0.25,,,,,,,,,,,,,,,,
22-Jul-1954,,0.75,,,,,,,,,,,,,,,,
23-Jul-1954,,0.75,,,,,,,,,,,,,,,,
26-Jul-1954,,0.75,,,,,,,,,,,,,,,,
27-Jul-1954,,0.38,,,,,,,,,,,,,,,,
28-Jul-1954,,0.25,,,,,,,,,,,,,,,,
29-Jul-1954,,0.38,,,,,,,,,,,,,,,,
30-Jul-1954,,0.25,,,,,,,,,,,,,,,,
2-Aug-1954,,0.38,,,,,,,,,,,,,,,,
3-Aug-1954,,0.25,,,,,,,,,,,,,,,,
4-Aug-1954,,0.13,,,,,,,,,,,,,,,,
5-Aug-1954,,0.75,,,,,,,,,,,,,,,,
6-Aug-1954,,1.38,,,,,,,,,,,,,,,,
9-Aug-1954,,1.38,,,,,,,,,,,,,,,,
10-Aug-1954,,1.44,,,,,,,,,,,,,,,,
11-Aug-1954,,1.44,,,,,,,,,,,,,,,,
12-Aug-1954,,1.38,,,,,,,,,,,,,,,,
13-Aug-1954,,1.44,,,,,,,,,,,,,,,,
16-Aug-1954,,1.38,,,,,,,,,,,,,,,,
17-Aug-1954,,1.38,,,,,,,,,,,,,,,,
18-Aug-1954,,1.44,,,,,,,,,,,,,,,,
19-Aug-1954,,1.38,,,,,,,,,,,,,,,,
20-Aug-1954,,1.44,,,,,,,,,,,,,,,,
23-Aug-1954,,1.44,,,,,,,,,,,,,,,,
