Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
6/22/2004,0.9494,EC743989,CNU04,106.44,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,101.999
6/23/2004,0.9494,EC743989,CNU04,106.83,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,102.28
6/24/2004,0.9494,EC743989,CNU04,107.24,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,102.667
6/25/2004,0.9494,EC743989,CNU04,107.22,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,102.673
6/28/2004,0.9494,EC743989,CNU04,106.67,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,102.178
6/29/2004,0.9494,EC743989,CNU04,106.94,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,102.35
6/30/2004,0.9494,EC743989,CNU04,107.4,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,102.957
7/2/2004,0.9494,EC743989,CNU04,108.51,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.782
7/5/2004,0.9494,EC743989,CNU04,108.39,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.683
7/6/2004,0.9494,EC743989,CNU04,108.27,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.571
7/7/2004,0.9494,EC743989,CNU04,108.31,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.555
7/8/2004,0.9494,EC743989,CNU04,108.55,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.747
7/9/2004,0.9494,EC743989,CNU04,108.63,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.8
7/12/2004,0.9494,EC743989,CNU04,108.55,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.76
7/13/2004,0.9494,EC743989,CNU04,108.31,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.553
7/14/2004,0.9494,EC743989,CNU04,108.23,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.411
7/15/2004,0.9494,EC743989,CNU04,108.12,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.392
7/16/2004,0.9494,EC743989,CNU04,108.91,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.063
7/19/2004,0.9494,EC743989,CNU04,108.98,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.073
7/20/2004,0.9494,EC743989,CNU04,108.43,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.679
7/21/2004,0.9494,EC743989,CNU04,108.22,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.42
7/22/2004,0.9494,EC743989,CNU04,108.47,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.562
7/23/2004,0.9494,EC743989,CNU04,108.68,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.763
7/26/2004,0.9494,EC743989,CNU04,108.6,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.609
7/27/2004,0.9494,EC743989,CNU04,107.84,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,102.933
7/28/2004,0.9494,EC743989,CNU04,107.97,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.04
7/29/2004,0.9494,EC743989,CNU04,108.08,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.092
7/30/2004,0.9494,EC743989,CNU04,108.51,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,103.531
8/3/2004,0.9494,EC743989,CNU04,109.13,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.009
8/4/2004,0.9494,EC743989,CNU04,109.06,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.017
8/5/2004,0.9494,EC743989,CNU04,109.13,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.065
8/6/2004,0.9494,EC743989,CNU04,110.32,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,105.193
8/9/2004,0.9494,EC743989,CNU04,109.83,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.751
8/10/2004,0.9494,EC743989,CNU04,109.53,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.361
8/11/2004,0.9494,EC743989,CNU04,109.78,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.662
8/12/2004,0.9494,EC743989,CNU04,110.03,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.801
8/13/2004,0.9494,EC743989,CNU04,110.07,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.831
8/16/2004,0.9494,EC743989,CNU04,109.63,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.492
8/17/2004,0.9494,EC743989,CNU04,109.95,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.786
8/18/2004,0.9494,EC743989,CNU04,109.72,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.523
8/19/2004,0.9494,EC743989,CNU04,110.16,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.821
8/20/2004,0.9494,EC743989,CNU04,110.08,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.864
8/23/2004,0.9494,EC743989,CNU04,109.8,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.546
8/24/2004,0.9494,EC743989,CNU04,109.55,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.302
8/25/2004,0.9494,EC743989,CNU04,109.84,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.471
8/26/2004,0.9494,EC743989,CNU04,109.92,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.65
8/27/2004,0.9494,EC743989,CNU04,110.09,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.708
8/30/2004,0.9494,EC743989,CNU04,110.32,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.905
8/31/2004,0.9494,EC743989,CNU04,110.48,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,105.128
9/1/2004,0.9494,EC743989,CNU04,110.38,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,105.137
9/2/2004,0.9494,EC743989,CNU04,110.26,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.878
9/3/2004,0.9494,EC743989,CNU04,109.65,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.346
9/7/2004,0.9494,EC743989,CNU04,109.61,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.306
9/8/2004,0.9494,EC743989,CNU04,110.1,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.566
9/9/2004,0.9494,EC743989,CNU04,109.93,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.517
9/10/2004,0.9494,EC743989,CNU04,110.31,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.863
9/13/2004,0.9494,EC743989,CNU04,110.45,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.968
9/14/2004,0.9494,EC743989,CNU04,110.42,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.961
9/15/2004,0.9494,EC743989,CNU04,110.3,EC743989 Govt,CNU04 Comdty,11/4/2002,11/4/2002,6/1/2013,2,ACT/ACT,5.25,4-Sep,104.881
