Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
22-Jun-2004,0.9494,EC743989,CNU04,106.44,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,101.999
23-Jun-2004,0.9494,EC743989,CNU04,106.83,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,102.28
24-Jun-2004,0.9494,EC743989,CNU04,107.24,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,102.667
25-Jun-2004,0.9494,EC743989,CNU04,107.22,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,102.673
28-Jun-2004,0.9494,EC743989,CNU04,106.67,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,102.178
29-Jun-2004,0.9494,EC743989,CNU04,106.94,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,102.35
30-Jun-2004,0.9494,EC743989,CNU04,107.4,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,102.957
2-Jul-2004,0.9494,EC743989,CNU04,108.51,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.782
5-Jul-2004,0.9494,EC743989,CNU04,108.39,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.683
6-Jul-2004,0.9494,EC743989,CNU04,108.27,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.571
7-Jul-2004,0.9494,EC743989,CNU04,108.31,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.555
8-Jul-2004,0.9494,EC743989,CNU04,108.55,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.747
9-Jul-2004,0.9494,EC743989,CNU04,108.63,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.8
12-Jul-2004,0.9494,EC743989,CNU04,108.55,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.76
13-Jul-2004,0.9494,EC743989,CNU04,108.31,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.553
14-Jul-2004,0.9494,EC743989,CNU04,108.23,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.411
15-Jul-2004,0.9494,EC743989,CNU04,108.12,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.392
16-Jul-2004,0.9494,EC743989,CNU04,108.91,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,104.063
19-Jul-2004,0.9494,EC743989,CNU04,108.98,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,104.073
20-Jul-2004,0.9494,EC743989,CNU04,108.43,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.679
21-Jul-2004,0.9494,EC743989,CNU04,108.22,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.42
22-Jul-2004,0.9494,EC743989,CNU04,108.47,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.562
23-Jul-2004,0.9494,EC743989,CNU04,108.68,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.763
26-Jul-2004,0.9494,EC743989,CNU04,108.6,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.609
27-Jul-2004,0.9494,EC743989,CNU04,107.84,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,102.933
28-Jul-2004,0.9494,EC743989,CNU04,107.97,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.04
29-Jul-2004,0.9494,EC743989,CNU04,108.08,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.092
30-Jul-2004,0.9494,EC743989,CNU04,108.51,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,103.531
3-Aug-2004,0.9494,EC743989,CNU04,109.13,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,104.009
4-Aug-2004,0.9494,EC743989,CNU04,109.06,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,104.017
5-Aug-2004,0.9494,EC743989,CNU04,109.13,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,104.065
6-Aug-2004,0.9494,EC743989,CNU04,110.32,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,105.193
9-Aug-2004,0.9494,EC743989,CNU04,109.83,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,104.751
10-Aug-2004,0.9494,EC743989,CNU04,109.53,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,104.361
11-Aug-2004,0.9494,EC743989,CNU04,109.78,EC743989 Govt,CNU04 Comdty,4-Nov-2002,4-Nov-2002,1-Jun-2013,2,ACT/ACT,5.25,4-Sep-2016,104.662
