,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST,join_id_bonds,join_id_fut,CPN,MATURITY,ISSUE_DT,DAY_CNT_DES,CPN_FREQ,INT_ACC_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
6/9/2004,0.973241,EC348394,DUU04,105.465,EC348394 Govt,DUU04 Comdty,4.5,8/18/2006,2/14/2001,ACT/ACT,1,2/14/2001,4-Sep,103.568
6/10/2004,0.973241,EC348394,DUU04,105.4,EC348394 Govt,DUU04 Comdty,4.5,8/18/2006,2/14/2001,ACT/ACT,1,2/14/2001,4-Sep,103.474
6/11/2004,0.973241,EC348394,DUU04,105.24,EC348394 Govt,DUU04 Comdty,4.5,8/18/2006,2/14/2001,ACT/ACT,1,2/14/2001,4-Sep,103.353
6/14/2004,0.973241,EC348394,DUU04,105.26,EC348394 Govt,DUU04 Comdty,4.5,8/18/2006,2/14/2001,ACT/ACT,1,2/14/2001,4-Sep,103.316
6/15/2004,0.973241,EC348394,DUU04,105.5,EC348394 Govt,DUU04 Comdty,4.5,8/18/2006,2/14/2001,ACT/ACT,1,2/14/2001,4-Sep,103.484
6/16/2004,0.973241,EC348394,DUU04,105.36,EC348394 Govt,DUU04 Comdty,4.5,8/18/2006,2/14/2001,ACT/ACT,1,2/14/2001,4-Sep,103.4
6/17/2004,0.973241,EC348394,DUU04,105.315,EC348394 Govt,DUU04 Comdty,4.5,8/18/2006,2/14/2001,ACT/ACT,1,2/14/2001,4-Sep,103.339
6/18/2004,0.973241,EC348394,DUU04,105.42,EC348394 Govt,DUU04 Comdty,4.5,8/18/2006,2/14/2001,ACT/ACT,1,2/14/2001,4-Sep,103.448
6/21/2004,0.973241,EC348394,DUU04,105.44,EC348394 Govt,DUU04 Comdty,4.5,8/18/2006,2/14/2001,ACT/ACT,1,2/14/2001,4-Sep,103.456
6/22/2004,0.946398,ED508826,DUU04,105.395,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,99.932
6/23/2004,0.946398,ED508826,DUU04,105.455,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,99.966
6/24/2004,0.946398,ED508826,DUU04,105.575,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.105
6/25/2004,0.946398,ED508826,DUU04,105.565,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.083
6/28/2004,0.946398,ED508826,DUU04,105.455,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,99.986
6/29/2004,0.946398,ED508826,DUU04,105.47,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,99.974
6/30/2004,0.946398,ED508826,DUU04,105.59,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.075
7/1/2004,0.946398,ED508826,DUU04,105.635,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.108
7/2/2004,0.946398,ED508826,DUU04,105.765,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.235
7/5/2004,0.946398,ED508826,DUU04,105.78,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.245
7/6/2004,0.946398,ED508826,DUU04,105.77,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.232
7/7/2004,0.946398,ED508826,DUU04,105.845,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.298
7/8/2004,0.946398,ED508826,DUU04,105.84,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.296
7/9/2004,0.946398,ED508826,DUU04,105.845,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.288
7/12/2004,0.946398,ED508826,DUU04,105.86,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.306
7/13/2004,0.946398,ED508826,DUU04,105.745,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.204
7/14/2004,0.946398,ED508826,DUU04,105.77,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.221
7/15/2004,0.946398,ED508826,DUU04,105.765,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.213
7/16/2004,0.946398,ED508826,DUU04,105.92,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.352
7/19/2004,0.946398,ED508826,DUU04,105.93,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.356
7/20/2004,0.946398,ED508826,DUU04,105.9,ED508826 Govt,DUU04 Comdty,2.75,6/23/2006,6/25/2004,ACT/ACT,1,6/23/2004,4-Sep,100.334
