Date,Conversion Factor,CTD CUSIP,Futures Ticker,Futures Price,CTD ID,Futures ID,CTD Coupon,CTD Maturity Date,CTD Issue Date,CTD Day Count,CTD Coupon Frequency,CTD Interest Accrual Start Date,CTD Settlement Year/Month,CTD Price
9-Jun-2004,0.973241,EC348394,DUU04,105.465,EC348394 Govt,DUU04 Comdty,4.5,18-Aug-2006,14-Feb-2001,ACT/ACT,1,14-Feb-2001,4-Sep-2016,103.568
10-Jun-2004,0.973241,EC348394,DUU04,105.4,EC348394 Govt,DUU04 Comdty,4.5,18-Aug-2006,14-Feb-2001,ACT/ACT,1,14-Feb-2001,4-Sep-2016,103.474
11-Jun-2004,0.973241,EC348394,DUU04,105.24,EC348394 Govt,DUU04 Comdty,4.5,18-Aug-2006,14-Feb-2001,ACT/ACT,1,14-Feb-2001,4-Sep-2016,103.353
14-Jun-2004,0.973241,EC348394,DUU04,105.26,EC348394 Govt,DUU04 Comdty,4.5,18-Aug-2006,14-Feb-2001,ACT/ACT,1,14-Feb-2001,4-Sep-2016,103.316
15-Jun-2004,0.973241,EC348394,DUU04,105.5,EC348394 Govt,DUU04 Comdty,4.5,18-Aug-2006,14-Feb-2001,ACT/ACT,1,14-Feb-2001,4-Sep-2016,103.484
16-Jun-2004,0.973241,EC348394,DUU04,105.36,EC348394 Govt,DUU04 Comdty,4.5,18-Aug-2006,14-Feb-2001,ACT/ACT,1,14-Feb-2001,4-Sep-2016,103.4
17-Jun-2004,0.973241,EC348394,DUU04,105.315,EC348394 Govt,DUU04 Comdty,4.5,18-Aug-2006,14-Feb-2001,ACT/ACT,1,14-Feb-2001,4-Sep-2016,103.339
18-Jun-2004,0.973241,EC348394,DUU04,105.42,EC348394 Govt,DUU04 Comdty,4.5,18-Aug-2006,14-Feb-2001,ACT/ACT,1,14-Feb-2001,4-Sep-2016,103.448
21-Jun-2004,0.973241,EC348394,DUU04,105.44,EC348394 Govt,DUU04 Comdty,4.5,18-Aug-2006,14-Feb-2001,ACT/ACT,1,14-Feb-2001,4-Sep-2016,103.456
22-Jun-2004,0.946398,ED508826,DUU04,105.395,ED508826 Govt,DUU04 Comdty,2.75,23-Jun-2006,25-Jun-2004,ACT/ACT,1,23-Jun-2004,4-Sep-2016,99.932
