,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST,join_id_bonds,join_id_fut,CPN,CPN_FREQ,ISSUE_DT,DAY_CNT_DES,INT_ACC_DT,MATURITY,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
5/29/2012,0.989058,EI876047,FBBU12,95.3,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,95.923
5/30/2012,0.989058,EI876047,FBBU12,93.91,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,94.51
5/31/2012,0.989058,EI876047,FBBU12,94.49,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,95.16
6/1/2012,0.989058,EI876047,FBBU12,95.12,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,95.44
6/4/2012,0.989058,EI876047,FBBU12,96.09,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,96.357
6/5/2012,0.989058,EI876047,FBBU12,96.6,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,96.96
6/6/2012,0.989058,EI876047,FBBU12,96.86,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,97.098
6/7/2012,0.989058,EI876047,FBBU12,98.1,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,98.453
6/8/2012,0.989058,EI876047,FBBU12,96.98,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,97.533
6/11/2012,0.989058,EI876047,FBBU12,95.27,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,95.498
6/12/2012,0.989058,EI876047,FBBU12,94.1,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,94.21
6/13/2012,0.989058,EI876047,FBBU12,93.78,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,93.93
6/14/2012,0.989058,EI876047,FBBU12,92.65,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,92.852
6/15/2012,0.989058,EI876047,FBBU12,93.29,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,93.158
6/18/2012,0.989058,EI876047,FBBU12,90.92,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,91.345
6/19/2012,0.989058,EI876047,FBBU12,92.09,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,92.11
6/20/2012,0.989058,EI876047,FBBU12,93.65,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,94.068
6/21/2012,0.989058,EI876047,FBBU12,94.15,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,94.958
6/22/2012,0.989058,EI876047,FBBU12,96.3,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,96.673
6/25/2012,0.989058,EI876047,FBBU12,94.46,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,94.768
6/26/2012,0.989058,EI876047,FBBU12,93.48,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,93.197
6/27/2012,0.989058,EI876047,FBBU12,92.69,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,92.868
6/28/2012,0.989058,EI876047,FBBU12,92.91,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,92.792
6/29/2012,0.989058,EI876047,FBBU12,96.49,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,96.857
7/2/2012,0.989058,EI876047,FBBU12,96.41,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,96.53
7/3/2012,0.989058,EI876047,FBBU12,97.67,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,97.415
7/4/2012,0.989058,EI876047,FBBU12,96.39,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,96.283
7/5/2012,0.989058,EI876047,FBBU12,93.82,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,93.848
7/6/2012,0.989058,EI876047,FBBU12,92.68,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,92.698
7/9/2012,0.989058,EI876047,FBBU12,92.48,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,91.988
7/10/2012,0.989058,EI876047,FBBU12,93.42,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,93.615
7/11/2012,0.989058,EI876047,FBBU12,95.39,EI876047 Govt,FBBU12 Comdty,5.85,1,11/22/2011,ACT/ACT,11/22/2011,1/31/2022,12-Sep,95.17
