Date,Conversion Factor,CTD CUSIP,Futures Ticker,Futures Price,CTD ID,Futures ID,CTD Coupon,CTD Coupon Frequency,CTD Issue Date,CTD Day Count,CTD Interest Accrual Start,CTD Maturity Date,CTD Settlement Year/Month,CTD Price
29-May-2012,0.989058,EI876047,FBBU12,95.3,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,95.923
30-May-2012,0.989058,EI876047,FBBU12,93.91,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,94.51
31-May-2012,0.989058,EI876047,FBBU12,94.49,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,95.16
1-Jun-2012,0.989058,EI876047,FBBU12,95.12,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,95.44
4-Jun-2012,0.989058,EI876047,FBBU12,96.09,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,96.357
5-Jun-2012,0.989058,EI876047,FBBU12,96.6,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,96.96
6-Jun-2012,0.989058,EI876047,FBBU12,96.86,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,97.098
7-Jun-2012,0.989058,EI876047,FBBU12,98.1,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,98.453
8-Jun-2012,0.989058,EI876047,FBBU12,96.98,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,97.533
11-Jun-2012,0.989058,EI876047,FBBU12,95.27,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,95.498
12-Jun-2012,0.989058,EI876047,FBBU12,94.1,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,94.21
13-Jun-2012,0.989058,EI876047,FBBU12,93.78,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,93.93
14-Jun-2012,0.989058,EI876047,FBBU12,92.65,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,92.852
15-Jun-2012,0.989058,EI876047,FBBU12,93.29,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,93.158
18-Jun-2012,0.989058,EI876047,FBBU12,90.92,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,91.345
19-Jun-2012,0.989058,EI876047,FBBU12,92.09,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,92.11
20-Jun-2012,0.989058,EI876047,FBBU12,93.65,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,94.068
21-Jun-2012,0.989058,EI876047,FBBU12,94.15,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,94.958
22-Jun-2012,0.989058,EI876047,FBBU12,96.3,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,96.673
25-Jun-2012,0.989058,EI876047,FBBU12,94.46,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,94.768
26-Jun-2012,0.989058,EI876047,FBBU12,93.48,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,93.197
27-Jun-2012,0.989058,EI876047,FBBU12,92.69,EI876047 Govt,FBBU12 Comdty,5.85,1,22-Nov-2011,ACT/ACT,22-Nov-2011,31-Jan-2022,12-Sep-2016,92.868
