,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST_FUTS,join_id_bonds,join_id_fut,DAY_CNT_DES,MATURITY,CPN,INT_ACC_DT,CPN_FREQ,ISSUE_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
6/22/2004,0.9027,912828BT,FVU04,108.09375,912828BT Govt,FVU04 Comdty,ACT/ACT,12/15/2008,3.375,12/15/2003,2,12/15/2003,4-Sep,98.21875
6/25/2004,0.9027,912828BT,FVU04,108.484375,912828BT Govt,FVU04 Comdty,ACT/ACT,12/15/2008,3.375,12/15/2003,2,12/15/2003,4-Sep,98.5
6/29/2004,0.9027,912828BT,FVU04,108.1875,912828BT Govt,FVU04 Comdty,ACT/ACT,12/15/2008,3.375,12/15/2003,2,12/15/2003,4-Sep,98.75
6/30/2004,0.9027,912828BT,FVU04,108.6875,912828BT Govt,FVU04 Comdty,ACT/ACT,12/15/2008,3.375,12/15/2003,2,12/15/2003,4-Sep,98.625
6/23/2004,0.9044,912828BQ,FVU04,108.125,912828BQ Govt,FVU04 Comdty,ACT/ACT,11/15/2008,3.375,11/15/2003,2,11/17/2003,4-Sep,98.328125
6/24/2004,0.9044,912828BQ,FVU04,108.421875,912828BQ Govt,FVU04 Comdty,ACT/ACT,11/15/2008,3.375,11/15/2003,2,11/17/2003,4-Sep,98.375
6/28/2004,0.9044,912828BQ,FVU04,107.96875,912828BQ Govt,FVU04 Comdty,ACT/ACT,11/15/2008,3.375,11/15/2003,2,11/17/2003,4-Sep,98.90625
7/1/2004,0.9044,912828BQ,FVU04,109.03125,912828BQ Govt,FVU04 Comdty,ACT/ACT,11/15/2008,3.375,11/15/2003,2,11/17/2003,4-Sep,99.203125
7/2/2004,0.9044,912828BQ,FVU04,109.59375,912828BQ Govt,FVU04 Comdty,ACT/ACT,11/15/2008,3.375,11/15/2003,2,11/17/2003,4-Sep,99.78125
7/6/2004,0.9044,912828BQ,FVU04,109.53125,912828BQ Govt,FVU04 Comdty,ACT/ACT,11/15/2008,3.375,11/15/2003,2,11/17/2003,4-Sep,99.640625
7/7/2004,0.9044,912828BQ,FVU04,109.53125,912828BQ Govt,FVU04 Comdty,ACT/ACT,11/15/2008,3.375,11/15/2003,2,11/17/2003,4-Sep,99.609375
7/8/2004,0.9044,912828BQ,FVU04,109.625,912828BQ Govt,FVU04 Comdty,ACT/ACT,11/15/2008,3.375,11/15/2003,2,11/17/2003,4-Sep,99.6875
7/9/2004,0.9044,912828BQ,FVU04,109.640625,912828BQ Govt,FVU04 Comdty,ACT/ACT,11/15/2008,3.375,11/15/2003,2,11/17/2003,4-Sep,99.71875
