Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,DayCount,CTD Maturity,CTD Coupon,CTD Interest Accrual Date,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
22-Jun-2004,0.9027,912828BT,FVU04,108.09375,912828BT Govt,FVU04 Comdty,ACT/ACT,15-Dec-2008,3.375,15-Dec-2003,2,15-Dec-2003,4-Sep-2016,98.21875
25-Jun-2004,0.9027,912828BT,FVU04,108.484375,912828BT Govt,FVU04 Comdty,ACT/ACT,15-Dec-2008,3.375,15-Dec-2003,2,15-Dec-2003,4-Sep-2016,98.5
29-Jun-2004,0.9027,912828BT,FVU04,108.1875,912828BT Govt,FVU04 Comdty,ACT/ACT,15-Dec-2008,3.375,15-Dec-2003,2,15-Dec-2003,4-Sep-2016,98.75
30-Jun-2004,0.9027,912828BT,FVU04,108.6875,912828BT Govt,FVU04 Comdty,ACT/ACT,15-Dec-2008,3.375,15-Dec-2003,2,15-Dec-2003,4-Sep-2016,98.625
23-Jun-2004,0.9044,912828BQ,FVU04,108.125,912828BQ Govt,FVU04 Comdty,ACT/ACT,15-Nov-2008,3.375,15-Nov-2003,2,17-Nov-2003,4-Sep-2016,98.328125
24-Jun-2004,0.9044,912828BQ,FVU04,108.421875,912828BQ Govt,FVU04 Comdty,ACT/ACT,15-Nov-2008,3.375,15-Nov-2003,2,17-Nov-2003,4-Sep-2016,98.375
28-Jun-2004,0.9044,912828BQ,FVU04,107.96875,912828BQ Govt,FVU04 Comdty,ACT/ACT,15-Nov-2008,3.375,15-Nov-2003,2,17-Nov-2003,4-Sep-2016,98.90625
1-Jul-2004,0.9044,912828BQ,FVU04,109.03125,912828BQ Govt,FVU04 Comdty,ACT/ACT,15-Nov-2008,3.375,15-Nov-2003,2,17-Nov-2003,4-Sep-2016,99.203125
2-Jul-2004,0.9044,912828BQ,FVU04,109.59375,912828BQ Govt,FVU04 Comdty,ACT/ACT,15-Nov-2008,3.375,15-Nov-2003,2,17-Nov-2003,4-Sep-2016,99.78125
6-Jul-2004,0.9044,912828BQ,FVU04,109.53125,912828BQ Govt,FVU04 Comdty,ACT/ACT,15-Nov-2008,3.375,15-Nov-2003,2,17-Nov-2003,4-Sep-2016,99.640625
7-Jul-2004,0.9044,912828BQ,FVU04,109.53125,912828BQ Govt,FVU04 Comdty,ACT/ACT,15-Nov-2008,3.375,15-Nov-2003,2,17-Nov-2003,4-Sep-2016,99.609375
8-Jul-2004,0.9044,912828BQ,FVU04,109.625,912828BQ Govt,FVU04 Comdty,ACT/ACT,15-Nov-2008,3.375,15-Nov-2003,2,17-Nov-2003,4-Sep-2016,99.6875
