,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST,join_id_bonds,join_id_fut,CPN_FREQ,MATURITY,DAY_CNT_DES,ISSUE_DT,INT_ACC_DT,CPN,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
9/14/2009,0.87818,EH802597,IKZ09,114.91,EH802597 Govt,IKZ09 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,9-Dec,"join_id_bonds
EH802597 Govt    101.917
Name: 2009-09-14 00:00:00, dtype: float64"
9/15/2009,0.87818,EH802597,IKZ09,114.82,EH802597 Govt,IKZ09 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,9-Dec,"join_id_bonds
EH802597 Govt    101.912
Name: 2009-09-15 00:00:00, dtype: float64"
9/16/2009,0.87818,EH802597,IKZ09,114.78,EH802597 Govt,IKZ09 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,9-Dec,"join_id_bonds
EH802597 Govt    101.895
Name: 2009-09-16 00:00:00, dtype: float64"
9/17/2009,0.87818,EH802597,IKZ09,114.63,EH802597 Govt,IKZ09 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,9-Dec,"join_id_bonds
EH802597 Govt    101.754
Name: 2009-09-17 00:00:00, dtype: float64"
9/18/2009,0.87818,EH802597,IKZ09,114.72,EH802597 Govt,IKZ09 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,9-Dec,"join_id_bonds
EH802597 Govt    101.787
Name: 2009-09-18 00:00:00, dtype: float64"
9/21/2009,0.87818,EH802597,IKZ09,114.49,EH802597 Govt,IKZ09 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,9-Dec,"join_id_bonds
EH802597 Govt    101.671
Name: 2009-09-21 00:00:00, dtype: float64"
9/22/2009,0.87818,EH802597,IKZ09,114.41,EH802597 Govt,IKZ09 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,9-Dec,"join_id_bonds
EH802597 Govt    101.582
Name: 2009-09-22 00:00:00, dtype: float64"
8/30/2010,0.885352,EH802597,IKU10,118.45,EH802597 Govt,IKU10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Sep,"join_id_bonds
EH986306 Govt    100.726
Name: 2009-09-23 00:00:00, dtype: float64"
10/4/2010,0.887748,EH802597,IKZ10,117.25,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.288
Name: 2009-09-24 00:00:00, dtype: float64"
10/5/2010,0.887748,EH802597,IKZ10,117.44,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.664
Name: 2009-09-25 00:00:00, dtype: float64"
10/7/2010,0.887748,EH802597,IKZ10,117.71,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.507
Name: 2009-09-28 00:00:00, dtype: float64"
10/11/2010,0.887748,EH802597,IKZ10,118.28,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.678
Name: 2009-09-29 00:00:00, dtype: float64"
10/12/2010,0.887748,EH802597,IKZ10,118.32,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.497
Name: 2009-09-30 00:00:00, dtype: float64"
10/13/2010,0.887748,EH802597,IKZ10,118.06,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.54
Name: 2009-10-01 00:00:00, dtype: float64"
10/15/2010,0.887748,EH802597,IKZ10,118.15,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.993
Name: 2009-10-02 00:00:00, dtype: float64"
10/20/2010,0.887748,EH802597,IKZ10,117.73,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    102.095
Name: 2009-10-05 00:00:00, dtype: float64"
10/21/2010,0.887748,EH802597,IKZ10,117.3,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.977
Name: 2009-10-06 00:00:00, dtype: float64"
10/22/2010,0.887748,EH802597,IKZ10,117.4,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    102.298
Name: 2009-10-07 00:00:00, dtype: float64"
10/25/2010,0.887748,EH802597,IKZ10,117.85,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    102.479
Name: 2009-10-08 00:00:00, dtype: float64"
10/26/2010,0.887748,EH802597,IKZ10,117.58,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.97
Name: 2009-10-09 00:00:00, dtype: float64"
10/27/2010,0.887748,EH802597,IKZ10,116.59,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    102.05
Name: 2009-10-12 00:00:00, dtype: float64"
10/28/2010,0.887748,EH802597,IKZ10,116.64,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.84
Name: 2009-10-13 00:00:00, dtype: float64"
10/29/2010,0.887748,EH802597,IKZ10,116.58,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.422
Name: 2009-10-14 00:00:00, dtype: float64"
11/1/2010,0.887748,EH802597,IKZ10,116.66,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    100.813
Name: 2009-10-15 00:00:00, dtype: float64"
11/2/2010,0.887748,EH802597,IKZ10,116.43,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.073
Name: 2009-10-16 00:00:00, dtype: float64"
11/3/2010,0.887748,EH802597,IKZ10,116.53,EH802597 Govt,IKZ10 Comdty,2,9/1/2019,ACT/ACT,5/4/2009,3/1/2009,4.25,10-Dec,"join_id_bonds
EH986306 Govt    101.173
Name: 2009-10-19 00:00:00, dtype: float64"
