,Conversion Factor,CTD CUSIP,Futures Ticker,CTD Price,CTD ID,Futures ID,CTD Coupon Frequency,CTD Maturity Date,CTD Day Count,CTD Issue Date,CTD Interest Accrual Start,CTD Coupon,CTD Settlement Year/Month
14-Sep-2009,0.87818,EH802597,IKZ09,114.91,EH802597 Govt,IKZ09 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,9-Dec-2016
15-Sep-2009,0.87818,EH802597,IKZ09,114.82,EH802597 Govt,IKZ09 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,9-Dec-2016
16-Sep-2009,0.87818,EH802597,IKZ09,114.78,EH802597 Govt,IKZ09 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,9-Dec-2016
17-Sep-2009,0.87818,EH802597,IKZ09,114.63,EH802597 Govt,IKZ09 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,9-Dec-2016
18-Sep-2009,0.87818,EH802597,IKZ09,114.72,EH802597 Govt,IKZ09 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,9-Dec-2016
21-Sep-2009,0.87818,EH802597,IKZ09,114.49,EH802597 Govt,IKZ09 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,9-Dec-2016
22-Sep-2009,0.87818,EH802597,IKZ09,114.41,EH802597 Govt,IKZ09 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,9-Dec-2016
30-Aug-2010,0.885352,EH802597,IKU10,118.45,EH802597 Govt,IKU10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Sep-2016
4-Oct-2010,0.887748,EH802597,IKZ10,117.25,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
5-Oct-2010,0.887748,EH802597,IKZ10,117.44,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
7-Oct-2010,0.887748,EH802597,IKZ10,117.71,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
11-Oct-2010,0.887748,EH802597,IKZ10,118.28,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
12-Oct-2010,0.887748,EH802597,IKZ10,118.32,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
13-Oct-2010,0.887748,EH802597,IKZ10,118.06,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
15-Oct-2010,0.887748,EH802597,IKZ10,118.15,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
20-Oct-2010,0.887748,EH802597,IKZ10,117.73,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
21-Oct-2010,0.887748,EH802597,IKZ10,117.3,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
22-Oct-2010,0.887748,EH802597,IKZ10,117.4,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
25-Oct-2010,0.887748,EH802597,IKZ10,117.85,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
26-Oct-2010,0.887748,EH802597,IKZ10,117.58,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
27-Oct-2010,0.887748,EH802597,IKZ10,116.59,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
28-Oct-2010,0.887748,EH802597,IKZ10,116.64,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
29-Oct-2010,0.887748,EH802597,IKZ10,116.58,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
1-Nov-2010,0.887748,EH802597,IKZ10,116.66,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
2-Nov-2010,0.887748,EH802597,IKZ10,116.43,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
3-Nov-2010,0.887748,EH802597,IKZ10,116.53,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
4-Nov-2010,0.887748,EH802597,IKZ10,116.44,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
5-Nov-2010,0.887748,EH802597,IKZ10,116.4,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
8-Nov-2010,0.887748,EH802597,IKZ10,115.75,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
9-Nov-2010,0.887748,EH802597,IKZ10,115.69,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
10-Nov-2010,0.887748,EH802597,IKZ10,115.28,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
11-Nov-2010,0.887748,EH802597,IKZ10,114.18,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
12-Nov-2010,0.887748,EH802597,IKZ10,114.75,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
15-Nov-2010,0.887748,EH802597,IKZ10,114.93,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
16-Nov-2010,0.887748,EH802597,IKZ10,114.3,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
17-Nov-2010,0.887748,EH802597,IKZ10,114.38,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
18-Nov-2010,0.887748,EH802597,IKZ10,113.75,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
19-Nov-2010,0.887748,EH802597,IKZ10,114.32,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
22-Nov-2010,0.887748,EH802597,IKZ10,114.62,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
23-Nov-2010,0.887748,EH802597,IKZ10,114.21,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
24-Nov-2010,0.887748,EH802597,IKZ10,113.6,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
25-Nov-2010,0.887748,EH802597,IKZ10,113.15,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
26-Nov-2010,0.887748,EH802597,IKZ10,112.93,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
29-Nov-2010,0.887748,EH802597,IKZ10,111.32,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
30-Nov-2010,0.887748,EH802597,IKZ10,111.05,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
1-Dec-2010,0.887748,EH802597,IKZ10,112.3,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
2-Dec-2010,0.887748,EH802597,IKZ10,113.17,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
3-Dec-2010,0.887748,EH802597,IKZ10,113.13,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
6-Dec-2010,0.887748,EH802597,IKZ10,112.84,EH802597 Govt,IKZ10 Comdty,2,1-Sep-2019,ACT/ACT,4-May-2009,1-Mar-2009,4.25,10-Dec-2016
23-Sep-2009,0.8736,EH986306,IKZ09,114.4,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
24-Sep-2009,0.8736,EH986306,IKZ09,114.98,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
25-Sep-2009,0.8736,EH986306,IKZ09,115.32,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
28-Sep-2009,0.8736,EH986306,IKZ09,115.29,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
29-Sep-2009,0.8736,EH986306,IKZ09,115.34,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
30-Sep-2009,0.8736,EH986306,IKZ09,115.3,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
1-Oct-2009,0.8736,EH986306,IKZ09,115.25,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
2-Oct-2009,0.8736,EH986306,IKZ09,115.74,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
5-Oct-2009,0.8736,EH986306,IKZ09,116,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
6-Oct-2009,0.8736,EH986306,IKZ09,115.91,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
7-Oct-2009,0.8736,EH986306,IKZ09,116.3,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
8-Oct-2009,0.8736,EH986306,IKZ09,116.46,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
9-Oct-2009,0.8736,EH986306,IKZ09,115.89,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
12-Oct-2009,0.8736,EH986306,IKZ09,115.98,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
13-Oct-2009,0.8736,EH986306,IKZ09,115.86,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
14-Oct-2009,0.8736,EH986306,IKZ09,115.45,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
15-Oct-2009,0.8736,EH986306,IKZ09,114.88,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
16-Oct-2009,0.8736,EH986306,IKZ09,115.03,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
19-Oct-2009,0.8736,EH986306,IKZ09,115.15,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
20-Oct-2009,0.8736,EH986306,IKZ09,115.72,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
21-Oct-2009,0.8736,EH986306,IKZ09,115.2,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
22-Oct-2009,0.8736,EH986306,IKZ09,115.28,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
23-Oct-2009,0.8736,EH986306,IKZ09,114.94,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
26-Oct-2009,0.8736,EH986306,IKZ09,115.04,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
27-Oct-2009,0.8736,EH986306,IKZ09,115.81,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
28-Oct-2009,0.8736,EH986306,IKZ09,115.95,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
29-Oct-2009,0.8736,EH986306,IKZ09,115.46,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
30-Oct-2009,0.8736,EH986306,IKZ09,116.09,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
2-Nov-2009,0.8736,EH986306,IKZ09,116.23,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
3-Nov-2009,0.8736,EH986306,IKZ09,116.07,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
4-Nov-2009,0.8736,EH986306,IKZ09,115.82,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
5-Nov-2009,0.8736,EH986306,IKZ09,115.74,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
6-Nov-2009,0.8736,EH986306,IKZ09,115.7,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
9-Nov-2009,0.8736,EH986306,IKZ09,116.14,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
10-Nov-2009,0.8736,EH986306,IKZ09,116.64,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
11-Nov-2009,0.8736,EH986306,IKZ09,116.63,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
12-Nov-2009,0.8736,EH986306,IKZ09,116.52,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
13-Nov-2009,0.8736,EH986306,IKZ09,116.1,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
16-Nov-2009,0.8736,EH986306,IKZ09,116.36,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
17-Nov-2009,0.8736,EH986306,IKZ09,116.77,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
18-Nov-2009,0.8736,EH986306,IKZ09,116.62,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
19-Nov-2009,0.8736,EH986306,IKZ09,116.51,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
20-Nov-2009,0.8736,EH986306,IKZ09,116.48,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
23-Nov-2009,0.8736,EH986306,IKZ09,116.53,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
24-Nov-2009,0.8736,EH986306,IKZ09,116.69,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
25-Nov-2009,0.8736,EH986306,IKZ09,116.6,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
26-Nov-2009,0.8736,EH986306,IKZ09,116.7,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
27-Nov-2009,0.8736,EH986306,IKZ09,116.8,EH986306 Govt,IKZ09 Comdty,2,1-Mar-2020,ACT/ACT,1-Oct-2009,1-Sep-2009,4.25,9-Dec-2016
