Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Coupon,CTD Maturity Date,CTD Day Count,CTD Interest Accrual Date,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
11-Jun-2004,0.74019,EC438321,JBU04,134.63,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,138.9
14-Jun-2004,0.74019,EC438321,JBU04,133.95,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,147
15-Jun-2004,0.74019,EC438321,JBU04,134.47,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,141.4
16-Jun-2004,0.74019,EC438321,JBU04,133.9,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,148.1
17-Jun-2004,0.74019,EC438321,JBU04,133.43,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,153
18-Jun-2004,0.74019,EC438321,JBU04,133.71,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,149.9
21-Jun-2004,0.74019,EC438321,JBU04,133.95,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,147.5
22-Jun-2004,0.74019,EC438321,JBU04,133.9,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,148.1
23-Jun-2004,0.74019,EC438321,JBU04,133.8,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,149.4
24-Jun-2004,0.74019,EC438321,JBU04,133.7,EC438321 Govt,JBU04 Comdty,1.4,20-Sep-2011,NL/365,20-Sep-2001,2,20-Sep-2001,4-Sep-2016,150.5
