Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Coupon Frequency,CTD Day Count,CTD Maturity Date,CTD Interest Accrual Date,CTD Issue Date,CTD Coupon,Futures Expiry Month/Year,CTD Price
16-Apr-2012,0.848512,ED925531,OATM12,125.28,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,106.858
17-Apr-2012,0.848512,ED925531,OATM12,125.28,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,106.843
18-Apr-2012,0.848512,ED925531,OATM12,125.36,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,106.873
19-Apr-2012,0.848512,ED925531,OATM12,124.58,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,106.163
20-Apr-2012,0.848512,ED925531,OATM12,124.56,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,106.138
23-Apr-2012,0.848512,ED925531,OATM12,124.53,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,106.118
24-Apr-2012,0.848512,ED925531,OATM12,125.05,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,106.62
25-Apr-2012,0.848512,ED925531,OATM12,125.61,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,106.94
26-Apr-2012,0.848512,ED925531,OATM12,125.8,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,107.175
27-Apr-2012,0.848512,ED925531,OATM12,125.72,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,107.073
30-Apr-2012,0.848512,ED925531,OATM12,126.13,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,107.408
2-May-2012,0.848512,ED925531,OATM12,126.12,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,107.428
3-May-2012,0.848512,ED925531,OATM12,126.73,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,107.935
4-May-2012,0.848512,ED925531,OATM12,127.38,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,108.57
7-May-2012,0.848512,ED925531,OATM12,127.77,ED925531 Govt,OATM12 Comdty,1,ACT/ACT,25-Apr-2021,10-May-2005,25-Apr-2005,3.75,12-Jun-2016,108.765
