,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST,join_id_bonds,join_id_fut,CPN,MATURITY,ISSUE_DT,DAY_CNT_DES,CPN_FREQ,INT_ACC_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
6/9/2004,0.891814,ED317812,OEU04,109.89,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.349
6/10/2004,0.891814,ED317812,OEU04,109.77,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.228
6/11/2004,0.891814,ED317812,OEU04,109.47,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.02
6/14/2004,0.891814,ED317812,OEU04,109.55,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.003
6/15/2004,0.891814,ED317812,OEU04,110.18,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.416
6/16/2004,0.891814,ED317812,OEU04,109.85,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.249
6/17/2004,0.891814,ED317812,OEU04,109.75,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.158
6/18/2004,0.891814,ED317812,OEU04,110.01,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.394
6/21/2004,0.891814,ED317812,OEU04,110.06,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.446
6/22/2004,0.891814,ED317812,OEU04,109.96,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.35
6/23/2004,0.891814,ED317812,OEU04,110.04,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.371
6/24/2004,0.891814,ED317812,OEU04,110.34,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.705
6/25/2004,0.891814,ED317812,OEU04,110.23,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.603
6/28/2004,0.891814,ED317812,OEU04,109.97,ED317812 Govt,OEU04 Comdty,3.25,4/17/2009,2/13/2004,ACT/ACT,1,2/13/2004,4-Sep,98.368
